Date,Year,Month,Day,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2007-01-01,2007,1,1,24,34,25.6,93,0,-,4,0,0,W 
2007-01-02,2007,1,2,24,31,26.2,89,1,5.1,0,0,0,N 
2007-01-03,2007,1,3,20,31.2,24.6,88,8888,4.2,3,0,0,SE
2007-01-04,2007,1,4,20,30.2,25.3,90,8888,4.4,4,0,0,S 
2007-01-05,2007,1,5,22,30.4,25,91,8888,3.6,3,0,0,S 
2007-01-06,2007,1,6,23,31.6,24.9,94,8888,1.7,2,0,0,S 
2007-01-07,2007,1,7,22,32,26.1,90,50,5,0,0,0,N 
2007-01-08,2007,1,8,23,31,26.3,90,8888,3,2,0,0,S 
2007-01-09,2007,1,9,24,30,25.7,92,3,1,3,270,2,W 
2007-01-10,2007,1,10,24,31,24.5,98,11,-,2,0,0,N 
2007-01-11,2007,1,11,24,31.6,26.7,89,28,6.2,0,0,0,N 
2007-01-12,2007,1,12,23,31.2,26.3,88,8888,3.1,5,0,0,W 
2007-01-13,2007,1,13,24,31,25.8,89,8888,5.4,4,270,4,N 
2007-01-14,2007,1,14,23,31,26.4,86,1,2.6,3,0,0,N 
2007-01-15,2007,1,15,23,31,26.5,88,8888,7.4,3,0,0,SE
2007-01-16,2007,1,16,24,33,26.6,86,8888,7,5,270,3,NW
2007-01-17,2007,1,17,24,30.8,25.8,90,8888,2.6,4,270,2,NW
2007-01-18,2007,1,18,24,33.2,26.7,87,1,7,0,0,0,N 
2007-01-19,2007,1,19,23,33.2,27.6,88,8888,7.7,3,0,0,N 
2007-01-20,2007,1,20,24,33.2,25.9,90,1,-,5,360,2,NW
2007-01-21,2007,1,21,23,32,26.1,89,5,4,2,0,0,W 
2007-01-22,2007,1,22,23,28.2,25,93,14,-,0,0,0,N 
2007-01-23,2007,1,23,23,32,26.3,91,5,4.4,4,0,0,NW
2007-01-24,2007,1,24,23,32.8,26.6,90,23,2.1,5,0,0,NW
2007-01-25,2007,1,25,24,31.8,25.8,90,10,2.7,2,0,0,N 
2007-01-26,2007,1,26,23,31.6,26.7,89,37,5.7,2,0,0,E 
2007-01-27,2007,1,27,22,31.8,26.3,87,8888,7.6,3,0,0,SE
2007-01-28,2007,1,28,22,31,26.1,86,8888,7.1,4,135,3,NW
2007-01-29,2007,1,29,21,31.2,25.4,87,8888,7.6,5,315,2,NW
2007-01-30,2007,1,30,20,32,24.6,90,8888,7.1,3,270,3,N 
2007-01-31,2007,1,31,20,32,26,89,8888,7.5,3,0,0,N 
2007-02-01,2007,2,1,20,31.2,25.7,86,8888,8,5,0,0,NW
2007-02-02,2007,2,2,22,31.2,25.4,88,8888,6.6,5,270,0,NW
2007-02-03,2007,2,3,20,31.4,24.8,89,8888,7.6,5,0,0,NW
2007-02-04,2007,2,4,20,31.4,25.5,88,8888,6,3,90,1,SE
2007-02-05,2007,2,5,20,31.6,24.8,84,8888,8,4,135,3,S 
2007-02-06,2007,2,6,20,32.8,24.8,87,8888,7.1,5,315,3,NW
2007-02-07,2007,2,7,20,33,27.2,84,8888,7.3,2,0,0,NW
2007-02-08,2007,2,8,20,33.2,26.9,87,8888,7.9,4,90,2,SE
2007-02-09,2007,2,9,21,33.2,26.5,86,8888,7.2,4,0,0,NW
2007-02-10,2007,2,10,24,32.6,27.4,83,8888,6.7,4,270,3,W 
2007-02-11,2007,2,11,23,33,26.6,83,8888,7.7,4,0,0,W 
2007-02-12,2007,2,12,22,33.6,26.6,85,8888,8,3,0,0,NW
2007-02-13,2007,2,13,23,33.8,27.1,86,8888,6.4,3,0,0,W 
2007-02-14,2007,2,14,24,34.4,26.6,85,8888,6.5,4,315,0,S 
2007-02-15,2007,2,15,23,32.6,26.4,87,8888,6.5,4,180,3,NW
2007-02-16,2007,2,16,21,32.6,25.9,87,6,5.7,2,0,0,SE
2007-02-17,2007,2,17,22,33.2,26.1,84,8888,5.7,4,135,3,S 
2007-02-18,2007,2,18,25,29.6,26.1,94,8888,0,2,0,0,N 
2007-02-19,2007,2,19,22,32,25.8,85,6,2.4,0,0,0,N 
2007-02-20,2007,2,20,23,32.2,26.6,83,8888,6.4,0,0,0,N 
2007-02-21,2007,2,21,24,32.4,26.4,87,8888,5.2,3,315,3,S 
2007-02-22,2007,2,22,23,32.8,26.4,88,8888,3.5,3,0,0,S 
2007-02-23,2007,2,23,21,30.4,25.4,90,15,0.2,0,0,0,N 
2007-02-24,2007,2,24,22,33,26.3,86,9,7.2,2,0,0,SE
2007-02-25,2007,2,25,25,33.2,27,86,0,7.3,4,0,0,SE
2007-02-26,2007,2,26,22,32,25.9,86,8888,4,4,0,0,S 
2007-02-27,2007,2,27,22,32.6,26.1,83,8888,5.6,2,0,0,NW
2007-02-28,2007,2,28,22,33,26.8,86,8888,3.9,3,0,0,SE
2007-03-01,2007,3,1,22,33.2,26.2,87,8888,4.5,3,0,0,SE
2007-03-02,2007,3,2,22,33.2,25.2,86,8888,5.4,3,180,2,S 
2007-03-03,2007,3,3,20,33,25.6,86,8888,3.5,3,0,0,W 
2007-03-04,2007,3,4,20,32,26.6,88,8888,5.3,2,0,0,S 
2007-03-05,2007,3,5,22,33,26.1,88,8888,5.2,4,0,0,S 
2007-03-06,2007,3,6,23,32,26.3,89,8888,5.1,3,0,0,NW
2007-03-07,2007,3,7,22,32.8,26.8,87,8888,4.8,2,0,0,S 
2007-03-08,2007,3,8,22,32.6,27.3,90,8888,1.7,2,0,0,SE
2007-03-09,2007,3,9,23,35.4,27.2,88,3,6.5,3,0,0,SE
2007-03-10,2007,3,10,23,33.6,27.1,89,8888,5.1,3,180,2,NW
2007-03-11,2007,3,11,24,30.8,26.8,91,8888,0,3,0,0,W 
2007-03-12,2007,3,12,23,33.4,26.2,91,13,3.6,3,0,0,NW
2007-03-13,2007,3,13,24,33.4,26.4,91,13,1.5,3,0,0,SE
2007-03-14,2007,3,14,23,32.2,26.5,87,24,1.6,2,0,0,E 
2007-03-15,2007,3,15,-,-,-,97,8888,2,4,0,0,S 
2007-03-16,2007,3,16,22,33.4,26.2,88,15,4.7,0,0,0,N 
2007-03-17,2007,3,17,22,33.4,26.8,86,8888,4.8,2,0,0,S 
2007-03-18,2007,3,18,22,34,26.6,85,8888,0.1,3,0,0,N 
2007-03-19,2007,3,19,23,31.4,25.9,94,8888,0.9,2,0,0,S 
2007-03-20,2007,3,20,22,31.2,26.2,88,9,1.2,4,0,0,S 
2007-03-21,2007,3,21,22,33,26.3,86,1,5.4,3,0,0,S 
2007-03-22,2007,3,22,23,33,26,91,8888,1,3,0,0,S 
2007-03-23,2007,3,23,21,33.8,26.4,85,8888,7.1,0,0,0,N 
2007-03-24,2007,3,24,21,33.2,26.6,89,8888,5,4,180,2,S 
2007-03-25,2007,3,25,-,-,-,86,8888,5,0,0,0,N 
2007-03-26,2007,3,26,19,34.2,25.3,78,8888,8,3,0,0,W 
2007-03-27,2007,3,27,22,34.4,26.5,86,8888,7.9,0,0,0,N 
2007-03-28,2007,3,28,20,34.4,27.3,85,8888,3,3,0,0,SE
2007-03-29,2007,3,29,22,34.4,25.9,92,8888,0.3,3,315,3,SE
2007-03-30,2007,3,30,23,32.4,25.7,92,43,4.5,3,0,0,N 
