Date,Year,Month,Day,Prec,StDev,%Time,Q,S,data_quality,source_priority,is_outlier_Prec
2005-01-01,2005,1,1,0.36,1.2,9.7,2,5,high,5,False
2005-01-02,2005,1,2,0.19,0.46,6.9,2,5,high,5,False
2005-01-03,2005,1,3,0.0,0.01,0.0,2,5,high,5,False
2005-01-04,2005,1,4,0.13,1.13,1.4,2,5,high,5,False
2005-01-05,2005,1,5,0.95,3.48,10.4,2,5,high,5,False
2005-01-06,2005,1,6,0.23,1.13,5.6,2,5,high,5,False
2005-01-07,2005,1,7,0.0,0.05,0.0,2,5,high,5,False
2005-01-08,2005,1,8,1.23,3.45,18.1,2,5,high,5,False
2005-01-09,2005,1,9,0.37,1.72,8.3,2,5,high,5,False
2005-01-10,2005,1,10,0.85,4.33,10.4,2,5,high,5,False
2005-01-11,2005,1,11,0.95,2.66,19.4,2,5,high,5,False
2005-01-12,2005,1,12,0.09,0.83,2.8,2,5,high,5,False
2005-01-13,2005,1,13,0.0,0.24,0.7,2,5,high,5,False
2005-01-14,2005,1,14,-0.01,0.12,0.7,2,5,high,5,False
2005-01-15,2005,1,15,-0.02,0.02,0.0,2,5,high,5,False
2005-01-16,2005,1,16,0.76,4.5,4.9,2,5,high,5,False
2005-01-17,2005,1,17,0.0,0.09,0.0,2,5,high,5,False
2005-01-18,2005,1,18,-0.01,0.08,0.0,2,5,high,5,False
2005-01-19,2005,1,19,0.28,1.12,7.6,2,5,high,5,False
2005-01-20,2005,1,20,0.0,0.14,0.0,2,5,high,5,False
2005-01-21,2005,1,21,0.0,0.17,0.0,2,5,high,5,False
2005-01-22,2005,1,22,-0.01,0.14,0.0,2,5,high,5,False
2005-01-23,2005,1,23,-0.01,0.13,0.0,2,5,high,5,False
2005-01-24,2005,1,24,0.0,0.11,0.0,2,5,high,5,False
2005-01-25,2005,1,25,,9.22,21.5,2,5,high,5,True
2005-01-26,2005,1,26,0.24,0.72,9.7,2,5,high,5,False
2005-01-27,2005,1,27,-0.02,0.02,0.0,2,5,high,5,False
2005-01-28,2005,1,28,2.52,8.04,23.6,2,5,high,5,False
2005-01-29,2005,1,29,0.01,0.1,0.0,2,5,high,5,False
2005-01-30,2005,1,30,0.0,0.09,0.0,2,5,high,5,False
2005-01-31,2005,1,31,0.0,0.12,0.0,2,5,high,5,False
2005-02-01,2005,2,1,0.0,0.08,0.0,2,5,high,5,False
2005-02-02,2005,2,2,0.0,0.06,0.0,2,5,high,5,False
2005-02-03,2005,2,3,0.0,0.05,0.0,2,5,high,5,False
2005-02-04,2005,2,4,0.0,0.05,0.0,2,5,high,5,False
2005-02-05,2005,2,5,0.0,0.04,0.0,2,5,high,5,False
