Date,Year,Month,Day,RH,Q,S,data_quality,source_priority,is_outlier_RH
2005-01-01,2005,1,1,91.5,2,5,high,5,False
2005-01-02,2005,1,2,90.5,2,5,high,5,False
2005-01-03,2005,1,3,84.8,2,5,high,5,False
2005-01-04,2005,1,4,83.8,2,5,high,5,False
2005-01-05,2005,1,5,91.7,2,5,high,5,False
2005-01-06,2005,1,6,85.8,2,5,high,5,False
2005-01-07,2005,1,7,84.1,2,5,high,5,False
2005-01-08,2005,1,8,84.2,2,5,high,5,False
2005-01-09,2005,1,9,82.5,2,5,high,5,False
2005-01-10,2005,1,10,83.9,2,5,high,5,False
2005-01-11,2005,1,11,85.5,2,5,high,5,False
2005-01-12,2005,1,12,83.8,2,5,high,5,False
2005-01-13,2005,1,13,85.1,2,5,high,5,False
2005-01-14,2005,1,14,84.0,2,5,high,5,False
2005-01-15,2005,1,15,83.8,2,5,high,5,False
2005-01-16,2005,1,16,87.7,2,5,high,5,False
2005-01-17,2005,1,17,83.1,2,5,high,5,False
2005-01-18,2005,1,18,83.3,2,5,high,5,False
2005-01-19,2005,1,19,90.1,2,5,high,5,False
2005-01-20,2005,1,20,86.7,2,5,high,5,False
2005-01-21,2005,1,21,80.9,2,5,high,5,False
2005-01-22,2005,1,22,82.0,2,5,high,5,False
2005-01-23,2005,1,23,84.8,2,5,high,5,False
2005-01-24,2005,1,24,86.2,2,5,high,5,False
2005-01-25,2005,1,25,90.9,2,5,high,5,False
2005-01-26,2005,1,26,,2,5,high,5,True
2005-01-27,2005,1,27,87.5,2,5,high,5,False
2005-01-28,2005,1,28,89.2,2,5,high,5,False
2005-01-29,2005,1,29,87.8,2,5,high,5,False
2005-01-30,2005,1,30,86.2,2,5,high,5,False
2005-01-31,2005,1,31,87.6,2,5,high,5,False
2005-02-01,2005,2,1,89.8,2,5,high,5,False
2005-02-02,2005,2,2,87.8,2,5,high,5,False
2005-02-03,2005,2,3,85.0,2,5,high,5,False
2005-02-04,2005,2,4,90.3,2,5,high,5,False
2005-02-05,2005,2,5,90.8,2,5,high,5,False
2005-02-06,2005,2,6,90.5,2,5,high,5,False
2005-02-07,2005,2,7,90.7,2,5,high,5,False
2005-02-08,2005,2,8,,2,5,high,5,True
2005-02-09,2005,2,9,91.9,2,5,high,5,False
2005-02-10,2005,2,10,90.0,2,5,high,5,False
2005-02-11,2005,2,11,88.8,2,5,high,5,False
2005-02-12,2005,2,12,88.5,2,5,high,5,False
2005-02-13,2005,2,13,86.3,2,5,high,5,False
2005-02-14,2005,2,14,88.9,2,5,high,5,False
2005-02-15,2005,2,15,86.5,2,5,high,5,False
2005-02-16,2005,2,16,87.7,2,5,high,5,False
2005-02-17,2005,2,17,88.2,2,5,high,5,False
2005-02-18,2005,2,18,,2,5,high,5,True
2005-02-19,2005,2,19,89.1,2,5,high,5,False
2005-02-20,2005,2,20,90.6,2,5,high,5,False
2005-02-21,2005,2,21,,2,5,high,5,True
2005-02-22,2005,2,22,88.1,2,5,high,5,False
2005-02-23,2005,2,23,88.7,2,5,high,5,False
2005-02-24,2005,2,24,88.0,2,5,high,5,False
2005-02-25,2005,2,25,87.4,2,5,high,5,False
2005-02-26,2005,2,26,,2,5,high,5,True
2005-02-27,2005,2,27,89.8,2,5,high,5,False
2005-02-28,2005,2,28,91.7,2,5,high,5,False
2005-03-01,2005,3,1,85.3,2,5,high,5,False
2005-03-02,2005,3,2,92.1,2,5,high,5,False
2005-03-03,2005,3,3,90.2,2,5,high,5,False
2005-03-04,2005,3,4,87.2,2,5,high,5,False
2005-03-05,2005,3,5,88.6,2,5,high,5,False
2005-03-06,2005,3,6,89.6,2,5,high,5,False
2005-03-07,2005,3,7,90.2,2,5,high,5,False
2005-03-08,2005,3,8,92.2,2,5,high,5,False
2005-03-09,2005,3,9,92.2,2,5,high,5,False
2005-03-10,2005,3,10,85.7,2,5,high,5,False
2005-03-11,2005,3,11,85.9,2,5,high,5,False
2005-03-12,2005,3,12,84.7,2,5,high,5,False
2005-03-13,2005,3,13,85.8,2,5,high,5,False
2005-03-14,2005,3,14,87.7,2,5,high,5,False
2005-03-15,2005,3,15,87.1,2,5,high,5,False
2005-03-16,2005,3,16,86.6,2,5,high,5,False
2005-03-17,2005,3,17,88.2,2,5,high,5,False
2005-03-18,2005,3,18,87.6,2,5,high,5,False
2005-03-19,2005,3,19,89.1,2,5,high,5,False
2005-03-20,2005,3,20,90.3,2,5,high,5,False
2006-09-12,2006,9,12,80.1,2,1,high,1,False
2006-09-13,2006,9,13,88.0,2,1,high,1,False
2006-09-14,2006,9,14,82.6,2,1,high,1,False
2006-09-15,2006,9,15,81.8,2,1,high,1,False
2006-09-16,2006,9,16,82.2,2,1,high,1,False
2006-09-17,2006,9,17,83.0,2,1,high,1,False
2006-09-18,2006,9,18,82.6,2,1,high,1,False
2006-09-19,2006,9,19,80.9,2,1,high,1,False
2006-09-20,2006,9,20,81.4,2,1,high,1,False
2006-09-21,2006,9,21,80.5,2,1,high,1,False
