Date,Year,Month,Day,SST,Q,S
2005-01-01,2005,1,1,29.14,4,5
2005-01-02,2005,1,2,29.02,4,5
2005-01-03,2005,1,3,29.06,4,5
2005-01-04,2005,1,4,29.45,4,5
2005-01-05,2005,1,5,29.14,4,5
2005-01-06,2005,1,6,29.15,4,5
2005-01-07,2005,1,7,29.17,4,5
2005-01-08,2005,1,8,29.06,4,5
2005-01-09,2005,1,9,28.85,4,5
2005-01-10,2005,1,10,28.75,4,5
2005-01-11,2005,1,11,28.68,4,5
2005-01-12,2005,1,12,28.65,4,5
2005-01-13,2005,1,13,28.62,4,5
2005-01-14,2005,1,14,28.66,4,5
2005-01-15,2005,1,15,28.8,4,5
2005-01-16,2005,1,16,28.93,4,5
2005-01-17,2005,1,17,29.2,4,5
2005-01-18,2005,1,18,29.38,4,5
2005-01-19,2005,1,19,29.04,4,5
2005-01-20,2005,1,20,29.13,4,5
2005-01-21,2005,1,21,29.65,4,5
2005-01-22,2005,1,22,30.01,4,5
2005-01-23,2005,1,23,29.6,4,5
2005-01-24,2005,1,24,29.63,4,5
2005-01-25,2005,1,25,29.4,4,5
2005-01-26,2005,1,26,29.17,4,5
2005-01-27,2005,1,27,29.55,4,5
2005-01-28,2005,1,28,29.48,4,5
2005-01-29,2005,1,29,29.29,4,5
2005-01-30,2005,1,30,29.54,4,5
2005-01-31,2005,1,31,29.46,4,5
2005-02-01,2005,2,1,29.21,4,5
2005-02-02,2005,2,2,29.31,4,5
2005-02-03,2005,2,3,29.46,4,5
2005-02-04,2005,2,4,29.7,4,5
2005-02-05,2005,2,5,29.65,4,5
2005-02-06,2005,2,6,29.55,4,5
2005-02-07,2005,2,7,29.4,4,5
2005-02-08,2005,2,8,29.5,4,5
2005-02-09,2005,2,9,29.74,4,5
2005-02-10,2005,2,10,29.61,4,5
2005-02-11,2005,2,11,29.61,4,5
2005-02-12,2005,2,12,29.81,4,5
2005-02-13,2005,2,13,30.03,4,5
2005-02-14,2005,2,14,29.8,4,5
2005-02-15,2005,2,15,30.21,4,5
2005-02-16,2005,2,16,30.29,4,5
2005-02-17,2005,2,17,30.34,4,5
2005-02-18,2005,2,18,30.12,4,5
2005-02-19,2005,2,19,30.06,4,5
2005-02-20,2005,2,20,30.15,4,5
2005-02-21,2005,2,21,30.16,4,5
2005-02-22,2005,2,22,30.15,4,5
2005-02-23,2005,2,23,30.44,4,5
2005-02-24,2005,2,24,30.79,4,5
2005-02-25,2005,2,25,30.54,4,5
2005-02-26,2005,2,26,30.34,4,5
2005-02-27,2005,2,27,30.34,4,5
2005-02-28,2005,2,28,29.99,4,5
2005-03-01,2005,3,1,30.49,4,5
2005-03-02,2005,3,2,30.43,4,5
2005-03-03,2005,3,3,30.12,4,5
2005-03-04,2005,3,4,30.35,4,5
2005-03-05,2005,3,5,30.28,4,5
2005-03-06,2005,3,6,30.64,4,5
2005-03-07,2005,3,7,30.71,4,5
2005-03-08,2005,3,8,30.55,4,5
2005-03-09,2005,3,9,30.55,4,5
2005-03-10,2005,3,10,30.21,4,5
2005-03-11,2005,3,11,30.29,4,5
2005-03-12,2005,3,12,30.37,4,5
2005-03-13,2005,3,13,30.69,4,5
2005-03-14,2005,3,14,30.28,4,5
2005-03-15,2005,3,15,30.39,4,5
2005-03-16,2005,3,16,30.49,4,5
2005-03-17,2005,3,17,30.16,4,5
2005-03-18,2005,3,18,30.06,4,5
2005-03-19,2005,3,19,29.92,4,5
2005-03-20,2005,3,20,30.11,4,5
2005-03-21,2005,3,21,30.0,4,5
2005-03-22,2005,3,22,29.98,4,5
2005-03-23,2005,3,23,30.26,4,5
2005-03-24,2005,3,24,30.08,4,5
2005-03-25,2005,3,25,30.01,4,5
2005-03-26,2005,3,26,29.82,4,5
2005-03-27,2005,3,27,29.74,4,5
2005-03-28,2005,3,28,29.63,4,5
2005-03-29,2005,3,29,29.56,4,5
2005-03-30,2005,3,30,29.63,4,5
2005-03-31,2005,3,31,29.52,4,5
2005-04-01,2005,4,1,29.43,4,5
2005-04-02,2005,4,2,29.56,4,5
2005-04-03,2005,4,3,29.53,4,5
2005-04-04,2005,4,4,29.64,4,5
2005-04-05,2005,4,5,29.9,4,5
2005-04-06,2005,4,6,30.04,4,5
2005-04-07,2005,4,7,30.11,4,5
2005-04-08,2005,4,8,30.48,4,5
2005-04-09,2005,4,9,30.42,4,5
2005-04-10,2005,4,10,30.43,4,5
2005-04-11,2005,4,11,30.37,4,5
2005-04-12,2005,4,12,30.4,4,5
2005-04-13,2005,4,13,30.55,4,5
2005-04-14,2005,4,14,30.56,4,5
2005-04-15,2005,4,15,30.1,4,5
2005-04-16,2005,4,16,30.14,4,5
2005-04-17,2005,4,17,30.05,4,5
2005-04-18,2005,4,18,30.0,4,5
2005-04-19,2005,4,19,30.62,4,5
2005-04-20,2005,4,20,30.47,4,5
2005-04-21,2005,4,21,30.5,4,5
2005-04-22,2005,4,22,30.49,4,5
2005-04-23,2005,4,23,30.49,4,5
2005-04-24,2005,4,24,30.68,4,5
2005-04-25,2005,4,25,31.06,4,5
2005-04-26,2005,4,26,30.93,4,5
2005-04-27,2005,4,27,30.67,4,5
2005-04-28,2005,4,28,31.22,4,5
2005-04-29,2005,4,29,31.04,4,5
2005-04-30,2005,4,30,31.1,4,5
2005-05-01,2005,5,1,30.7,4,5
2005-05-02,2005,5,2,30.64,4,5
2005-05-03,2005,5,3,30.36,4,5
2005-05-04,2005,5,4,30.35,4,5
2005-05-05,2005,5,5,30.3,4,5
2005-05-06,2005,5,6,30.4,4,5
2005-05-07,2005,5,7,30.14,4,5
2005-05-08,2005,5,8,29.99,4,5
2005-05-09,2005,5,9,30.0,4,5
2005-05-10,2005,5,10,29.94,4,5
2005-05-11,2005,5,11,29.82,4,5
2005-05-12,2005,5,12,29.74,4,5
2005-05-13,2005,5,13,29.78,4,5
2005-05-14,2005,5,14,29.85,4,5
2005-05-15,2005,5,15,29.81,4,5
2005-05-16,2005,5,16,30.03,4,5
2005-05-17,2005,5,17,30.17,4,5
2005-05-18,2005,5,18,30.14,4,5
2005-05-19,2005,5,19,30.26,4,5
2005-05-20,2005,5,20,30.05,4,5
2005-05-21,2005,5,21,30.03,4,5
2005-05-22,2005,5,22,30.04,4,5
2005-05-23,2005,5,23,30.03,4,5
2005-05-24,2005,5,24,30.11,4,5
2005-05-25,2005,5,25,30.26,4,5
2005-05-26,2005,5,26,30.21,4,5
2005-05-27,2005,5,27,30.08,4,5
2005-05-28,2005,5,28,30.33,4,5
2005-05-29,2005,5,29,30.15,4,5
2005-05-30,2005,5,30,30.38,4,5
2005-05-31,2005,5,31,30.35,4,5
2005-06-01,2005,6,1,30.48,4,5
2005-06-02,2005,6,2,30.47,4,5
2005-06-03,2005,6,3,30.21,4,5
2005-06-04,2005,6,4,30.28,4,5
2005-06-05,2005,6,5,30.35,4,5
2005-06-06,2005,6,6,30.43,4,5
2005-06-07,2005,6,7,30.32,4,5
2005-06-08,2005,6,8,30.32,4,5
2005-06-09,2005,6,9,30.38,4,5
2005-06-10,2005,6,10,30.14,4,5
2005-06-11,2005,6,11,30.08,4,5
2005-06-12,2005,6,12,30.1,4,5
2005-06-13,2005,6,13,30.05,4,5
2005-06-14,2005,6,14,29.92,4,5
2005-06-15,2005,6,15,29.93,4,5
2005-06-16,2005,6,16,29.8,4,5
2005-06-17,2005,6,17,29.68,4,5
2005-06-18,2005,6,18,29.63,4,5
2005-06-19,2005,6,19,29.59,4,5
2005-06-20,2005,6,20,29.58,4,5
2005-06-21,2005,6,21,29.57,4,5
2005-06-22,2005,6,22,29.6,4,5
2005-06-23,2005,6,23,29.59,4,5
2005-06-24,2005,6,24,29.51,4,5
2005-06-25,2005,6,25,29.35,4,5
2005-06-26,2005,6,26,29.33,4,5
2005-06-27,2005,6,27,29.42,4,5
2005-06-28,2005,6,28,29.49,4,5
2005-06-29,2005,6,29,29.72,4,5
2005-06-30,2005,6,30,29.87,4,5
2005-07-01,2005,7,1,29.99,4,5
2005-07-02,2005,7,2,29.53,4,5
2005-07-03,2005,7,3,29.48,4,5
2005-07-04,2005,7,4,29.69,4,5
2005-07-05,2005,7,5,29.95,4,5
2005-07-06,2005,7,6,30.2,4,5
2005-07-07,2005,7,7,29.97,4,5
2005-07-08,2005,7,8,29.91,4,5
2005-07-09,2005,7,9,29.72,4,5
2005-07-10,2005,7,10,29.59,4,5
2005-07-11,2005,7,11,29.56,4,5
2005-07-12,2005,7,12,29.48,4,5
2005-07-13,2005,7,13,29.48,4,5
2005-07-14,2005,7,14,29.43,4,5
2005-07-15,2005,7,15,29.41,4,5
2005-07-16,2005,7,16,29.21,4,5
2005-07-17,2005,7,17,29.19,4,5
2005-07-18,2005,7,18,29.14,4,5
2005-07-19,2005,7,19,29.16,4,5
2005-07-20,2005,7,20,29.25,4,5
2005-07-21,2005,7,21,29.3,4,5
2005-07-22,2005,7,22,29.17,4,5
2005-07-23,2005,7,23,29.15,4,5
2005-07-24,2005,7,24,29.19,4,5
2005-07-25,2005,7,25,29.27,4,5
2005-07-26,2005,7,26,29.28,4,5
2005-07-27,2005,7,27,29.24,4,5
2005-07-28,2005,7,28,29.31,4,5
2005-07-29,2005,7,29,29.37,4,5
2005-07-30,2005,7,30,29.28,4,5
2005-07-31,2005,7,31,29.25,4,5
2005-08-01,2005,8,1,29.27,4,5
2005-08-02,2005,8,2,29.23,4,5
2005-08-03,2005,8,3,29.21,4,5
2005-08-04,2005,8,4,29.34,4,5
2005-08-05,2005,8,5,29.5,4,5
2005-08-06,2005,8,6,29.47,4,5
2005-08-07,2005,8,7,29.43,4,5
2005-08-08,2005,8,8,29.35,4,5
2005-08-09,2005,8,9,29.44,4,5
2005-08-10,2005,8,10,29.61,4,5
2005-08-11,2005,8,11,29.2,4,5
2005-08-12,2005,8,12,29.06,4,5
2005-08-13,2005,8,13,29.14,4,5
2005-08-14,2005,8,14,29.23,4,5
2005-08-15,2005,8,15,29.36,4,5
2005-08-16,2005,8,16,29.33,4,5
2005-08-17,2005,8,17,29.35,4,5
2005-08-18,2005,8,18,29.29,4,5
2005-08-19,2005,8,19,29.12,4,5
2005-08-20,2005,8,20,29.32,4,5
2005-08-21,2005,8,21,29.09,4,5
2005-08-22,2005,8,22,29.28,4,5
2005-08-23,2005,8,23,29.29,4,5
2005-08-24,2005,8,24,29.13,4,5
2005-08-25,2005,8,25,29.07,4,5
2005-08-26,2005,8,26,29.18,4,5
2005-08-27,2005,8,27,29.16,4,5
2005-08-28,2005,8,28,28.84,4,5
2005-08-29,2005,8,29,28.88,4,5
2005-08-30,2005,8,30,28.86,4,5
2005-08-31,2005,8,31,28.91,4,5
2005-09-01,2005,9,1,28.8,4,5
2005-09-02,2005,9,2,28.73,4,5
2005-09-03,2005,9,3,28.59,4,5
2005-09-04,2005,9,4,28.69,4,5
2005-09-05,2005,9,5,28.52,4,5
2005-09-06,2005,9,6,28.33,4,5
2005-09-07,2005,9,7,28.24,4,5
2005-09-08,2005,9,8,28.37,4,5
2005-09-09,2005,9,9,28.74,4,5
2005-09-10,2005,9,10,29.21,4,5
2005-09-11,2005,9,11,29.26,4,5
2005-09-12,2005,9,12,29.28,4,5
2005-09-13,2005,9,13,29.31,4,5
2005-09-14,2005,9,14,29.44,4,5
2005-09-15,2005,9,15,29.26,4,5
2005-09-16,2005,9,16,29.08,4,5
2005-09-17,2005,9,17,29.09,4,5
2005-09-18,2005,9,18,29.29,4,5
2005-09-19,2005,9,19,29.27,4,5
2005-09-20,2005,9,20,29.4,4,5
2005-09-21,2005,9,21,29.62,4,5
2005-09-22,2005,9,22,29.42,4,5
2005-09-23,2005,9,23,29.49,4,5
2005-09-24,2005,9,24,29.15,4,5
2005-09-25,2005,9,25,29.34,4,5
2005-09-26,2005,9,26,29.42,4,5
2005-09-27,2005,9,27,29.41,4,5
2005-09-28,2005,9,28,29.68,4,5
2005-09-29,2005,9,29,29.49,4,5
2005-09-30,2005,9,30,29.63,4,5
2005-10-01,2005,10,1,29.31,4,5
2005-10-02,2005,10,2,29.05,4,5
2005-10-03,2005,10,3,28.93,4,5
2005-10-04,2005,10,4,28.78,4,5
2005-10-05,2005,10,5,28.97,4,5
2005-10-06,2005,10,6,29.23,4,5
2005-10-07,2005,10,7,28.97,4,5
2005-10-08,2005,10,8,28.97,4,5
2005-10-09,2005,10,9,28.79,4,5
2005-10-10,2005,10,10,28.72,4,5
2005-10-11,2005,10,11,28.64,4,5
2005-10-12,2005,10,12,28.57,4,5
2005-10-13,2005,10,13,28.65,4,5
2005-10-14,2005,10,14,28.6,4,5
2005-10-15,2005,10,15,28.75,4,5
2005-10-16,2005,10,16,28.5,4,5
2005-10-17,2005,10,17,28.52,4,5
2005-10-18,2005,10,18,28.62,4,5
2005-10-19,2005,10,19,28.68,4,5
2005-10-20,2005,10,20,28.63,4,5
2005-10-21,2005,10,21,28.79,4,5
2005-10-22,2005,10,22,28.73,4,5
2005-10-23,2005,10,23,28.74,4,5
2005-10-24,2005,10,24,28.92,4,5
2005-10-25,2005,10,25,29.03,4,5
2005-10-26,2005,10,26,28.73,4,5
2005-10-27,2005,10,27,29.16,4,5
2005-10-28,2005,10,28,28.95,4,5
2005-10-29,2005,10,29,28.77,4,5
2005-10-30,2005,10,30,28.69,4,5
2005-10-31,2005,10,31,28.66,4,5
2005-11-01,2005,11,1,28.55,4,5
2005-11-02,2005,11,2,28.49,4,5
2005-11-03,2005,11,3,28.41,4,5
2005-11-04,2005,11,4,28.49,4,5
2005-11-05,2005,11,5,28.58,4,5
2005-11-06,2005,11,6,28.67,4,5
2005-11-07,2005,11,7,28.71,4,5
2005-11-08,2005,11,8,28.7,4,5
2005-11-09,2005,11,9,29.09,4,5
2005-11-10,2005,11,10,29.12,4,5
2005-11-11,2005,11,11,29.12,4,5
2005-11-12,2005,11,12,29.23,4,5
2005-11-13,2005,11,13,28.95,4,5
2005-11-14,2005,11,14,28.61,4,5
2005-11-15,2005,11,15,28.48,4,5
2005-11-16,2005,11,16,28.46,4,5
2005-11-17,2005,11,17,28.34,4,5
2005-11-18,2005,11,18,28.28,4,5
2005-11-19,2005,11,19,28.24,4,5
2005-11-20,2005,11,20,28.15,4,5
2005-11-21,2005,11,21,28.29,4,5
2005-11-22,2005,11,22,28.24,4,5
2005-11-23,2005,11,23,28.21,4,5
2005-11-24,2005,11,24,28.28,4,5
2005-11-25,2005,11,25,28.43,4,5
2005-11-26,2005,11,26,28.31,4,5
2005-11-27,2005,11,27,28.53,4,5
2005-11-28,2005,11,28,28.53,4,5
2005-11-29,2005,11,29,28.48,4,5
2005-11-30,2005,11,30,28.54,4,5
2005-12-01,2005,12,1,28.61,4,5
2005-12-02,2005,12,2,28.6,4,5
2005-12-03,2005,12,3,28.5,4,5
2005-12-04,2005,12,4,28.4,4,5
2005-12-05,2005,12,5,28.41,4,5
2005-12-06,2005,12,6,28.38,4,5
2005-12-07,2005,12,7,28.29,4,5
2005-12-08,2005,12,8,28.54,4,5
2005-12-09,2005,12,9,28.44,4,5
2005-12-10,2005,12,10,28.47,4,5
2005-12-11,2005,12,11,28.54,4,5
2005-12-12,2005,12,12,28.66,4,5
2005-12-13,2005,12,13,28.59,4,5
2005-12-14,2005,12,14,28.44,4,5
2005-12-15,2005,12,15,28.54,4,5
2005-12-16,2005,12,16,28.59,4,5
2005-12-17,2005,12,17,28.59,4,5
2005-12-18,2005,12,18,28.53,4,5
2005-12-19,2005,12,19,28.5,4,5
2005-12-20,2005,12,20,28.38,4,5
2005-12-21,2005,12,21,28.4,4,5
2005-12-22,2005,12,22,28.43,4,5
2005-12-23,2005,12,23,28.37,4,5
2005-12-24,2005,12,24,28.42,4,5
2005-12-25,2005,12,25,28.81,4,5
2005-12-26,2005,12,26,29.17,4,5
2005-12-27,2005,12,27,28.7,4,5
2005-12-28,2005,12,28,28.55,4,5
2005-12-29,2005,12,29,28.54,4,5
2005-12-30,2005,12,30,28.55,4,5
2005-12-31,2005,12,31,28.63,4,5
2006-01-01,2006,1,1,28.75,4,5
2006-01-02,2006,1,2,28.67,4,5
2006-01-03,2006,1,3,28.65,4,5
2006-01-04,2006,1,4,28.72,4,5
2006-01-05,2006,1,5,28.7,4,5
2006-01-06,2006,1,6,28.85,4,5
2006-01-07,2006,1,7,28.63,4,5
2006-01-08,2006,1,8,28.65,4,5
2006-01-09,2006,1,9,28.55,4,5
2006-01-10,2006,1,10,28.42,4,5
2006-01-11,2006,1,11,28.44,4,5
2006-01-12,2006,1,12,28.98,4,5
2006-01-13,2006,1,13,29.11,4,5
2006-01-14,2006,1,14,28.81,4,5
2006-01-15,2006,1,15,28.62,4,5
2006-01-16,2006,1,16,28.45,4,5
2006-01-17,2006,1,17,28.67,4,5
2006-01-18,2006,1,18,28.89,4,5
2006-01-19,2006,1,19,29.08,4,5
2006-01-20,2006,1,20,29.36,4,5
2006-01-21,2006,1,21,28.95,4,5
2006-01-22,2006,1,22,28.72,4,5
2006-01-23,2006,1,23,28.67,4,5
2006-01-24,2006,1,24,28.65,4,5
2006-01-25,2006,1,25,28.68,4,5
2006-01-26,2006,1,26,28.79,4,5
2006-01-27,2006,1,27,28.82,4,5
2006-01-28,2006,1,28,28.78,4,5
2006-01-29,2006,1,29,28.79,4,5
2006-01-30,2006,1,30,28.67,4,5
2006-01-31,2006,1,31,28.66,4,5
2006-02-01,2006,2,1,28.94,4,5
2006-02-02,2006,2,2,29.02,4,5
2006-02-03,2006,2,3,29.37,4,5
2006-02-04,2006,2,4,29.56,4,5
2006-02-05,2006,2,5,29.19,4,5
2006-02-06,2006,2,6,29.56,4,5
2006-02-07,2006,2,7,29.39,4,5
2006-02-08,2006,2,8,29.44,4,5
2006-02-09,2006,2,9,29.34,4,5
2006-02-10,2006,2,10,29.26,4,5
2006-02-11,2006,2,11,29.56,4,5
2006-02-12,2006,2,12,29.4,4,5
2006-02-13,2006,2,13,29.1,4,5
2006-02-14,2006,2,14,29.22,4,5
2006-02-15,2006,2,15,29.47,4,5
2006-02-16,2006,2,16,29.77,4,5
2006-02-17,2006,2,17,29.71,4,5
2006-02-18,2006,2,18,29.51,4,5
2006-02-19,2006,2,19,30.07,4,5
2006-02-20,2006,2,20,30.06,4,5
