Date,SST,Prec,RH,WSPD,SWRad
2006-11-14,29.27,,80.5,7.7,
2006-11-15,29.04,0.36,85.8,5.1,85.9
2006-11-16,28.62,1.8,86.0,3.6,40.0
2006-11-17,28.79,0.32,82.8,5.7,250.2
2006-11-18,28.86,0.16,84.9,5.4,227.9
2006-11-19,28.73,0.31,84.8,4.8,90.0
2006-11-20,28.99,0.58,82.6,1.5,235.9
2006-11-21,28.84,0.6,85.7,1.4,174.1
2006-11-22,29.04,0.2,82.6,2.8,239.3
2006-11-23,29.29,-0.01,80.2,4.2,241.6
2006-11-24,29.39,0.21,81.5,2.8,189.8
2006-11-25,29.23,0.2,82.4,3.4,181.6
2006-11-26,29.37,0.41,81.4,5.2,220.0
2006-11-27,29.23,0.18,81.5,5.7,244.1
2006-11-28,29.13,-0.01,79.6,7.7,219.9
2006-11-29,29.15,-0.01,77.8,8.2,214.8
2006-11-30,29.16,0.42,80.3,6.9,234.2
2006-12-01,29.09,0.59,83.8,6.8,152.5
2006-12-02,29.01,-0.01,79.2,7.3,170.7
2006-12-03,28.95,-0.02,79.1,7.4,218.4
2006-12-04,28.95,0.0,79.8,7.1,246.7
2006-12-05,28.95,0.09,81.1,5.5,215.6
2006-12-06,28.93,0.0,77.8,6.8,239.6
2006-12-07,28.94,-0.01,80.4,6.3,234.5
2006-12-08,29.03,0.05,84.1,4.7,226.6
2006-12-09,29.07,-0.01,82.9,6.2,212.1
2006-12-10,29.09,0.0,82.0,5.7,247.1
2006-12-11,29.06,0.03,82.4,7.1,224.0
2006-12-12,29.04,0.03,83.5,6.6,182.2
2006-12-13,28.97,0.62,85.0,6.7,183.7
2006-12-14,28.93,0.02,83.7,6.5,239.3
2006-12-15,28.89,0.23,82.8,7.8,226.3
2006-12-16,28.9,0.06,80.6,8.9,192.5
2006-12-17,28.91,0.56,85.8,7.8,178.2
2006-12-18,28.89,0.26,86.1,7.7,146.0
2006-12-19,28.93,-0.02,80.3,9.1,228.4
2006-12-20,28.77,-0.02,75.4,8.9,231.1
2006-12-21,28.29,0.33,80.7,8.7,197.8
2006-12-22,28.15,-0.02,79.4,8.8,207.2
2006-12-23,28.17,-0.02,78.2,9.3,200.7
2006-12-24,28.17,-0.02,77.3,8.1,236.9
2006-12-25,28.07,-0.03,74.6,7.6,195.4
2006-12-26,28.02,-0.02,70.0,5.8,223.2
2006-12-27,27.98,-0.02,71.8,5.7,235.7
2006-12-28,27.9,-0.02,78.0,6.4,205.3
2006-12-29,27.77,-0.02,76.7,8.3,220.4
2006-12-30,27.62,-0.02,77.2,7.8,224.3
2006-12-31,27.53,-0.02,77.1,7.3,216.0
2007-01-01,27.51,-0.01,70.1,6.1,229.0
2007-01-02,27.45,-0.02,67.7,6.3,211.9
2007-01-03,27.41,-0.02,,5.1,211.8
2007-01-04,27.41,-0.02,,5.1,224.7
2007-01-05,27.63,0.01,69.8,6.1,181.6
2007-01-06,27.92,-0.02,73.6,5.3,213.6
2007-01-07,27.84,,91.0,4.0,41.5
2007-01-08,27.95,1.32,85.1,7.9,48.0
2007-01-09,27.74,0.0,84.9,8.6,232.3
2007-01-10,27.81,-0.01,85.4,7.4,221.8
2007-01-11,27.84,-0.02,83.2,8.1,236.1
2007-01-12,27.86,-0.02,82.0,8.1,224.5
2007-01-13,27.87,-0.01,79.3,7.6,234.4
2007-01-14,27.99,-0.01,82.9,7.0,225.7
2007-01-15,27.92,-0.01,84.8,8.0,237.6
2007-01-16,27.75,-0.01,81.8,7.9,221.5
2007-01-17,27.79,-0.01,84.2,7.6,212.2
2007-01-18,27.86,-0.01,82.0,7.6,238.3
2007-01-19,27.93,-0.01,80.4,8.0,228.1
2007-01-20,28.08,-0.01,81.8,8.3,249.2
2007-01-21,28.18,-0.01,78.1,7.2,252.7
2007-01-22,28.25,-0.01,77.0,7.6,122.2
2007-01-23,28.11,-0.01,78.2,7.9,215.9
2007-01-24,28.18,-0.01,81.8,8.6,97.5
2007-01-25,28.41,1.72,87.2,7.8,81.4
2007-01-26,28.04,0.07,82.8,6.9,194.6
2007-01-27,28.14,-0.01,81.9,8.3,223.4
2007-01-28,28.22,-0.01,78.0,8.8,234.3
2007-01-29,28.17,-0.01,78.3,8.4,256.4
2007-01-30,27.69,-0.01,74.9,7.8,259.0
2007-01-31,27.74,-0.01,74.5,7.5,248.7
2007-02-01,28.07,-0.01,71.0,7.6,263.7
2007-02-02,28.23,0.01,72.1,7.7,265.6
2007-02-03,28.25,-0.01,72.8,7.0,256.4
2007-02-04,28.3,-0.01,67.1,6.4,223.7
2007-02-05,28.35,-0.01,66.5,5.9,270.8
2007-02-06,28.38,-0.01,69.4,5.1,241.8
2007-02-07,28.41,-0.01,73.7,6.3,264.6
2007-02-08,28.44,0.7,79.9,6.1,280.4
2007-02-09,28.38,0.14,80.3,7.6,231.0
2007-02-10,28.55,-0.01,79.1,7.1,263.7
2007-02-11,28.65,-0.01,80.2,5.5,263.2
2007-02-12,28.69,-0.01,78.6,4.5,254.4
2007-02-13,28.75,0.0,77.3,3.5,274.9
2007-02-14,28.9,0.0,77.2,2.1,256.4
2007-02-15,28.78,-0.01,75.5,3.9,280.3
2007-02-16,28.76,0.0,74.2,4.0,298.4
2007-02-17,28.74,-0.01,73.4,5.4,272.7
2007-02-18,28.53,-0.01,70.8,6.8,294.1
2007-02-19,28.35,-0.02,71.1,6.7,241.4
2007-02-20,28.25,-0.02,71.3,7.5,257.9
2007-02-21,28.19,-0.01,74.7,7.2,248.7
2007-02-22,28.19,-0.01,78.9,6.6,219.5
2007-02-23,28.26,-0.01,84.2,5.3,222.5
2007-02-24,28.58,0.2,,,279.6
2007-02-25,28.23,,,,283.9
2007-02-26,28.52,,,,288.5
2007-02-27,28.44,,,,290.4
2007-02-28,28.38,,,,254.7
2007-03-01,28.38,,,,251.4
2007-03-02,28.66,,,,251.7
2007-03-03,28.38,,,,292.7
2007-03-04,28.41,,,,258.0
2007-03-05,28.54,,,,266.2
2007-03-06,28.54,,,,280.0
2007-03-07,28.63,,,,282.7
2007-03-08,28.54,,,,276.5
2007-03-09,28.71,,,,261.5
2007-03-10,28.79,,,,279.6
2007-03-11,28.83,,,,279.1
2007-03-12,28.9,,,,
2007-03-13,28.87,,,,
2007-03-14,28.88,,,,
2007-03-15,28.79,,,,
2007-03-16,29.09,,,,
2007-03-17,28.91,,,,
2007-03-18,28.82,,,,
2007-03-19,28.89,,,,
2007-03-20,28.95,,,,
2007-03-21,29.11,,,,
2007-03-22,28.93,,,,
2007-03-23,28.88,,,,
2007-03-24,28.96,,,,
2007-03-25,28.81,,,,
2007-03-26,28.97,,,,
2007-03-27,28.93,,,,
2007-03-28,29.0,,,,
2007-03-29,29.1,,,,
2007-03-30,29.22,,,,
2007-03-31,29.25,,,,
2007-04-01,29.23,,,,
2007-04-02,29.23,,,,
2007-04-03,29.31,,,,
2007-04-04,29.31,,,,
2007-04-05,29.18,,,,
2007-04-06,29.13,,,,
2007-04-07,29.05,,,,
2007-04-08,28.99,,,,
2007-04-09,29.24,,,,
2007-04-10,29.37,,,,
2007-04-11,29.56,,,,
2007-04-12,29.66,,,,
2007-04-13,29.53,,,,
2007-04-14,29.42,,,,
2007-04-15,29.26,,,,
2007-04-16,28.96,,,,
2007-04-17,29.19,,,,
2007-04-18,29.51,0.0,85.1,1.4,
2007-04-19,29.82,0.0,81.2,1.1,280.8
2007-04-20,30.18,0.0,80.7,2.0,291.6
2007-04-21,30.59,0.0,79.4,1.0,273.4
2007-04-22,29.73,0.06,86.1,1.3,94.9
2007-04-23,30.3,0.0,81.6,2.1,292.2
2007-04-24,30.24,0.0,79.1,2.1,212.5
2007-04-25,30.24,0.47,83.0,2.4,260.8
2007-04-26,30.07,1.06,86.5,1.8,188.0
2007-04-27,29.51,1.44,,3.5,108.8
2007-04-28,29.28,0.13,,1.2,84.5
2007-04-29,29.6,0.0,,0.8,228.5
2007-04-30,29.98,0.0,84.9,2.3,236.1
2007-05-01,29.96,-0.01,85.5,2.9,207.3
2007-05-02,30.02,-0.01,82.2,4.0,249.2
2007-05-03,29.91,-0.01,82.7,5.0,226.5
2007-05-04,29.74,-0.01,85.9,5.8,253.1
2007-05-05,29.65,-0.01,86.4,6.9,184.9
2007-05-06,29.91,0.12,85.4,6.7,200.5
2007-05-07,29.66,-0.01,84.9,7.9,199.2
2007-05-08,29.89,0.07,85.7,9.1,156.7
2007-05-09,29.74,-0.01,83.8,9.7,149.6
2007-05-10,29.57,-0.02,84.3,10.4,157.1
2007-05-11,29.67,-0.02,85.0,11.9,230.6
2007-05-12,29.49,-0.01,84.9,11.8,192.6
2007-05-13,29.3,0.05,,8.7,140.3
2007-05-14,29.21,0.0,,10.1,224.6
2007-05-15,29.24,0.06,,9.3,268.3
2007-05-16,29.22,0.62,,8.3,253.7
2007-05-17,29.24,-0.01,,8.5,233.9
2007-05-18,29.3,0.06,,7.3,260.9
2007-05-19,29.28,-0.01,,7.3,227.5
2007-05-20,29.3,-0.01,,7.6,273.2
2007-05-21,29.3,0.01,,7.7,268.6
2007-05-22,29.38,0.12,,5.6,238.8
2007-05-23,29.47,0.0,,4.4,287.2
2007-05-24,29.68,0.0,,3.7,289.9
2007-05-25,29.7,0.0,,4.5,293.0
2007-05-26,29.71,0.02,,3.9,294.9
2007-05-27,29.94,0.0,,3.9,288.9
2007-05-28,29.89,0.06,,5.5,291.0
2007-05-29,29.72,0.03,,5.3,167.2
2007-05-30,29.69,0.42,,5.6,185.7
2007-05-31,29.88,-0.01,,2.4,264.2
2007-06-01,29.84,-0.01,,4.3,237.6
2007-06-02,29.84,0.42,,4.7,251.8
2007-06-03,29.84,-0.01,,4.7,243.5
2007-06-04,29.8,-0.01,,4.6,207.9
2007-06-05,29.83,-0.02,,6.4,256.4
2007-06-06,29.78,0.59,,6.0,196.7
2007-06-07,29.73,0.19,,5.2,199.3
2007-06-08,29.57,0.05,,6.3,44.0
2007-06-09,29.65,0.01,,5.5,282.7
2007-06-10,29.7,0.04,,6.5,189.6
2007-06-11,29.67,-0.01,,7.1,260.8
2007-06-12,29.63,0.0,,6.2,137.1
2007-06-13,29.54,0.83,,5.2,114.5
2007-06-14,29.56,0.1,,7.9,269.2
2007-06-15,29.52,0.05,,8.7,223.9
2007-06-16,29.48,1.0,,7.9,99.6
2007-06-17,29.44,1.76,,7.5,218.3
2007-06-18,29.37,0.3,,9.6,163.3
2007-06-19,29.21,1.53,,10.7,23.7
2007-06-20,29.07,1.12,,12.0,24.9
2007-06-21,29.03,0.0,,11.7,137.9
2007-06-22,29.0,0.09,,7.4,77.1
2007-06-23,29.29,0.0,,2.5,293.6
2007-06-24,29.47,0.0,,3.2,245.4
2007-06-25,29.29,0.16,,6.8,209.6
2007-06-26,29.13,1.36,,9.1,53.2
2007-06-27,29.02,0.08,,10.8,203.6
2007-06-28,29.04,0.0,,11.0,242.1
2007-06-29,29.15,0.0,,9.0,256.2
2007-06-30,29.16,-0.01,,7.9,258.9
2007-07-01,29.19,0.0,,8.0,259.4
2007-07-02,29.22,0.0,,8.2,264.0
2007-07-03,29.2,0.04,,8.3,195.2
2007-07-04,29.13,0.19,,8.5,118.1
2007-07-05,29.11,-0.01,,9.5,247.4
2007-07-06,29.08,-0.01,,10.2,249.0
2007-07-07,29.06,-0.01,,9.5,238.5
2007-07-08,29.05,-0.01,,9.5,266.4
2007-07-09,29.1,-0.01,,9.5,251.4
2007-07-10,29.07,0.03,,9.6,222.0
2007-07-11,29.02,-0.01,,10.1,213.6
2007-07-12,28.97,-0.01,,10.4,231.5
2007-07-13,28.95,0.11,,10.8,201.8
2007-07-14,28.94,-0.02,,10.5,256.7
2007-07-15,29.01,-0.01,,10.0,258.3
2007-07-16,29.01,-0.01,,8.6,269.8
2007-07-17,28.99,0.02,,6.5,225.1
2007-07-18,29.01,0.0,,6.4,247.7
2007-07-19,28.88,0.79,,7.9,109.2
2007-07-20,28.84,0.02,,6.5,140.9
2007-07-21,28.8,-0.02,,7.9,254.3
2007-07-22,28.66,-0.01,,8.0,189.8
2007-07-23,28.64,0.3,,8.4,197.9
2007-07-24,28.62,0.44,,3.2,175.0
2007-07-25,28.71,0.67,,2.1,94.2
2007-07-26,28.87,0.0,,4.4,243.1
2007-07-27,28.82,-0.01,,5.7,265.7
2007-07-28,28.69,-0.01,,6.0,277.5
2007-07-29,28.63,0.16,,5.0,116.8
2007-07-30,28.65,0.16,,5.7,175.1
2007-07-31,28.63,0.02,,7.6,125.0
2007-08-01,28.65,0.0,,8.6,185.2
2007-08-02,28.67,-0.01,,8.7,266.0
2007-08-03,28.72,-0.01,,7.9,268.7
2007-08-04,28.7,-0.02,,9.3,271.1
2007-08-05,28.7,-0.01,,10.6,196.8
2007-08-06,28.62,-0.01,,8.8,220.8
2007-08-07,28.65,-0.01,,7.5,274.0
2007-08-08,28.67,-0.01,,8.9,277.1
2007-08-09,28.67,-0.01,,9.8,264.2
2007-08-10,28.66,-0.01,,9.8,241.4
2007-08-11,28.65,0.0,,9.6,253.2
2007-08-12,28.66,0.0,,9.0,239.1
2007-08-13,28.67,-0.01,,9.2,260.0
2007-08-14,28.66,0.0,,7.8,271.7
2007-08-15,28.64,0.0,,7.9,256.0
2007-08-16,28.49,0.0,,6.9,151.4
2007-08-17,28.47,0.29,,7.7,160.5
2007-08-18,28.52,0.0,,8.9,236.4
2007-08-19,28.56,-0.01,,8.5,214.0
2007-08-20,28.6,-0.01,,8.2,213.2
2007-08-21,28.57,0.11,,7.1,65.8
2007-08-22,28.56,0.16,,6.7,148.2
2007-08-23,28.5,0.08,,6.7,56.8
2007-08-24,28.43,1.3,,6.8,70.1
2007-08-25,28.41,0.21,,6.6,205.5
2007-08-26,28.48,-0.01,,5.7,253.4
2007-08-27,28.51,-0.01,,6.3,232.8
2007-08-28,28.5,,,6.5,254.3
2007-08-29,28.49,0.12,,6.4,108.4
2007-08-30,28.6,0.01,,7.0,191.9
2007-08-31,28.57,0.33,,9.8,122.4
2007-09-01,28.56,0.0,,8.7,151.8
2007-09-02,28.51,-0.02,,8.5,199.6
2007-09-03,28.53,-0.01,,7.3,236.7
2007-09-04,28.56,-0.01,,6.8,255.4
2007-09-05,28.63,-0.01,,6.2,285.1
2007-09-06,28.7,-0.01,,5.8,293.3
2007-09-07,28.76,0.61,,4.0,247.5
2007-09-08,28.73,-0.03,,5.6,201.8
2007-09-09,28.7,-0.04,,6.7,284.1
2007-09-10,28.96,0.0,,4.2,281.1
2007-09-11,28.74,0.01,,5.4,240.2
2007-09-12,28.65,0.65,,6.6,131.7
2007-09-13,28.44,,,6.2,42.2
2007-09-14,28.49,0.34,,9.4,186.9
2007-09-15,28.48,0.51,,8.5,63.7
2007-09-16,28.52,0.03,,9.7,228.0
2007-09-17,28.51,0.01,,10.6,121.2
2007-09-18,28.49,0.0,,9.8,184.2
2007-09-19,28.48,-0.01,,9.6,224.7
2007-09-20,28.47,0.0,,10.4,198.9
2007-09-21,28.44,0.0,,10.4,255.6
2007-09-22,28.44,-0.01,,9.7,253.8
2007-09-23,28.47,0.04,,7.7,245.1
2007-09-24,28.52,0.0,,6.8,260.4
2007-09-25,28.55,0.0,,7.0,237.8
2007-09-26,28.39,1.66,,5.4,39.4
2007-09-27,28.41,0.88,,5.8,192.4
2007-09-28,28.32,0.47,,6.8,104.2
2007-09-29,28.34,-0.01,,7.5,224.6
2007-09-30,28.38,0.06,,9.6,239.6
2007-10-01,28.47,-0.02,,10.3,241.2
2007-10-02,28.45,0.08,,9.2,174.0
2007-10-03,28.4,0.78,,9.2,70.5
2007-10-04,28.4,-0.01,,9.4,204.7
2007-10-05,28.39,0.04,,9.6,170.2
2007-10-06,28.33,0.05,,9.0,152.0
2007-10-07,28.27,0.03,,8.0,117.9
2007-10-08,28.28,-0.01,,6.9,249.1
2007-10-09,,,,,
2007-10-10,28.56,-0.01,81.8,4.6,278.9
2007-10-11,28.87,0.0,79.6,2.7,273.8
2007-10-12,28.8,0.01,81.7,4.2,294.6
2007-10-13,28.67,0.29,82.9,5.8,259.0
2007-10-14,28.58,0.14,85.2,5.6,67.8
2007-10-15,28.63,0.01,83.2,3.4,238.6
2007-10-16,28.77,0.0,80.9,2.3,280.2
2007-10-17,29.0,0.03,82.1,1.5,247.5
2007-10-18,28.97,0.32,80.5,2.7,233.4
2007-10-19,28.96,0.39,84.0,3.9,244.0
2007-10-20,28.96,0.07,84.4,2.2,261.1
2007-10-21,28.73,,87.3,2.4,86.2
2007-10-22,28.72,0.06,85.0,4.2,174.6
