Date,Year,Month,Day,Prec,StDev,%Time,Q,S
2006-11-15,2006,11,15,0.36,1.4,6.0,2,5
2006-11-16,2006,11,16,1.8,6.88,11.0,2,5
2006-11-17,2006,11,17,0.32,1.22,7.0,2,5
2006-11-18,2006,11,18,0.16,0.65,6.0,2,5
2006-11-19,2006,11,19,0.31,1.63,5.0,2,5
2006-11-20,2006,11,20,0.58,4.6,3.0,2,5
2006-11-21,2006,11,21,0.6,4.16,6.0,2,5
2006-11-22,2006,11,22,0.2,1.87,2.0,2,5
2006-11-23,2006,11,23,-0.01,0.09,0.0,2,5
2006-11-24,2006,11,24,0.21,1.31,3.0,2,5
2006-11-25,2006,11,25,0.2,1.73,2.0,2,5
2006-11-26,2006,11,26,0.41,2.78,5.0,2,5
2006-11-27,2006,11,27,0.18,1.88,3.0,2,5
2006-11-28,2006,11,28,-0.01,0.04,0.0,2,5
2006-11-29,2006,11,29,-0.01,0.04,0.0,2,5
2006-11-30,2006,11,30,0.42,2.98,4.0,2,5
2006-12-01,2006,12,1,0.59,3.0,5.0,2,5
2006-12-02,2006,12,2,-0.01,0.08,0.0,2,5
2006-12-03,2006,12,3,-0.02,0.02,0.0,2,5
2006-12-04,2006,12,4,0.0,0.14,1.0,2,5
2006-12-05,2006,12,5,0.09,0.81,1.0,2,5
2006-12-06,2006,12,6,0.0,0.08,0.0,2,5
2006-12-07,2006,12,7,-0.01,0.03,0.0,2,5
2006-12-08,2006,12,8,0.05,0.27,2.0,2,5
2006-12-09,2006,12,9,-0.01,0.02,0.0,2,5
2006-12-10,2006,12,10,0.0,0.08,0.0,2,5
2006-12-11,2006,12,11,0.03,0.54,1.0,2,5
2006-12-12,2006,12,12,0.03,0.26,2.0,2,5
2006-12-13,2006,12,13,0.62,2.79,8.0,2,5
2006-12-14,2006,12,14,0.02,0.28,1.0,2,5
2006-12-15,2006,12,15,0.23,1.48,3.0,2,5
2006-12-16,2006,12,16,0.06,0.7,1.0,2,5
2006-12-17,2006,12,17,0.56,2.19,11.0,2,5
2006-12-18,2006,12,18,0.26,2.47,3.0,2,5
2006-12-19,2006,12,19,-0.02,0.01,0.0,2,5
2006-12-20,2006,12,20,-0.02,0.02,0.0,2,5
2006-12-21,2006,12,21,0.33,3.05,2.0,2,5
2006-12-22,2006,12,22,-0.02,0.05,0.0,2,5
2006-12-23,2006,12,23,-0.02,0.02,0.0,2,5
2006-12-24,2006,12,24,-0.02,0.02,0.0,2,5
2006-12-25,2006,12,25,-0.03,0.02,0.0,2,5
2006-12-26,2006,12,26,-0.02,0.01,0.0,2,5
2006-12-27,2006,12,27,-0.02,0.02,0.0,2,5
2006-12-28,2006,12,28,-0.02,0.01,0.0,2,5
2006-12-29,2006,12,29,-0.02,0.02,0.0,2,5
2006-12-30,2006,12,30,-0.02,0.02,0.0,2,5
