Date,Year,Month,Day,Prec,StDev,%Time,Q,S,is_outlier_Prec
2006-11-16,2006,November,16,0.18,0.99,2.7,1,5,False
2006-11-17,2006,November,17,0.02,0.27,0.8,1,5,False
2006-11-18,2006,November,18,0.51,3.0,4.4,1,5,False
2006-11-19,2006,November,19,0.01,0.08,0.0,1,5,False
2006-11-20,2006,November,20,1.49,6.91,12.9,1,5,False
2006-11-21,2006,November,21,0.39,2.46,5.1,1,5,False
2006-11-22,2006,November,22,0.0,0.02,0.0,1,5,False
2006-11-23,2006,November,23,0.76,2.96,9.7,1,5,False
2006-11-24,2006,November,24,0.15,0.82,3.5,1,5,False
2006-11-25,2006,November,25,0.02,0.11,0.0,1,5,False
2006-11-26,2006,November,26,0.2,0.79,4.3,1,5,False
2006-11-27,2006,November,27,0.61,2.94,8.1,1,5,False
2006-11-28,2006,November,28,0.0,0.04,0.0,1,5,False
2006-11-29,2006,November,29,0.04,0.36,1.3,1,5,False
2006-11-30,2006,November,30,1.27,6.12,15.4,1,5,False
2006-12-01,2006,Desember,1,0.0,0.01,0.0,1,5,False
2006-12-02,2006,Desember,2,0.32,1.49,4.9,1,5,False
2006-12-03,2006,Desember,3,0.02,0.18,1.4,1,5,False
2006-12-04,2006,Desember,4,-0.01,0.04,0.0,1,5,False
2006-12-05,2006,Desember,5,-0.01,0.02,0.0,1,5,False
2006-12-06,2006,Desember,6,-0.01,0.02,0.0,1,5,False
2006-12-07,2006,Desember,7,0.0,0.05,0.0,1,5,False
2006-12-08,2006,Desember,8,0.0,0.02,0.0,1,5,False
2006-12-09,2006,Desember,9,0.36,2.67,2.9,1,5,False
2006-12-10,2006,Desember,10,0.0,0.05,0.0,1,5,False
2006-12-11,2006,Desember,11,0.0,0.03,0.0,1,5,False
2006-12-12,2006,Desember,12,0.74,2.62,11.3,1,5,False
2006-12-13,2006,Desember,13,0.0,0.03,0.0,1,5,False
2006-12-14,2006,Desember,14,0.04,0.28,2.1,1,5,False
2006-12-15,2006,Desember,15,0.78,2.84,9.0,1,5,False
2006-12-16,2006,Desember,16,0.22,1.12,6.4,1,5,False
2006-12-17,2006,Desember,17,0.0,0.05,0.0,1,5,False
2006-12-18,2006,Desember,18,0.15,1.2,1.4,1,5,False
2006-12-19,2006,Desember,19,,10.46,16.9,1,5,True
2006-12-20,2006,Desember,20,0.66,2.71,9.4,1,5,False
2006-12-21,2006,Desember,21,1.96,7.16,17.5,1,5,False
2006-12-22,2006,Desember,22,,10.83,23.9,1,5,True
2006-12-23,2006,Desember,23,0.0,0.06,0.0,1,5,False
2006-12-24,2006,Desember,24,0.35,2.29,4.4,1,5,False
2006-12-25,2006,Desember,25,1.83,6.99,7.6,1,5,False
2006-12-26,2006,Desember,26,-0.01,0.01,0.0,1,5,False
2006-12-27,2006,Desember,27,-0.01,0.02,0.0,1,5,False
2006-12-28,2006,Desember,28,0.0,0.1,0.7,1,5,False
2006-12-29,2006,Desember,29,-0.01,0.03,0.0,1,5,False
2006-12-30,2006,Desember,30,0.02,0.25,1.4,1,5,False
2006-12-31,2006,Desember,31,-0.02,0.02,0.0,1,5,False
2007-01-01,2007,Januari,1,0.03,0.35,1.4,1,5,False
2007-01-02,2007,Januari,2,-0.02,0.02,0.0,1,5,False
2007-01-03,2007,Januari,3,-0.02,0.03,0.0,1,5,False
2007-01-04,2007,Januari,4,-0.03,0.03,0.0,1,5,False
2007-01-05,2007,Januari,5,-0.02,0.02,0.0,1,5,False
2007-01-06,2007,Januari,6,-0.01,0.02,0.0,1,5,False
2007-01-07,2007,Januari,7,-0.01,0.01,0.0,1,5,False
2007-01-08,2007,Januari,8,0.0,0.01,0.0,1,5,False
2007-01-09,2007,Januari,9,0.01,0.07,0.0,1,5,False
2007-01-10,2007,Januari,10,0.0,0.03,0.0,1,5,False
2007-01-11,2007,Januari,11,0.04,0.32,1.4,1,5,False
2007-01-12,2007,Januari,12,0.0,0.02,0.0,1,5,False
2007-01-13,2007,Januari,13,-0.02,0.02,0.0,1,5,False
2007-01-14,2007,Januari,14,0.69,4.39,6.5,1,5,False
2007-01-15,2007,Januari,15,0.15,0.77,3.5,1,5,False
2007-01-16,2007,Januari,16,0.0,0.03,0.0,1,5,False
2007-01-17,2007,Januari,17,,9.46,18.1,1,5,True
2007-01-18,2007,Januari,18,0.46,2.29,6.6,1,5,False
2007-01-19,2007,Januari,19,0.45,1.78,7.3,1,5,False
2007-01-20,2007,Januari,20,0.0,0.02,0.0,1,5,False
2007-01-21,2007,Januari,21,0.01,0.07,0.0,1,5,False
2007-01-22,2007,Januari,22,,11.18,21.0,1,5,True
2007-01-23,2007,Januari,23,0.03,0.17,1.4,1,5,False
2007-01-24,2007,Januari,24,0.11,0.9,1.4,1,5,False
2007-01-25,2007,Januari,25,0.0,0.01,0.0,1,5,False
2007-01-26,2007,Januari,26,0.0,0.01,0.0,1,5,False
2007-01-27,2007,Januari,27,0.0,0.01,0.0,1,5,False
2007-01-28,2007,Januari,28,-0.01,0.02,0.0,1,5,False
2007-01-29,2007,Januari,29,-0.01,0.01,0.0,1,5,False
2007-01-30,2007,Januari,30,0.48,2.56,9.0,1,5,False
2007-01-31,2007,Januari,31,-0.01,0.01,0.0,1,5,False
2007-02-01,2007,Februari,1,-0.02,0.03,0.0,1,5,False
2007-02-02,2007,Februari,2,-0.01,0.03,0.0,1,5,False
2007-02-03,2007,Februari,3,-0.01,0.01,0.0,1,5,False
2007-02-04,2007,Februari,4,-0.01,0.02,0.0,1,5,False
2007-02-05,2007,Februari,5,-0.01,0.03,0.0,1,5,False
2007-02-06,2007,Februari,6,-0.01,0.03,0.0,1,5,False
2007-02-07,2007,Februari,7,-0.01,0.01,0.0,1,5,False
2007-02-08,2007,Februari,8,0.0,0.01,0.0,1,5,False
2007-02-09,2007,Februari,9,-0.01,0.01,0.0,1,5,False
2007-02-10,2007,Februari,10,-0.01,0.01,0.0,1,5,False
2007-02-11,2007,Februari,11,0.06,0.48,2.1,1,5,False
2007-02-12,2007,Februari,12,-0.01,0.04,0.0,1,5,False
2007-02-13,2007,Februari,13,-0.01,0.04,0.0,1,5,False
2007-02-14,2007,Februari,14,-0.01,0.01,0.0,1,5,False
2007-02-15,2007,Februari,15,-0.01,0.04,0.0,1,5,False
2007-02-16,2007,Februari,16,-0.01,0.05,0.0,1,5,False
2007-02-17,2007,Februari,17,-0.01,0.03,0.0,1,5,False
2007-02-18,2007,Februari,18,-0.01,0.01,0.0,1,5,False
2007-02-19,2007,Februari,19,-0.01,0.01,0.0,1,5,False
2007-02-20,2007,Februari,20,-0.01,0.04,0.0,1,5,False
2007-02-21,2007,Februari,21,-0.01,0.07,0.0,1,5,False
2007-02-22,2007,Februari,22,0.04,0.26,1.4,1,5,False
2007-02-23,2007,Februari,23,0.0,0.03,0.0,1,5,False
2007-02-24,2007,Februari,24,0.96,9.05,2.6,1,5,False
2007-02-25,2007,Februari,25,0.0,0.04,0.0,1,5,False
2007-02-26,2007,Februari,26,0.0,0.07,0.0,1,5,False
2007-02-27,2007,Februari,27,0.13,0.7,3.8,1,5,False
2007-02-28,2007,Februari,28,0.0,0.05,0.0,1,5,False
2007-03-01,2007,Maret,1,0.0,0.05,0.0,1,5,False
2007-03-02,2007,Maret,2,0.0,0.03,0.0,1,5,False
2007-03-03,2007,Maret,3,0.0,0.03,0.0,1,5,False
2007-03-04,2007,Maret,4,0.0,0.06,0.0,1,5,False
2007-03-05,2007,Maret,5,0.0,0.09,0.0,1,5,False
2007-03-06,2007,Maret,6,0.0,0.08,0.0,1,5,False
2007-03-07,2007,Maret,7,0.0,0.08,0.0,1,5,False
2007-03-08,2007,Maret,8,0.24,1.39,4.2,1,5,False
2007-03-09,2007,Maret,9,0.0,0.07,0.0,1,5,False
2007-03-10,2007,Maret,10,0.0,0.05,0.0,1,5,False
2007-03-11,2007,Maret,11,0.24,1.76,2.9,1,5,False
2007-03-12,2007,Maret,12,0.02,0.16,0.7,1,5,False
2007-03-13,2007,Maret,13,0.11,0.55,3.5,1,5,False
2007-03-14,2007,Maret,14,0.33,2.37,2.8,1,5,False
2007-03-15,2007,Maret,15,0.74,5.11,2.9,1,5,False
2007-03-16,2007,Maret,16,0.04,0.28,1.4,1,5,False
2007-03-17,2007,Maret,17,0.0,0.01,0.0,1,5,False
2007-03-18,2007,Maret,18,0.0,0.03,0.0,1,5,False
2007-03-19,2007,Maret,19,0.0,0.03,0.0,1,5,False
2007-03-20,2007,Maret,20,0.0,0.04,0.0,1,5,False
2007-03-21,2007,Maret,21,0.0,0.04,0.0,1,5,False
2007-03-22,2007,Maret,22,0.0,0.04,0.0,1,5,False
2007-03-23,2007,Maret,23,0.0,0.06,0.0,1,5,False
2007-03-24,2007,Maret,24,-0.02,0.22,0.0,1,5,False
2007-03-25,2007,Maret,25,0.0,0.05,0.0,1,5,False
2007-03-26,2007,Maret,26,0.0,0.02,0.0,1,5,False
2007-03-27,2007,Maret,27,0.0,0.01,0.0,1,5,False
2007-03-28,2007,Maret,28,0.0,0.03,0.0,1,5,False
2007-03-29,2007,Maret,29,-0.01,0.01,0.0,1,5,False
2007-03-30,2007,Maret,30,0.0,0.01,0.0,1,5,False
2007-03-31,2007,Maret,31,0.0,0.03,0.0,1,5,False
2007-04-01,2007,April,1,0.0,0.01,0.0,1,5,False
2007-04-02,2007,April,2,0.0,0.07,0.0,1,5,False
2007-04-03,2007,April,3,0.08,0.33,4.9,1,5,False
2007-04-04,2007,April,4,0.59,2.2,10.9,1,5,False
2007-04-05,2007,April,5,0.72,4.77,7.5,1,5,False
2007-04-06,2007,April,6,1.14,6.31,9.2,1,5,False
2007-04-07,2007,April,7,0.37,1.84,6.3,1,5,False
2007-04-08,2007,April,8,0.0,0.04,0.0,1,5,False
2007-04-09,2007,April,9,0.0,0.02,0.0,1,5,False
2007-04-10,2007,April,10,0.0,0.01,0.0,1,5,False
2007-04-11,2007,April,11,0.03,0.24,1.4,1,5,False
2007-04-12,2007,April,12,0.17,0.6,7.5,1,5,False
2007-04-13,2007,April,13,0.42,3.84,2.8,1,5,False
2007-04-14,2007,April,14,0.0,0.02,0.0,1,5,False
2007-04-15,2007,April,15,-0.01,0.06,0.0,1,5,False
2007-04-16,2007,April,16,0.0,0.01,0.0,1,5,False
2007-04-17,2007,April,17,0.02,0.21,0.7,1,5,False
2007-04-18,2007,April,18,0.0,0.05,0.0,1,5,False
2007-04-19,2007,April,19,0.36,1.85,7.6,1,5,False
2007-04-20,2007,April,20,0.0,0.03,0.0,1,5,False
2007-04-21,2007,April,21,,,,5,5,False
2007-04-22,2007,April,22,-0.02,0.6,3.5,1,5,False
2007-04-23,2007,April,23,0.69,2.84,11.2,1,5,False
2007-04-24,2007,April,24,1.04,6.08,7.4,1,5,False
2007-04-25,2007,April,25,0.0,0.02,0.0,1,5,False
2007-04-26,2007,April,26,1.13,6.08,9.7,1,5,False
2007-04-27,2007,April,27,0.13,0.76,2.8,1,5,False
2007-04-28,2007,April,28,1.04,3.47,17.0,1,5,False
2007-04-29,2007,April,29,0.53,4.33,2.8,1,5,False
2007-04-30,2007,April,30,0.02,0.23,0.7,1,5,False
2007-05-01,2007,Mei,1,0.19,0.95,4.2,1,5,False
2007-05-02,2007,Mei,2,0.0,0.02,0.0,1,5,False
2007-05-03,2007,Mei,3,-0.01,0.02,0.0,1,5,False
2007-05-04,2007,Mei,4,0.11,1.01,2.1,1,5,False
2007-05-05,2007,Mei,5,0.02,0.12,0.7,1,5,False
2007-05-06,2007,Mei,6,0.16,0.9,3.6,1,5,False
2007-05-07,2007,Mei,7,0.24,1.61,3.5,1,5,False
2007-05-08,2007,Mei,8,0.07,0.62,1.4,1,5,False
2007-05-09,2007,Mei,9,0.02,0.12,0.7,1,5,False
2007-05-10,2007,Mei,10,0.1,0.78,2.1,1,5,False
2007-05-11,2007,Mei,11,0.06,0.42,2.8,1,5,False
2007-05-12,2007,Mei,12,0.71,2.7,8.5,1,5,False
2007-05-13,2007,Mei,13,0.26,1.93,2.1,1,5,False
2007-05-14,2007,Mei,14,0.0,0.11,0.0,1,5,False
2007-05-15,2007,Mei,15,0.0,0.11,0.0,1,5,False
2007-05-16,2007,Mei,16,-0.01,0.18,0.0,1,5,False
2007-05-17,2007,Mei,17,0.0,0.16,0.0,1,5,False
2007-05-18,2007,Mei,18,0.0,0.15,0.0,1,5,False
2007-05-19,2007,Mei,19,0.25,2.38,2.4,1,5,False
2007-05-20,2007,Mei,20,0.0,0.06,0.0,1,5,False
2007-05-21,2007,Mei,21,-0.01,0.08,0.0,1,5,False
2007-05-22,2007,Mei,22,0.0,0.02,0.0,1,5,False
2007-05-23,2007,Mei,23,0.0,0.03,0.0,1,5,False
2007-05-24,2007,Mei,24,0.0,0.03,0.0,1,5,False
2007-05-25,2007,Mei,25,0.0,0.09,0.0,1,5,False
2007-05-26,2007,Mei,26,,,,5,5,False
2007-05-27,2007,Mei,27,0.15,1.4,2.0,1,5,False
2007-05-28,2007,Mei,28,0.02,0.39,2.5,1,5,False
2007-06-05,2007,Juni,5,1.0,3.58,13.8,1,5,False
2007-06-06,2007,Juni,6,-0.01,0.09,0.0,1,5,False
2007-06-07,2007,Juni,7,0.1,0.55,4.1,1,5,False
2007-06-08,2007,Juni,8,0.38,2.54,3.0,1,5,False
2007-06-09,2007,Juni,9,-0.02,0.07,0.0,1,5,False
2007-06-10,2007,Juni,10,-0.02,0.12,0.0,1,5,False
2007-06-11,2007,Juni,11,0.87,2.7,13.9,1,5,False
2007-06-12,2007,Juni,12,0.88,4.06,5.8,1,5,False
2007-06-13,2007,Juni,13,0.01,0.11,0.0,1,5,False
2007-10-08,2007,Oktober,8,0.05,0.91,1.0,2,1,False
2007-10-09,2007,Oktober,9,0.24,4.11,1.0,2,1,False
2007-10-10,2007,Oktober,10,0.0,3.77,0.0,2,1,False
2007-10-11,2007,Oktober,11,0.1,2.63,4.0,2,1,False
2007-10-12,2007,Oktober,12,0.19,2.0,3.0,2,1,False
2007-10-13,2007,Oktober,13,1.43,6.3,13.0,2,1,False
2007-10-14,2007,Oktober,14,0.05,1.91,2.0,2,1,False
2007-10-15,2007,Oktober,15,0.24,4.11,4.0,2,1,False
2007-10-16,2007,Oktober,16,0.05,3.15,3.0,2,1,False
2007-10-17,2007,Oktober,17,0.57,1.81,19.0,2,1,False
2007-10-18,2007,Oktober,18,0.19,2.2,3.0,2,1,False
2007-10-19,2007,Oktober,19,,6.78,42.0,2,1,True
2007-10-20,2007,Oktober,20,,9.93,23.0,2,1,True
2007-10-21,2007,Oktober,21,,8.78,41.0,2,1,True
2007-10-22,2007,Oktober,22,0.33,2.24,9.0,2,1,False
2007-10-23,2007,Oktober,23,0.0,2.29,1.0,2,1,False
2007-10-24,2007,Oktober,24,1.96,6.21,30.0,2,1,False
2007-10-25,2007,Oktober,25,1.0,4.73,16.0,2,1,False
2007-10-26,2007,Oktober,26,0.67,5.54,10.0,2,1,False
2007-10-27,2007,Oktober,27,0.0,1.0,1.0,2,1,False
2007-10-28,2007,Oktober,28,0.0,1.96,0.0,2,1,False
2007-10-29,2007,Oktober,29,0.0,1.91,1.0,2,1,False
2007-10-30,2007,Oktober,30,0.05,2.15,2.0,2,1,False
2007-10-31,2007,Oktober,31,0.14,4.34,4.0,2,1,False
2007-11-01,2007,November,1,0.1,2.24,2.0,2,1,False
2007-11-02,2007,November,2,0.48,3.1,11.0,2,1,False
2007-11-03,2007,November,3,0.0,3.68,0.0,2,1,False
2007-11-04,2007,November,4,0.0,2.24,0.0,2,1,False
2007-11-05,2007,November,5,0.0,2.77,0.0,2,1,False
2007-11-06,2007,November,6,0.1,2.53,2.0,2,1,False
2007-11-07,2007,November,7,0.05,2.2,2.0,2,1,False
2007-11-08,2007,November,8,0.62,9.21,7.0,2,1,False
2007-11-09,2007,November,9,0.1,2.77,5.0,2,1,False
2007-11-10,2007,November,10,0.43,6.68,6.0,2,1,False
2007-11-11,2007,November,11,0.05,2.2,2.0,2,1,False
2007-11-12,2007,November,12,0.1,3.63,3.0,2,1,False
2007-11-13,2007,November,13,0.0,3.44,1.0,2,1,False
2007-11-14,2007,November,14,0.0,3.1,0.0,2,1,False
2007-11-15,2007,November,15,0.0,2.82,0.0,2,1,False
2007-11-16,2007,November,16,0.1,3.44,2.0,2,1,False
2007-11-17,2007,November,17,0.0,7.02,1.0,2,1,False
2007-11-18,2007,November,18,0.05,1.1,1.0,2,1,False
2007-11-19,2007,November,19,0.86,7.3,4.0,2,1,False
2007-11-20,2007,November,20,0.05,2.58,2.0,2,1,False
2007-11-21,2007,November,21,0.14,1.43,3.0,2,1,False
2007-11-22,2007,November,22,0.0,1.0,1.0,2,1,False
2007-11-23,2007,November,23,0.0,1.34,0.0,2,1,False
2007-11-24,2007,November,24,0.0,1.24,0.0,2,1,False
2007-11-25,2007,November,25,0.0,0.91,0.0,2,1,False
2007-11-26,2007,November,26,0.05,1.77,2.0,2,1,False
2007-11-27,2007,November,27,0.38,4.39,2.0,2,1,False
2007-11-28,2007,November,28,0.1,3.58,2.0,2,1,False
2007-11-29,2007,November,29,0.24,2.77,4.0,2,1,False
2007-11-30,2007,November,30,0.0,2.0,0.0,2,1,False
2007-12-01,2007,Desember,1,0.67,7.02,3.0,2,1,False
2007-12-02,2007,Desember,2,0.38,1.53,21.0,2,1,False
2007-12-03,2007,Desember,3,-0.05,1.43,1.0,2,1,False
2007-12-04,2007,Desember,4,-0.05,2.48,0.0,2,1,False
2007-12-05,2007,Desember,5,0.0,2.1,1.0,2,1,False
2007-12-06,2007,Desember,6,0.0,2.39,0.0,2,1,False
2007-12-07,2007,Desember,7,0.53,27.97,5.0,2,1,False
2007-12-08,2007,Desember,8,0.43,11.7,10.0,2,1,False
2007-12-09,2007,Desember,9,0.1,3.44,10.0,2,1,False
2007-12-10,2007,Desember,10,0.43,5.82,4.0,2,1,False
2007-12-11,2007,Desember,11,0.19,2.48,2.0,2,1,False
2007-12-12,2007,Desember,12,0.14,2.63,3.0,2,1,False
2007-12-13,2007,Desember,13,0.0,1.43,0.0,2,1,False
2007-12-14,2007,Desember,14,1.48,6.06,22.0,2,1,False
2007-12-15,2007,Desember,15,0.0,5.54,0.0,2,1,False
2007-12-16,2007,Desember,16,0.0,2.05,0.0,2,1,False
2007-12-17,2007,Desember,17,0.05,4.44,1.0,2,1,False
2007-12-18,2007,Desember,18,0.0,1.1,0.0,2,1,False
2007-12-19,2007,Desember,19,0.0,5.16,0.0,2,1,False
2007-12-20,2007,Desember,20,0.0,2.43,1.0,2,1,False
2007-12-21,2007,Desember,21,0.0,2.48,0.0,2,1,False
2007-12-22,2007,Desember,22,0.1,3.87,2.0,2,1,False
2007-12-23,2007,Desember,23,0.91,6.16,6.0,2,1,False
2007-12-24,2007,Desember,24,0.24,3.68,8.0,2,1,False
2007-12-25,2007,Desember,25,0.0,0.86,0.0,2,1,False
2007-12-26,2007,Desember,26,0.0,1.53,0.0,2,1,False
2007-12-27,2007,Desember,27,-0.05,3.1,0.0,2,1,False
2007-12-28,2007,Desember,28,-0.05,1.24,0.0,2,1,False
2007-12-29,2007,Desember,29,-0.05,2.58,0.0,2,1,False
2007-12-30,2007,Desember,30,0.0,2.58,0.0,2,1,False
2007-12-31,2007,Desember,31,0.0,2.24,0.0,2,1,False
2008-01-01,2008,Januari,1,0.0,2.2,0.0,2,1,False
2008-01-02,2008,Januari,2,0.05,1.67,2.0,2,1,False
2008-01-03,2008,Januari,3,0.0,2.0,0.0,2,1,False
2008-01-04,2008,Januari,4,0.0,1.81,1.0,2,1,False
2008-01-05,2008,Januari,5,0.0,1.1,0.0,2,1,False
2010-07-05,2010,Juli,5,-0.01,0.02,0.0,1,5,False
