Date,Year,Month,Day,SST,Q,S
2006-11-14,2006,November,14,29.27,1,5
2006-11-15,2006,November,15,29.04,1,5
2006-11-16,2006,November,16,28.62,1,5
2006-11-17,2006,November,17,28.79,1,5
2006-11-18,2006,November,18,28.86,1,5
2006-11-19,2006,November,19,28.73,1,5
2006-11-20,2006,November,20,28.99,1,5
2006-11-21,2006,November,21,28.84,1,5
2006-11-22,2006,November,22,29.04,1,5
2006-11-23,2006,November,23,29.29,1,5
2006-11-24,2006,November,24,29.39,1,5
2006-11-25,2006,November,25,29.23,1,5
2006-11-26,2006,November,26,29.37,1,5
2006-11-27,2006,November,27,29.23,1,5
2006-11-28,2006,November,28,29.13,1,5
2006-11-29,2006,November,29,29.15,1,5
2006-11-30,2006,November,30,29.16,1,5
2006-12-01,2006,Desember,1,29.09,1,5
2006-12-02,2006,Desember,2,29.01,1,5
2006-12-03,2006,Desember,3,28.95,1,5
2006-12-04,2006,Desember,4,28.95,1,5
2006-12-05,2006,Desember,5,28.95,1,5
2006-12-06,2006,Desember,6,28.93,1,5
2006-12-07,2006,Desember,7,28.94,1,5
2006-12-08,2006,Desember,8,29.03,1,5
2006-12-09,2006,Desember,9,29.07,1,5
2006-12-10,2006,Desember,10,29.09,1,5
2006-12-11,2006,Desember,11,29.06,1,5
2006-12-12,2006,Desember,12,29.04,1,5
2006-12-13,2006,Desember,13,28.97,1,5
2006-12-14,2006,Desember,14,28.93,1,5
2006-12-15,2006,Desember,15,28.89,1,5
2006-12-16,2006,Desember,16,28.9,1,5
2006-12-17,2006,Desember,17,28.91,1,5
2006-12-18,2006,Desember,18,28.89,1,5
2006-12-19,2006,Desember,19,28.93,1,5
2006-12-20,2006,Desember,20,28.77,1,5
2006-12-21,2006,Desember,21,28.29,1,5
2006-12-22,2006,Desember,22,28.15,1,5
2006-12-23,2006,Desember,23,28.17,1,5
2006-12-24,2006,Desember,24,28.17,1,5
2006-12-25,2006,Desember,25,28.07,1,5
2006-12-26,2006,Desember,26,28.02,1,5
2006-12-27,2006,Desember,27,27.98,1,5
2006-12-28,2006,Desember,28,27.9,1,5
2006-12-29,2006,Desember,29,27.77,1,5
2006-12-30,2006,Desember,30,27.62,1,5
2006-12-31,2006,Desember,31,27.53,1,5
2007-01-01,2007,Januari,1,27.51,1,5
2007-01-02,2007,Januari,2,27.45,1,5
2007-01-03,2007,Januari,3,27.41,1,5
2007-01-04,2007,Januari,4,27.41,1,5
2007-01-05,2007,Januari,5,27.63,1,5
2007-01-06,2007,Januari,6,27.92,1,5
2007-01-07,2007,Januari,7,27.84,1,5
2007-01-08,2007,Januari,8,27.95,1,5
2007-01-09,2007,Januari,9,27.74,1,5
2007-01-10,2007,Januari,10,27.81,1,5
2007-01-11,2007,Januari,11,27.84,1,5
2007-01-12,2007,Januari,12,27.86,1,5
2007-01-13,2007,Januari,13,27.87,1,5
2007-01-14,2007,Januari,14,27.99,1,5
2007-01-15,2007,Januari,15,27.92,1,5
2007-01-16,2007,Januari,16,27.75,1,5
2007-01-17,2007,Januari,17,27.79,1,5
2007-01-18,2007,Januari,18,27.86,1,5
2007-01-19,2007,Januari,19,27.93,1,5
2007-01-20,2007,Januari,20,28.08,1,5
2007-01-21,2007,Januari,21,28.18,1,5
2007-01-22,2007,Januari,22,28.25,1,5
2007-01-23,2007,Januari,23,28.11,1,5
2007-01-24,2007,Januari,24,28.18,1,5
2007-01-25,2007,Januari,25,28.41,1,5
2007-01-26,2007,Januari,26,28.04,1,5
2007-01-27,2007,Januari,27,28.14,1,5
2007-01-28,2007,Januari,28,28.22,1,5
2007-01-29,2007,Januari,29,28.17,1,5
2007-01-30,2007,Januari,30,27.69,1,5
2007-01-31,2007,Januari,31,27.74,1,5
2007-02-01,2007,Februari,1,28.07,1,5
2007-02-02,2007,Februari,2,28.23,1,5
2007-02-03,2007,Februari,3,28.25,1,5
2007-02-04,2007,Februari,4,28.3,1,5
2007-02-05,2007,Februari,5,28.35,1,5
2007-02-06,2007,Februari,6,28.38,1,5
2007-02-07,2007,Februari,7,28.41,1,5
2007-02-08,2007,Februari,8,28.44,1,5
2007-02-09,2007,Februari,9,28.38,1,5
2007-02-10,2007,Februari,10,28.55,1,5
2007-02-11,2007,Februari,11,28.65,1,5
2007-02-12,2007,Februari,12,28.69,1,5
2007-02-13,2007,Februari,13,28.75,1,5
2007-02-14,2007,Februari,14,28.9,1,5
