Date,TEMP_10.0m,TEMP_20.0m,TEMP_40.0m,TEMP_60.0m,TEMP_80.0m,TEMP_100.0m,TEMP_120.0m,TEMP_140.0m,TEMP_180.0m,TEMP_300.0m,TEMP_500.0m
2005-01-01,29.15,29.14,29.09,29.08,28.05,22.68,18.05,16.88,13.89,11.56,9.92
2005-01-02,29.03,29.03,29.06,29.07,28.98,27.71,20.8,17.12,13.86,11.69,9.93
2005-01-03,29.04,29.04,29.06,29.07,28.29,25.36,18.53,16.58,13.87,11.54,9.92
2005-01-04,29.09,29.06,29.06,29.09,28.44,25.0,17.81,15.88,13.98,11.52,10.01
2005-01-05,29.18,29.13,29.07,29.06,28.98,27.78,20.46,16.58,14.41,11.59,10.06
2005-01-06,29.14,29.12,29.12,29.11,29.02,27.47,20.78,16.88,14.43,11.72,10.1
2005-01-07,29.15,29.13,29.13,29.13,29.0,27.76,21.08,16.67,14.27,11.78,10.04
2005-01-08,29.06,29.06,29.06,29.05,28.89,23.79,18.51,15.5,13.81,11.75,9.88
2005-01-09,28.86,28.86,28.87,28.84,28.66,25.88,18.86,16.54,13.91,11.73,9.97
2005-01-10,28.76,28.76,28.76,28.75,28.63,27.66,21.96,17.85,14.51,11.72,10.1
2005-01-11,28.67,28.66,28.67,28.65,28.31,27.45,22.19,16.65,14.26,11.58,9.87
2005-01-12,28.65,28.63,28.63,28.62,28.44,27.37,19.82,15.91,14.09,11.5,9.81
2005-01-13,28.61,28.59,28.59,28.59,28.4,27.54,18.76,15.64,13.95,11.41,9.78
2005-01-14,28.64,28.62,28.61,28.62,28.53,28.16,22.75,15.44,13.79,11.37,9.82
2005-01-15,28.76,28.71,28.7,28.7,28.58,28.24,22.13,15.6,14.08,11.16,9.88
2005-01-16,28.82,28.79,28.77,28.73,28.63,28.37,23.51,16.36,13.76,11.22,9.94
2005-01-17,28.8,28.77,28.77,28.66,28.49,28.26,19.8,15.13,12.8,11.06,9.88
2005-01-18,28.79,28.73,28.72,28.67,28.54,28.28,20.24,15.12,12.78,11.0,9.74
2005-01-19,28.85,28.76,28.71,28.7,28.47,28.14,19.57,15.57,13.05,11.26,9.87
2005-01-20,28.82,28.79,28.74,28.74,28.63,27.93,18.88,15.31,13.07,11.65,9.91
2005-01-21,28.93,28.85,28.74,28.75,28.65,27.65,16.61,14.11,13.47,11.64,9.66
2005-01-22,29.07,28.92,28.74,28.76,28.73,27.93,16.33,13.96,13.15,11.56,9.54
2005-01-23,29.18,28.95,28.77,28.79,28.81,28.31,17.69,14.37,13.19,11.5,9.64
2005-01-24,29.27,28.96,28.83,28.82,28.84,28.2,16.36,13.91,13.15,11.53,9.76
2005-01-25,29.35,28.95,28.84,28.84,28.64,26.46,15.33,14.07,13.13,11.49,9.78
2005-01-26,29.3,29.1,28.83,28.85,28.68,26.32,14.96,14.14,13.29,11.48,9.74
2005-01-27,29.48,29.42,28.94,28.86,28.73,24.76,15.15,14.32,13.19,11.44,9.73
2005-01-28,29.53,29.41,28.84,28.88,28.71,24.76,16.19,14.67,13.1,11.39,9.75
2005-01-29,29.29,29.14,28.82,28.84,28.72,23.56,17.74,15.42,13.17,11.37,9.8
2005-01-30,29.22,29.16,28.85,28.76,28.7,21.85,17.05,15.23,13.07,11.5,9.81
2005-01-31,29.18,29.01,28.91,28.83,28.82,27.56,17.36,15.2,13.04,11.53,9.8
2005-02-01,29.16,29.13,29.02,28.86,28.81,22.22,16.36,15.01,13.27,11.42,9.81
2005-02-02,29.26,29.22,29.01,28.71,28.3,19.77,16.05,14.86,13.15,11.43,9.73
2005-02-03,29.25,29.23,29.13,28.68,28.35,20.09,16.3,14.98,13.01,11.44,9.71
2005-02-04,29.35,29.27,29.14,28.85,28.63,23.79,17.13,15.03,13.21,11.46,9.74
2005-02-05,29.41,29.27,29.22,29.0,28.71,26.73,19.52,15.62,13.32,11.24,9.76
2005-02-06,29.46,29.28,29.15,28.87,27.72,22.21,16.96,15.1,13.24,11.59,9.78
2005-02-07,29.36,29.24,28.98,28.71,26.46,,15.53,14.39,12.99,11.43,9.8
2005-02-08,29.37,29.26,28.94,28.75,27.3,,16.26,15.07,13.12,11.52,9.82
2005-02-09,29.45,29.36,28.98,28.79,27.59,21.95,17.41,16.22,13.07,11.56,9.77
2005-02-10,29.53,29.42,28.97,28.68,27.1,,16.71,15.18,12.93,11.59,9.75
2005-02-11,29.56,29.51,28.96,28.32,27.29,,15.02,14.57,12.8,11.53,9.77
2005-02-12,29.6,29.55,29.02,28.47,27.61,,15.57,14.54,13.21,11.62,9.74
2005-02-13,29.65,29.59,29.23,28.62,24.44,,16.38,14.9,13.45,11.54,9.78
2005-02-14,29.71,29.64,29.08,28.03,,,16.74,14.94,13.25,11.47,9.85
2005-02-15,29.75,29.72,28.98,28.19,,,16.63,15.23,13.25,11.42,9.83
2005-02-16,29.87,29.77,29.26,28.36,,,16.59,14.56,13.06,11.36,9.82
2005-02-17,29.88,29.76,29.25,28.43,,,15.87,13.76,12.87,11.38,9.81
2005-02-18,29.89,29.7,29.11,28.48,,,15.53,13.51,12.54,11.32,9.83
2005-02-19,29.88,29.5,28.8,28.37,,,16.69,14.1,12.87,11.55,9.83
2005-02-20,29.94,29.63,28.88,28.56,,19.51,17.23,14.78,12.89,11.41,9.83
2005-02-21,30.09,29.96,29.13,28.84,25.15,19.38,17.51,14.72,13.1,11.33,9.79
2005-02-22,30.16,30.14,28.98,28.3,,,16.41,14.31,13.15,11.51,9.85
2005-02-23,30.14,30.05,29.16,28.3,,,16.66,14.45,12.9,11.55,9.85
2005-02-24,30.11,30.01,29.25,28.93,,,16.94,14.73,12.86,11.44,9.9
2005-02-25,30.11,30.04,29.19,29.01,26.31,19.6,17.75,15.2,12.68,11.19,9.91
2005-02-26,30.29,30.14,29.18,29.05,27.02,19.44,16.8,14.59,12.52,11.23,9.88
2005-02-27,30.11,30.08,29.11,28.95,24.67,,16.82,14.46,12.44,11.32,9.9
2005-02-28,29.96,29.99,29.09,28.76,,,16.58,15.02,12.64,11.38,9.96
2005-03-01,29.93,29.89,29.07,28.36,,,16.21,15.09,12.98,11.45,9.93
2005-03-02,29.97,29.72,29.09,28.47,,,16.78,15.37,13.13,11.42,9.9
2005-03-03,29.94,29.42,29.12,28.61,,,17.24,15.3,12.75,11.34,9.89
2005-03-04,29.85,29.35,29.16,28.43,,,17.13,15.04,12.6,11.31,9.77
2005-03-05,29.81,29.27,29.21,27.45,,,17.37,15.42,12.77,11.33,9.77
2005-03-06,29.86,29.39,29.22,,,,16.96,15.4,12.72,11.44,9.78
2005-03-07,30.06,29.58,29.24,,,,16.85,15.23,12.63,11.41,9.85
2005-03-08,30.19,29.64,29.23,,,,16.07,14.59,12.56,11.34,9.85
2005-03-09,30.29,29.72,29.22,,,,16.51,15.69,12.76,11.43,9.98
2005-03-10,30.17,29.71,28.81,,,,16.49,15.75,12.93,11.47,9.97
2005-03-11,30.01,29.61,28.48,,,,16.26,15.48,12.95,11.46,9.82
2005-03-12,30.14,29.54,28.63,,,,16.09,15.18,12.96,11.52,9.92
2005-03-13,30.37,29.84,28.58,,,,15.78,14.92,12.8,11.66,10.0
2005-03-14,30.29,30.0,28.87,,,,16.17,15.34,12.9,11.48,9.95
2005-03-15,30.31,30.01,28.85,,,,16.23,15.09,12.65,11.47,9.91
2005-03-16,30.28,30.11,28.7,,,,15.39,14.25,12.43,11.49,9.91
2005-03-17,30.15,30.11,28.31,,,,15.72,14.18,12.85,11.51,9.96
2005-03-18,30.04,29.98,27.65,,,,16.09,14.47,12.79,11.52,10.01
2005-03-19,29.93,29.92,28.92,,,,16.19,14.42,12.74,11.52,9.99
2005-03-20,30.01,29.97,29.85,,,,16.05,14.37,12.89,11.51,10.01
2005-03-21,30.02,30.02,30.01,,,,15.63,13.41,12.77,11.34,10.01
2005-03-22,29.95,29.95,29.69,,,,16.05,13.89,12.76,11.09,10.04
2005-03-23,29.96,29.92,29.28,,,,16.63,15.02,12.72,11.32,10.04
2005-03-24,30.06,30.02,28.77,,,,16.81,15.52,12.91,11.43,10.07
2005-03-25,30.0,30.0,29.03,,,,16.79,15.91,13.13,11.19,10.1
2005-03-26,29.83,29.83,29.73,27.2,,19.38,17.04,16.07,13.48,11.29,10.12
2005-03-27,29.74,29.73,29.66,27.98,,,16.67,15.75,13.74,11.4,10.14
2005-03-28,29.64,29.64,29.55,28.15,,19.48,17.62,16.32,13.81,11.43,10.16
2005-03-29,29.56,29.54,29.52,28.61,,19.37,17.82,16.05,13.77,11.44,10.18
2005-03-30,29.57,29.54,29.53,29.27,,19.42,17.59,15.74,14.09,11.34,10.2
2005-03-31,29.52,29.52,29.52,29.43,26.42,20.65,18.16,16.07,14.19,11.37,10.2
2005-04-01,29.44,29.43,29.45,29.44,28.48,21.88,18.33,16.26,14.24,11.45,10.23
2005-04-02,29.45,29.42,29.42,29.39,27.95,21.17,18.32,16.29,14.33,11.54,10.23
2005-04-03,29.4,29.37,29.36,29.3,28.14,21.35,18.66,17.12,14.46,11.54,10.22
2005-04-04,29.45,29.38,29.36,29.28,26.07,19.89,18.39,16.2,14.06,11.56,10.22
2005-04-05,29.56,29.52,29.51,29.38,26.19,19.68,18.31,16.06,14.31,11.8,10.22
2005-04-06,29.71,29.58,29.56,29.42,27.77,20.39,18.26,16.41,14.22,11.88,10.23
2005-04-07,29.79,29.68,29.63,29.5,27.99,20.59,18.22,16.63,14.15,11.84,10.26
2005-04-08,29.91,29.7,29.65,29.52,28.11,20.97,18.96,16.75,14.39,11.82,10.25
2005-04-09,29.84,29.72,29.67,29.34,25.95,20.74,19.77,17.25,15.27,12.13,10.24
