Date,UWND,VWND,WSPD,WDIR
2005-01-01,5.5,,7.7,135.1
2005-01-02,,,1.8,202.3
2005-01-03,0.3,0.9,0.9,20.1
2005-01-04,1.3,1.3,1.8,44.2
2005-01-05,1.4,1.7,2.2,39.9
2005-01-06,4.8,3.5,6.0,54.0
2005-01-07,5.0,4.3,6.6,48.9
2005-01-08,9.2,2.6,9.6,74.1
2005-01-09,9.6,2.0,9.8,78.3
2005-01-10,8.9,3.4,9.5,69.0
2005-01-11,6.8,3.9,7.8,60.5
2005-01-12,7.4,3.8,8.4,62.7
2005-01-13,8.0,0.4,8.0,86.8
2005-01-14,7.9,0.6,7.9,85.8
2005-01-15,5.3,0.1,5.3,88.6
2005-01-16,2.1,,2.1,105.1
2005-01-17,1.3,0.0,1.3,91.3
2005-01-18,1.4,,1.6,119.4
2005-01-19,1.8,,3.6,151.2
2005-01-20,1.3,,1.7,130.5
2005-01-21,0.0,0.3,0.3,355.2
2005-01-22,,1.1,1.6,314.2
2005-01-23,,2.3,2.9,322.3
2005-01-24,,0.8,1.8,295.2
2005-01-25,,,2.9,193.6
2005-01-26,2.5,,3.4,133.2
2005-01-27,3.0,,3.1,107.4
2005-01-28,4.0,,4.1,100.0
2005-01-29,1.9,1.8,2.6,47.3
2005-01-30,1.6,0.5,1.7,72.8
2005-01-31,1.9,,2.4,129.8
2005-02-01,1.4,,2.6,149.0
2005-02-02,,,3.8,190.9
2005-02-03,,,2.7,224.0
2005-02-04,0.2,1.0,1.0,13.3
2005-02-05,2.2,2.1,3.1,45.5
2005-02-06,2.8,0.0,2.8,90.8
2005-02-07,0.5,,3.3,171.6
2005-02-08,,,1.7,227.9
2005-02-09,,1.4,1.9,314.4
2005-02-10,,,4.2,206.2
2005-02-11,0.5,,4.3,173.9
2005-02-12,0.7,,2.7,165.4
2005-02-13,,,2.2,242.6
2005-02-14,,,4.4,249.3
2005-02-15,,,1.7,261.2
2005-02-16,,1.6,1.6,358.2
2005-02-17,,,1.5,234.4
2005-02-18,,0.8,2.4,289.2
2005-02-19,0.2,0.8,0.8,13.1
2005-02-20,1.2,,1.4,118.2
2005-02-21,3.7,0.6,3.7,80.1
2005-02-22,3.0,0.3,3.0,84.0
2005-02-23,0.2,,1.2,168.9
2005-02-24,,0.8,1.7,298.4
2005-02-25,,2.9,3.1,339.1
2005-02-26,1.8,3.2,3.7,29.7
2005-02-27,,0.8,2.3,289.8
2005-02-28,,,3.0,210.3
2005-03-01,,0.7,1.1,310.6
2005-03-02,,2.5,2.8,334.6
2005-03-03,,2.5,3.5,314.6
2005-03-04,,,2.7,253.7
2005-03-05,,,2.2,228.0
2005-03-06,,1.1,1.5,317.3
2005-03-07,,,2.4,258.8
2005-03-08,,1.0,4.1,284.6
2005-03-09,0.6,,0.7,114.2
2005-03-10,0.5,,0.6,108.0
2005-03-11,1.6,0.6,1.8,69.4
2005-03-12,2.0,0.5,2.1,77.6
2005-03-13,2.4,,2.4,93.5
2005-03-14,2.5,,3.1,127.0
2005-03-15,0.7,,3.3,168.1
2005-03-16,1.3,,3.3,156.2
2005-03-17,2.9,,4.4,138.8
2005-03-18,4.3,,5.2,125.1
2005-03-19,3.4,,3.4,90.8
2005-03-20,3.7,1.8,4.1,64.9
2005-03-21,5.4,3.1,6.2,59.9
2005-03-22,2.5,,2.5,99.0
2005-03-23,2.4,0.9,2.6,68.4
2005-03-24,2.0,0.1,2.0,87.0
2005-03-25,5.1,,5.2,100.0
