Date,SST,Prec,RH,WSPD,SWRad
2005-01-01,29.14,0.36,91.5,7.7,155.61
2005-01-02,29.02,0.19,90.5,1.8,57.16
2005-01-03,29.06,0.0,84.8,0.9,130.86
2005-01-04,29.45,0.13,83.8,1.8,269.79
2005-01-05,29.14,0.95,91.7,2.2,79.43
2005-01-06,29.15,0.23,85.8,6.0,201.02
2005-01-07,29.17,0.0,84.1,6.6,207.99
2005-01-08,29.06,1.23,84.2,9.6,220.28
2005-01-09,28.85,0.37,82.5,9.8,151.15
2005-01-10,28.75,0.85,83.9,9.5,263.52
2005-01-11,28.68,0.95,85.5,7.8,172.85
2005-01-12,28.65,0.09,83.8,8.4,253.74
2005-01-13,28.62,0.0,85.1,8.0,263.74
2005-01-14,28.66,-0.01,84.0,7.9,287.46
2005-01-15,28.8,-0.02,83.8,5.3,292.67
2005-01-16,28.93,0.76,87.7,2.1,232.07
2005-01-17,29.2,0.0,83.1,1.3,282.34
2005-01-18,29.38,-0.01,83.3,1.6,276.43
2005-01-19,29.04,0.28,90.1,3.6,285.37
2005-01-20,29.13,0.0,86.7,1.7,274.95
2005-01-21,29.65,0.0,80.9,0.3,300.97
2005-01-22,30.01,-0.01,82.0,1.6,309.28
2005-01-23,29.6,-0.01,84.8,2.9,301.83
2005-01-24,29.63,0.0,86.2,1.8,297.73
2005-01-25,29.4,,90.9,2.9,234.32
2005-01-26,29.17,0.24,,3.4,96.61
2005-01-27,29.55,-0.02,87.5,3.1,238.49
2005-01-28,29.48,2.52,89.2,4.1,178.69
2005-01-29,29.29,0.01,87.8,2.6,160.67
2005-01-30,29.54,0.0,86.2,1.7,315.25
2005-01-31,29.46,0.0,87.6,2.4,301.13
2005-02-01,29.21,0.0,89.8,2.6,193.73
2005-02-02,29.31,0.0,87.8,3.8,292.21
2005-02-03,29.46,0.0,85.0,2.7,274.78
2005-02-04,29.7,0.0,90.3,1.0,293.4
2005-02-05,29.65,0.0,90.8,3.1,301.2
2005-02-06,29.55,0.0,90.5,2.8,298.1
2005-02-07,29.4,0.02,90.7,3.3,248.14
2005-02-08,29.5,0.16,,1.7,278.48
2005-02-09,29.74,0.14,91.9,1.9,273.87
2005-02-10,29.61,0.13,90.0,4.2,247.73
2005-02-11,29.61,-0.01,88.8,4.3,292.75
2005-02-12,29.81,-0.01,88.5,2.7,285.27
2005-02-13,30.03,0.0,86.3,2.2,310.1
2005-02-14,29.8,-0.01,88.9,4.4,311.14
2005-02-15,30.21,0.0,86.5,1.7,317.26
2005-02-16,30.29,-0.01,87.7,1.6,255.61
2005-02-17,30.34,0.41,88.2,1.5,276.94
2005-02-18,30.12,-0.01,,2.4,148.79
2005-02-19,30.06,-0.01,89.1,0.8,265.67
2005-02-20,30.15,0.01,90.6,1.4,273.99
