Tanggal,Suhu,Kelembaban,Curah_Hujan
1/1/2011,25.2,89,22
1/2/2011,26.5,85,5
1/3/2011,26.8,86,5
1/4/2011,25.9,89,16
1/5/2011,26.5,85,0
1/6/2011,26.2,85,17
1/7/2011,25,90,8888
1/8/2011,24.9,90,2
1/9/2011,25.5,80,0
1/10/2011,25.5,90,14
1/11/2011,26.1,82,0
1/12/2011,26.2,80,0
1/13/2011,26.2,81,0
1/14/2011,26.7,82,0
1/15/2011,26,83,0
1/16/2011,26.1,83,8888
1/17/2011,26.9,80,0
1/18/2011,26,82,0
1/19/2011,25.4,80,0
1/20/2011,25.8,76,0
1/21/2011,26.2,76,0
1/22/2011,26,78,0
1/23/2011,27,73,0
1/24/2011,26.5,82,8888
1/25/2011,26,82,4
1/26/2011,27,78,0
1/27/2011,25.4,90,47
1/28/2011,24.8,91,7
1/29/2011,24.8,94,14
1/30/2011,26.8,82,0
1/31/2011,26.1,80,0
2/1/2011,25.5,87,8
2/2/2011,24.9,89,20
2/3/2011,26.6,82,0
2/4/2011,25.4,92,6
2/5/2011,26.4,82,0
2/6/2011,27,81,0
2/7/2011,26.7,85,0
2/8/2011,26.7,81,0
2/9/2011,26.7,83,0
2/10/2011,26.7,86,0
2/11/2011,25.3,89,11
2/12/2011,26,88,2
2/13/2011,26.4,85,4
2/14/2011,26.6,84,1
2/15/2011,26.2,88,12
2/16/2011,25.4,87,0
2/17/2011,26.3,81,8888
2/18/2011,25.7,88,13
2/19/2011,26.6,83,0
2/20/2011,26.9,81,0
2/21/2011,24.9,87,0
2/22/2011,27.4,77,0
2/23/2011,26.2,82,0
2/24/2011,26,86,2
2/25/2011,24.5,91,8888
2/26/2011,26.7,80,0
2/27/2011,26.2,87,0
2/28/2011,26.9,81,4
3/1/2011,26.7,80,0
3/2/2011,26.9,81,0
3/3/2011,26.8,80,0
3/4/2011,27.2,81,0
3/5/2011,26.8,79,0
3/6/2011,26.9,81,8888
3/7/2011,27.3,79,8888
3/8/2011,25.6,89,8888
3/9/2011,25.1,89,45
3/10/2011,25.9,86,101
3/11/2011,25.4,83,15
3/12/2011,26.3,82,6
3/13/2011,26,84,0
3/14/2011,26.2,85,0
3/15/2011,26.2,86,1
3/16/2011,26.4,85,8888
3/17/2011,25.6,88,26
3/18/2011,26.2,83,0
3/19/2011,27.5,78,0
3/20/2011,26.7,81,0
3/21/2011,27.2,80,0
3/22/2011,25.9,88,0
3/23/2011,26.5,84,1
3/24/2011,26.1,82,2
3/25/2011,25.5,88,5
3/26/2011,24.1,95,34
