Date,Year,month,day,RH_AVG_preprocessed
2005-01-01,2005,1,1,90.0
2005-01-02,2005,1,2,90.0
2005-01-03,2005,1,3,90.0
2005-01-04,2005,1,4,89.0
2005-01-05,2005,1,5,88.0
2005-01-06,2005,1,6,89.0
2005-01-07,2005,1,7,89.0
2005-01-08,2005,1,8,90.0
2005-01-09,2005,1,9,91.0
2005-01-10,2005,1,10,94.0
2005-01-11,2005,1,11,94.0
2005-01-12,2005,1,12,90.0
2005-01-13,2005,1,13,89.0
2005-01-14,2005,1,14,91.0
2005-01-15,2005,1,15,93.0
2005-01-16,2005,1,16,92.0
2005-01-17,2005,1,17,94.0
2005-01-18,2005,1,18,94.0
2005-01-19,2005,1,19,91.0
2005-01-20,2005,1,20,93.0
2005-01-21,2005,1,21,88.0
2005-01-22,2005,1,22,90.0
2005-01-23,2005,1,23,92.0
2005-01-24,2005,1,24,95.0
2005-01-25,2005,1,25,90.0
2005-01-26,2005,1,26,89.0
2005-01-27,2005,1,27,93.0
2005-01-28,2005,1,28,95.0
2005-01-29,2005,1,29,93.0
2005-01-30,2005,1,30,93.0
2005-01-31,2005,1,31,89.0
2005-02-01,2005,2,1,89.0
2005-02-02,2005,2,2,93.0
2005-02-03,2005,2,3,94.0
2005-02-04,2005,2,4,92.0
2005-02-05,2005,2,5,94.0
2005-02-06,2005,2,6,90.0
2005-02-07,2005,2,7,92.0
2005-02-08,2005,2,8,89.0
2005-02-09,2005,2,9,91.0
2005-02-10,2005,2,10,92.0
2005-02-11,2005,2,11,89.0
2005-02-12,2005,2,12,88.0
2005-02-13,2005,2,13,90.0
2005-02-14,2005,2,14,91.0
2005-02-15,2005,2,15,89.0
2005-02-16,2005,2,16,92.0
2005-02-17,2005,2,17,94.0
2005-02-18,2005,2,18,91.0
2005-02-19,2005,2,19,90.0
2005-02-20,2005,2,20,90.0
2005-02-21,2005,2,21,86.0
2005-02-22,2005,2,22,86.0
2005-02-23,2005,2,23,90.0
2005-02-24,2005,2,24,86.0
2005-02-25,2005,2,25,89.0
2005-02-26,2005,2,26,94.0
2005-02-27,2005,2,27,90.0
2005-02-28,2005,2,28,92.0
2005-03-01,2005,3,1,89.0
2005-03-02,2005,3,2,90.0
2005-03-03,2005,3,3,92.0
2005-03-04,2005,3,4,89.0
2005-03-05,2005,3,5,89.0
2005-03-06,2005,3,6,87.0
2005-03-07,2005,3,7,90.0
2005-03-08,2005,3,8,89.0
2005-03-09,2005,3,9,86.0
2005-03-10,2005,3,10,89.0
2005-03-11,2005,3,11,89.0
2005-03-12,2005,3,12,88.0
2005-03-13,2005,3,13,89.0
2005-03-14,2005,3,14,95.0
2005-03-15,2005,3,15,91.0
2005-03-16,2005,3,16,92.0
2005-03-17,2005,3,17,89.0
2005-03-18,2005,3,18,88.0
2005-03-19,2005,3,19,86.0
2005-03-20,2005,3,20,89.0
2005-03-21,2005,3,21,88.0
2005-03-22,2005,3,22,91.0
2005-03-23,2005,3,23,90.0
2005-03-24,2005,3,24,91.0
2005-03-25,2005,3,25,91.0
