Date,Year,month,day,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2025-01-01,2025,1,1,22.8,33,26.8,83,5.5,2.4,3,110,2,SE
2025-01-02,2025,1,2,23,31.5,26.9,83,0,7.5,3,160,1,SE
2025-01-03,2025,1,3,23.8,29.8,25.7,92,15.8,4.4,3,340,2,S
2025-01-04,2025,1,4,23.4,31.2,26.2,90,59.5,1.9,4,110,2,SE
2025-01-05,2025,1,5,23,32.8,26.6,83,7.4,6.6,4,120,2,SE
2025-01-06,2025,1,6,22.2,31.4,25.1,91,2.5,7.7,3,270,2,SE
2025-01-07,2025,1,7,22.4,31.2,26.1,85,20.5,3.4,3,180,2,SE
2025-01-08,2025,1,8,21.6,32.5,25.9,88,8888,5.6,4,160,2,SE
2025-01-09,2025,1,9,23,33,26.7,84,25,6.3,3,30,2,NE
2025-01-10,2025,1,10,22,31.8,26.2,76,0,7,8,50,4,NE
2025-01-11,2025,1,11,22.6,31.6,26.5,78,0,8,6,120,3,SE
2025-01-12,2025,1,12,22.2,29.1,25,90,7,5.9,6,130,3,SE
2025-01-13,2025,1,13,22.8,28.5,25.3,91,10.2,1.3,4,160,2,SE
2025-01-14,2025,1,14,22.8,31,26.3,87,20.9,0.2,5,130,3,SE
2025-01-15,2025,1,15,23.4,31.8,26.9,82,0,6,5,120,3,SE
2025-01-16,2025,1,16,22.8,30,25.8,93,23.3,7.3,4,120,2,SE
2025-01-17,2025,1,17,23,31.4,27.3,79,3.8,2.8,6,140,4,SE
2025-01-18,2025,1,18,22,30.8,26.2,84,0,6.3,5,120,3,SE
2025-01-19,2025,1,19,23.4,30.8,26.4,82,0.1,5,5,130,3,SE
2025-01-20,2025,1,20,22.2,32,26.9,82,0,3.9,5,130,3,SE
2025-01-21,2025,1,21,22.2,32.4,27,80,0,8,4,130,3,SE
2025-01-22,2025,1,22,22,32.6,27,83,0,8,5,140,3,SE
2025-01-23,2025,1,23,23.8,32.6,26.5,85,0,7.3,4,300,2,SE
2025-01-24,2025,1,24,23.4,31.4,26.8,80,23.8,5.4,4,230,2,SE
2025-01-25,2025,1,25,22.8,31.8,25.8,90,55.4,3.1,3,120,2,SE
2025-01-26,2025,1,26,22.8,30.3,26.4,86,2.6,7.9,5,140,2,SE
2025-01-27,2025,1,27,22.8,31.8,25.5,89,0,2.9,4,320,2,SE
2025-01-28,2025,1,28,22.2,30.8,25.4,92,60.4,7.3,3,60,1,SE
2025-01-29,2025,1,29,23.3,32.2,27.3,80,21.2,1.7,4,130,2,SE
2025-01-30,2025,1,30,23.2,31.6,26.5,79,0,8,5,110,3,SE
2025-01-31,2025,1,31,21.4,32.6,26.1,78,0,8,4,120,2,SE
2025-02-01,2025,2,1,20.6,31.4,26.2,83,0,8,3,170,1,SE
2025-02-02,2025,2,2,23.4,31,26.5,84,0,3.4,4,310,2,SE
2025-02-03,2025,2,3,22.2,33,26.7,81,0,5.1,3,180,2,SE
2025-02-04,2025,2,4,21.8,31.8,26.9,83,0,8,4,70,2,E
2025-02-05,2025,2,5,22.2,32.2,26.6,76,0,7.8,5,120,2,SE
2025-02-06,2025,2,6,21.2,31.4,27.1,81,0,5.2,3,40,2,E
2025-02-07,2025,2,7,23,33,27.3,81,8888,6.3,4,140,2,SE
2025-02-08,2025,2,8,22.8,32.4,26.6,78,0,5.6,5,120,3,SE
2025-02-09,2025,2,9,22.2,32.2,26.9,73,0,7.1,6,130,3,SE
2025-02-10,2025,2,10,22.8,32.6,26.8,78,0,5.7,5,110,3,SE
2025-02-11,2025,2,11,22,32.5,26.3,83,0,8,4,130,2,SE
2025-02-12,2025,2,12,22.2,33,26.9,81,0,6.5,3,120,2,SE
2025-02-13,2025,2,13,21.8,31.6,26.7,89,0,6,3,300,2,S
2025-02-14,2025,2,14,24.6,31,26.2,92,14.5,3.7,3,280,1,SE
2025-02-15,2025,2,15,23.3,30.8,24.8,93,21.6,1.5,4,50,1,SE
