Date,Year,month,day,RR_original,RR_estimation_method,RR_imputed,imputation_method,is_outlier
2005-01-01,2005,1,1,7.0,,7.0,,False
2005-01-02,2005,1,2,0.0,,5.183574463358577e-05,,False
2005-01-03,2005,1,3,10.0,,9.999999999999998,,False
2005-01-04,2005,1,4,8888.0,meteorological_log_domain,2.8327966261286734,,False
2005-01-05,2005,1,5,0.0,,5.183574463358577e-05,,False
2005-01-06,2005,1,6,0.0,,5.183574463358577e-05,,False
2005-01-07,2005,1,7,8888.0,meteorological_log_domain,6.694455384232112,,False
2005-01-08,2005,1,8,0.0,,5.183574463358577e-05,,False
2005-01-09,2005,1,9,8888.0,meteorological_log_domain,8.491996964463493,,False
2005-01-10,2005,1,10,0.0,,5.183574463358577e-05,,False
2005-01-11,2005,1,11,8.0,,8.0,,False
2005-01-12,2005,1,12,8888.0,meteorological_log_domain,2.0819985089176853,,False
2005-01-13,2005,1,13,4.0,,4.0,,False
2005-01-14,2005,1,14,0.0,,5.183574463358577e-05,,False
2005-01-15,2005,1,15,0.0,,5.183574463358577e-05,,False
2005-01-16,2005,1,16,8888.0,meteorological_log_domain,2.5662306074493237,,False
2005-01-17,2005,1,17,8888.0,meteorological_log_domain,6.248054204359739,,False
2005-01-18,2005,1,18,30.0,,29.999999999999993,,True
2005-01-19,2005,1,19,1.0,,1.0,,False
2005-01-20,2005,1,20,8888.0,meteorological_log_domain,1.912637794969572,,False
2005-01-21,2005,1,21,0.0,,5.183574463358577e-05,,False
2005-01-22,2005,1,22,0.0,,5.183574463358577e-05,,False
2005-01-23,2005,1,23,0.0,,5.183574463358577e-05,,False
2005-01-24,2005,1,24,0.0,,5.183574463358577e-05,,False
2005-01-25,2005,1,25,0.0,,5.183574463358577e-05,,False
2005-01-26,2005,1,26,0.0,,5.183574463358577e-05,,False
2005-01-27,2005,1,27,0.0,,5.183574463358577e-05,,False
2005-01-28,2005,1,28,0.0,,5.183574463358577e-05,,False
2005-01-29,2005,1,29,8888.0,meteorological_log_domain,4.27953595788863,,False
2005-01-30,2005,1,30,83.0,,82.99999999999996,,True
2005-01-31,2005,1,31,0.0,,5.183574463358577e-05,,False
2005-02-01,2005,2,1,0.0,,5.183574463358577e-05,,False
2005-02-02,2005,2,2,0.0,,5.183574463358577e-05,,False
2005-02-03,2005,2,3,0.0,,5.183574463358577e-05,,False
2005-02-04,2005,2,4,0.0,,5.183574463358577e-05,,False
2005-02-05,2005,2,5,0.0,,5.183574463358577e-05,,False
2005-02-06,2005,2,6,0.0,,5.183574463358577e-05,,False
2005-02-07,2005,2,7,0.0,,5.183574463358577e-05,,False
2005-02-08,2005,2,8,0.0,,5.183574463358577e-05,,False
2005-02-09,2005,2,9,0.0,,5.183574463358577e-05,,False
2005-02-10,2005,2,10,0.0,,5.183574463358577e-05,,False
2005-02-11,2005,2,11,1.0,,1.0,,False
2005-02-12,2005,2,12,8.0,,8.0,,False
2005-02-13,2005,2,13,0.0,,5.183574463358577e-05,,False
2005-02-14,2005,2,14,4.0,,4.0,,False
2005-02-15,2005,2,15,0.0,,5.183574463358577e-05,,False
2005-02-16,2005,2,16,0.0,,5.183574463358577e-05,,False
2005-02-17,2005,2,17,0.0,,5.183574463358577e-05,,False
2005-02-18,2005,2,18,0.0,,5.183574463358577e-05,,False
2005-02-19,2005,2,19,0.0,,5.183574463358577e-05,,False
2005-02-20,2005,2,20,0.0,,5.183574463358577e-05,,False
2005-02-21,2005,2,21,0.0,,5.183574463358577e-05,,False
2005-02-22,2005,2,22,0.0,,5.183574463358577e-05,,False
2005-02-23,2005,2,23,0.0,,5.183574463358577e-05,,False
2005-02-24,2005,2,24,0.0,,5.183574463358577e-05,,False
2005-02-25,2005,2,25,0.0,,5.183574463358577e-05,,False
2005-02-26,2005,2,26,0.0,,5.183574463358577e-05,,False
2005-02-27,2005,2,27,9.0,,8.999999999999998,,False
2005-02-28,2005,2,28,0.0,,5.183574463358577e-05,,False
2005-03-01,2005,3,1,8888.0,meteorological_log_domain,3.1770678219109314,,False
2005-03-02,2005,3,2,33.0,,33.0,,True
2005-03-03,2005,3,3,12.0,,12.0,,False
2005-03-04,2005,3,4,0.0,,5.183574463358577e-05,,False
2005-03-05,2005,3,5,0.0,,5.183574463358577e-05,,False
2005-03-06,2005,3,6,0.0,,5.183574463358577e-05,,False
2005-03-07,2005,3,7,0.0,,5.183574463358577e-05,,False
2005-03-08,2005,3,8,0.0,,5.183574463358577e-05,,False
2005-03-09,2005,3,9,0.0,,5.183574463358577e-05,,False
2005-03-10,2005,3,10,0.0,,5.183574463358577e-05,,False
2005-03-11,2005,3,11,0.0,,5.183574463358577e-05,,False
2005-03-12,2005,3,12,0.0,,5.183574463358577e-05,,False
2005-03-13,2005,3,13,0.0,,5.183574463358577e-05,,False
2005-03-14,2005,3,14,8.0,,8.0,,False
2005-03-15,2005,3,15,0.0,,5.183574463358577e-05,,False
2005-03-16,2005,3,16,35.0,,34.99999999999999,,True
2005-03-17,2005,3,17,6.0,,6.0,,False
2005-03-18,2005,3,18,0.0,,5.183574463358577e-05,,False
2005-03-19,2005,3,19,0.0,,5.183574463358577e-05,,False
2005-03-20,2005,3,20,0.0,,5.183574463358577e-05,,False
2005-03-21,2005,3,21,4.0,,4.0,,False
2005-03-22,2005,3,22,7.0,,7.0,,False
2005-03-23,2005,3,23,0.0,,5.183574463358577e-05,,False
2005-03-24,2005,3,24,18.0,,17.999999999999996,,False
2005-03-25,2005,3,25,9.0,,8.999999999999998,,False
2005-03-26,2005,3,26,0.0,,5.183574463358577e-05,,False
2005-03-27,2005,3,27,8888.0,meteorological_log_domain,8.2173813554357,,False
2005-03-28,2005,3,28,0.0,,5.183574463358577e-05,,False
2005-03-29,2005,3,29,8.0,,8.0,,False
2005-03-30,2005,3,30,8888.0,meteorological_log_domain,13.04163715212376,,False
2005-03-31,2005,3,31,0.0,,5.183574463358577e-05,,False
2005-04-01,2005,4,1,0.0,,5.183574463358577e-05,,False
