Date,Year,month,day,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2005-01-01,2005,1,1,23,31,25.7,89,7,0.6,,,,
2005-01-02,2005,1,2,23,28.8,25.2,88,0,1.2,,,,
2005-01-03,2005,1,3,23,30,26.2,88,10,3.2,,,,
2005-01-04,2005,1,4,21,28,24.4,85,8888,0.6,,,,
2005-01-05,2005,1,5,22,32,25.8,80,0,4.9,,,,
2005-01-06,2005,1,6,23,32.2,26.2,83,0,3.7,,,,
2005-01-07,2005,1,7,23,30.8,25.8,82,8888,8,,,,
2005-01-08,2005,1,8,23,30.6,26.1,83,0,0,,,,
2005-01-09,2005,1,9,23,30,25.8,84,8888,5.8,,,,
2005-01-10,2005,1,10,23,30,25.9,84,0,6.4,,,,
2005-01-11,2005,1,11,23,32,25.9,81,8,6.4,,,,
2005-01-12,2005,1,12,23,30,25.8,87,8888,6.3,,,,
2005-01-13,2005,1,13,23,30,25.5,84,4,6,,,,
2005-01-14,2005,1,14,23,30.6,26,83,0,8,,,,
2005-01-15,2005,1,15,23,30.8,26.2,84,0,7,,,,
2005-01-16,2005,1,16,22,31.2,26.5,82,8888,3.3,,,,
2005-01-17,2005,1,17,23,28,25.7,84,8888,1.3,,,,
2005-01-18,2005,1,18,22,30,25.1,83,30,5.5,,,,
2005-01-19,2005,1,19,23,31.2,26.5,84,1,6.6,,,,
2005-01-20,2005,1,20,23,31.2,26.5,84,8888,8,,,,
2005-01-21,2005,1,21,23,30.4,26.7,80,0,8,,,,
2005-01-22,2005,1,22,23,30.6,25.8,84,0,8,,,,
2005-01-23,2005,1,23,23,30,25.8,83,0,6.4,,,,
2005-01-24,2005,1,24,22,30.2,26.8,80,0,7.4,,,,
2005-01-25,2005,1,25,22,30.8,26.7,78,0,3,,,,
2005-01-26,2005,1,26,22,30.8,25.7,77,0,7.5,,,,
2005-01-27,2005,1,27,24,30.5,25.2,80,0,4.4,,,,
2005-01-28,2005,1,28,24,30.4,25.7,83,0,3.5,,,,
2005-01-29,2005,1,29,22,31.6,26.8,82,8888,8,,,,
2005-01-30,2005,1,30,22,31.4,26.8,83,83,6.2,,,,
2005-01-31,2005,1,31,22,31,26.5,80,0,8,,,,
2005-02-01,2005,2,1,21,30.8,25.7,75,0,6.6,3,90,2,S 
2005-02-02,2005,2,2,22,30.4,26,83,0,8,3,360,2,N 
2005-02-03,2005,2,3,21,31,26,79,0,7.5,4,360,3,E 
2005-02-04,2005,2,4,24,31.2,26.7,84,0,7.2,4,45,3,NE
2005-02-05,2005,2,5,24,31,27.2,80,0,4.5,5,45,4,NE
2005-02-06,2005,2,6,21,30.6,26.6,80,0,3.2,4,45,3,NE
2005-02-07,2005,2,7,20,30.2,25.4,80,0,6,4,45,2,NE
2005-02-08,2005,2,8,22,30.8,24.6,83,0,8,5,45,4,NE
2005-02-09,2005,2,9,22,30.6,25.8,81,0,7.4,4,360,3,N 
2005-02-10,2005,2,10,22,31,26,78,0,3.3,2,360,2,N 
2005-02-11,2005,2,11,22,31,25.8,80,1,8,5,360,2,NE
2005-02-12,2005,2,12,23,31,26.2,85,8,6.3,3,45,2,NE
2005-02-13,2005,2,13,21,30.6,26.4,78,0,6,4,45,2,NE
2005-02-14,2005,2,14,21,30.8,25.7,81,4,7.7,3,360,3,N 
2005-02-15,2005,2,15,22,31.2,25.8,80,0,8,5,45,4,NE
2005-02-16,2005,2,16,23,31,26.2,84,0,3.6,4,45,3,NE
2005-02-17,2005,2,17,22,30.4,27.4,82,0,1,2,360,2,N 
2005-02-18,2005,2,18,23,30.6,26.3,82,0,3.4,4,315,3,NW
2005-02-19,2005,2,19,22,31.6,27,82,0,7.2,3,215,2,NE
2005-02-20,2005,2,20,21,31.4,26.2,83,0,6.3,4,45,2,NE
2005-02-21,2005,2,21,21,31.4,26,80,0,8,6,45,3,NE
2005-02-22,2005,2,22,22,32.6,26.2,77,0,8,5,45,4,NE
2005-02-23,2005,2,23,21,31.4,26.2,79,0,8,5,360,2,NE
2005-02-24,2005,2,24,21,31.2,26.5,76,0,7.7,3,315,3,N 
2005-02-25,2005,2,25,24,32.2,27.2,80,0,8,4,315,2,NW
2005-02-26,2005,2,26,24,32,27.2,80,0,2.5,3,360,2,NW
2005-02-27,2005,2,27,24,32.2,27.4,81,9,,3,360,2,N 
2005-02-28,2005,2,28,24,32.2,27.7,79,0,,3,360,2,N 
2005-03-01,2005,3,1,24,32.6,28.3,80,8888,7.8,6,45,3,NE
2005-03-02,2005,3,2,23,31.6,26.2,87,33,3.4,3,45,2,NE
2005-03-03,2005,3,3,23,31.4,26.6,86,12,7.1,3,45,2,NE
2005-03-04,2005,3,4,24,31.6,27.1,81,0,7.2,5,45,3,NE
2005-03-05,2005,3,5,23,32,27,82,0,7,5,90,3,E 
2005-03-06,2005,3,6,23,31.8,26.5,84,0,7.8,7,90,5,NE
2005-03-07,2005,3,7,21,31.8,27.2,80,0,8,8,90,5,E 
2005-03-08,2005,3,8,21,31,25.6,81,0,7.4,6,90,4,NE
2005-03-09,2005,3,9,22,31,25.7,82,0,8,3,45,2,NE
2005-03-10,2005,3,10,21,31,26.2,80,0,7.8,3,360,2,N 
2005-03-11,2005,3,11,23,31,25.9,80,0,8,3,360,3,N 
2005-03-12,2005,3,12,22,31.2,26.7,78,0,8,3,360,2,N 
2005-03-13,2005,3,13,22,31.2,25.9,80,0,4.6,3,360,2,N 
2005-03-14,2005,3,14,23,32.6,26.6,79,8,6.3,4,215,2,SW
2005-03-15,2005,3,15,22,32.4,27.2,82,0,7.3,2,360,2,N 
2005-03-16,2005,3,16,22,31.2,27.7,80,35,3.9,5,45,3,NE
2005-03-17,2005,3,17,22,31.2,26.5,81,6,7,4,45,2,NE
2005-03-18,2005,3,18,24,31,26.9,83,0,4.5,4,45,2,E 
2005-03-19,2005,3,19,23,30.4,27,76,0,4,4,45,3,NE
2005-03-20,2005,3,20,24,32,27.1,79,0,7.2,4,45,2,NE
2005-03-21,2005,3,21,23,31.8,26.7,83,4,5.8,3,360,2,N 
2005-03-22,2005,3,22,23,30.4,25.9,87,7,4.2,3,360,2,N 
2005-03-23,2005,3,23,24,31.8,27.4,83,0,5,3,360,2,N 
2005-03-24,2005,3,24,24,31.2,26.5,86,18,5,3,215,2,W 
2005-03-25,2005,3,25,23,30.8,26,88,9,2.6,3,315,2,NW
2005-03-26,2005,3,26,23,31.2,26,89,0,1,3,215,2,SW
2005-03-27,2005,3,27,23,32.2,26.5,81,8888,2.2,4,45,3,NE
2005-03-28,2005,3,28,24,32.2,27.9,81,0,7.6,7,45,2,SE
2005-03-29,2005,3,29,23,30.4,26.5,84,8,2.2,2,215,5,SW
2005-03-30,2005,3,30,23,31,26.8,90,8888,4.5,4,215,2,SW
2005-03-31,2005,3,31,23,31,26.7,84,0,1.8,4,315,3,NW
2005-04-01,2005,4,1,24,32,26.2,80,0,8,3,360,2,N 
2005-04-02,2005,4,2,24,31.6,27.3,80,8888,6.3,3,360,2,N 
2005-04-03,2005,4,3,24,31.2,26.8,83,0,4.2,3,135,2,S 
2005-04-04,2005,4,4,24,32,27.4,79,1,7,4,45,2,NE
2005-04-05,2005,4,5,23,32,27,81,0,6,5,45,3,NE
2005-04-06,2005,4,6,23,32.2,26.7,79,26,7.5,4,45,3,NE
2005-04-07,2005,4,7,23,32.5,27.8,78,0,7.8,3,45,2,SW
2005-04-08,2005,4,8,23,32.2,26,86,0,7,3,215,2,SW
2005-04-09,2005,4,9,23,32,26.8,84,10,4.8,3,360,2,N 
2005-04-10,2005,4,10,24,31.8,26.5,78,8888,8,4,360,2,W 
2005-04-11,2005,4,11,23,31.8,27.1,74,0,7.9,3,315,2,NW
2005-04-12,2005,4,12,22,32.4,27.4,76,0,8,3,315,2,SW
2005-04-13,2005,4,13,23,32.6,27.1,77,0,7,4,215,2,NW
2005-04-14,2005,4,14,22,32.6,26.4,81,0,7.5,3,315,3,N 
2005-04-15,2005,4,15,22,32.6,27.1,75,0,8,3,315,2,SE
2005-04-16,2005,4,16,22,31.2,26.9,81,0,3,3,45,2,N 
2005-04-17,2005,4,17,23,32.2,27.2,82,0,7.4,4,45,2,NE
2005-04-18,2005,4,18,21,32.2,27.4,77,8888,8,3,45,3,NE
2005-04-19,2005,4,19,23,33,26.9,75,0,7.4,4,45,3,NE
2005-04-20,2005,4,20,22,32,27.2,80,0,6,5,45,3,NE
2005-04-21,2005,4,21,23,32.2,27,78,0,8,3,90,3,NW
2005-04-22,2005,4,22,22,32.6,28.1,79,0,4.8,5,315,2,E 
2005-04-23,2005,4,23,23,32,28.3,79,0,4.4,3,315,2,NE
2005-04-24,2005,4,24,21,33,27.8,80,0,5,3,360,2,N 
2005-04-25,2005,4,25,25,33.2,28,76,0,8,3,360,3,W 
2005-04-26,2005,4,26,23,33,28.7,80,0,2.6,3,215,2,NE
2005-04-27,2005,4,27,24,32.5,27.5,84,5,1.5,3,45,2,NE
2005-04-28,2005,4,28,24,32.8,28,81,0,7.4,5,45,2,E 
2005-04-29,2005,4,29,24,32,28.4,82,0,7.4,4,45,4,NE
2005-04-30,2005,4,30,24,33.4,28.5,78,0,4.6,4,45,3,E 
2005-05-01,2005,5,1,23,32,26.3,84,8888,5.8,5,360,3,W 
2005-05-02,2005,5,2,23,31.6,27.3,84,47,3.8,3,360,3,NE
2005-05-03,2005,5,3,24,31,27,85,0,1.3,4,215,3,SW
2005-05-04,2005,5,4,23,31.6,27.1,83,0,6.8,5,215,3,SW
2005-05-05,2005,5,5,23,31.8,27.1,83,72,4.5,4,315,3,NW
2005-05-06,2005,5,6,23,31,26.5,88,0,4.5,4,135,3,SE
2005-05-07,2005,5,7,24,29.6,26.7,88,8,1.6,5,315,3,NW
2005-05-08,2005,5,8,24,32,27.9,77,0,,5,135,3,SE
2005-05-09,2005,5,9,24,32,27.7,79,0,7.7,5,315,3,NE
2005-05-10,2005,5,10,24,32,27.7,84,4,8,3,135,2,NE
2005-05-11,2005,5,11,24,32.2,28.1,82,0,6.9,3,45,2,N 
2005-05-12,2005,5,12,23,32.6,28.6,80,0,5.8,3,45,2,NE
2005-05-13,2005,5,13,22,31.4,27.1,80,0,5.8,3,360,2,NE
2005-05-14,2005,5,14,22,32,27,76,0,2.6,4,45,3,NE
2005-05-15,2005,5,15,22,32,27.2,78,0,8,3,45,2,NE
2005-05-16,2005,5,16,22,32,27,79,0,,4,45,3,NE
2005-05-17,2005,5,17,22,32.4,26.7,78,0,,3,45,2,NE
2005-05-18,2005,5,18,22,33,27.4,72,0,,4,45,2,NE
2005-05-19,2005,5,19,23,33.2,27.5,75,0,,4,45,3,NE
2005-05-20,2005,5,20,22,34,27.9,72,0,,3,45,2,N 
2005-05-21,2005,5,21,22,32.2,25.2,81,0,,7,45,4,S 
2005-05-22,2005,5,22,22,31.6,26.9,74,7,,3,360,2,NE
2005-05-23,2005,5,23,23,32,27.1,80,0,,3,215,3,SE
2005-05-24,2005,5,24,23,31.8,27,77,0,,4,45,2,NE
2005-05-25,2005,5,25,22,32,26.1,90,0,,5,135,2,SE
2005-05-26,2005,5,26,22,31.6,25.3,84,30,,6,315,2,SE
2005-05-27,2005,5,27,22,31,26.4,80,1,,3,360,2,NW
2005-05-28,2005,5,28,23,31,27.1,84,58,,3,45,2,N 
2005-05-29,2005,5,29,23,31.2,26.4,82,0,,3,360,2,NE
2005-05-30,2005,5,30,22,31.2,26.4,82,0,,4,45,2,N 
2005-05-31,2005,5,31,23,30,26.2,82,8888,,6,45,4,W 
2005-06-01,2005,6,1,21,32,26.6,78,0,4.6,3,315,2,SW
2005-06-02,2005,6,2,22,30.2,26.6,82,0,5.1,3,315,2,N 
2005-06-03,2005,6,3,23,31.4,26.9,80,0,4.7,4,45,3,NE
2005-06-04,2005,6,4,22,31.8,25.2,87,8888,1.8,4,315,3,NW
2005-06-05,2005,6,5,22,31.6,26.1,83,0,5.9,5,90,3,E 
2005-06-06,2005,6,6,23,31.2,26.2,80,0,3.3,5,90,3,NW
2005-06-07,2005,6,7,23,30,28.6,67,0,2.7,5,270,3,W 
2005-06-08,2005,6,8,22,32.8,27,78,8888,3.7,2,360,2,N 
2005-06-09,2005,6,9,22,31.4,27,78,0,7.2,3,45,2,NE
2005-06-10,2005,6,10,23,32,27.4,80,0,7.5,4,45,2,NE
2005-06-11,2005,6,11,23,32.2,28.1,73,0,8,4,45,2,NE
2005-06-12,2005,6,12,24,33.4,27.5,77,0,8,4,360,2,N 
2005-06-13,2005,6,13,24,32.6,27.8,82,0,6.8,3,360,2,N 
2005-06-14,2005,6,14,23,32.4,27.4,79,0,7.5,6,45,3,S 
2005-06-15,2005,6,15,24,32.2,27.5,79,0,6,4,45,3,NE
2005-06-16,2005,6,16,24,33,27.7,78,0,6.1,4,315,3,NW
2005-06-17,2005,6,17,23,32.8,27.9,82,0,8,4,45,2,NE
2005-06-18,2005,6,18,23,33,27.7,80,0,7.5,4,45,2,NE
2005-06-19,2005,6,19,22,32.8,28,73,0,7.4,4,45,3,NE
2005-06-20,2005,6,20,22,32.6,26.9,79,0,5.6,3,45,2,NE
2005-06-21,2005,6,21,21,32.6,27.3,74,0,8,4,360,2,NE
2005-06-22,2005,6,22,21,33.2,26.6,73,0,8,4,45,2,NE
2005-06-23,2005,6,23,21,32.6,26.5,75,0,8,5,45,3,NE
2005-06-24,2005,6,24,23,32.6,27.5,76,0,6.7,3,45,2,NE
2005-06-25,2005,6,25,23,32.4,27.4,78,0,4.6,4,315,3,NW
2005-06-26,2005,6,26,23,33,27.5,74,0,,3,45,2,W 
2005-06-27,2005,6,27,22,32.4,27.3,75,0,6.7,6,315,3,NW
2005-06-28,2005,6,28,22,32.6,26.9,77,8888,6.4,4,315,3,NW
2005-06-29,2005,6,29,23,32.4,27,77,8888,7.5,6,270,4,W 
2005-06-30,2005,6,30,25,32,28.4,71,2,8,7,315,4,W 
2005-07-08,2005,7,8,23,34.2,27.4,84,0,,3,45,2,NE
2005-07-09,2005,7,9,23,34,27.9,79,0,,3,315,3,NW
2005-07-10,2005,7,10,23,33,27.7,79,0,,3,360,2,N 
2005-07-11,2005,7,11,24,33.6,27.9,80,0,,4,360,2,NE
2005-07-12,2005,7,12,23,32.6,26.8,82,0,,4,45,3,NE
2005-07-13,2005,7,13,23,31.6,26.9,79,9,,4,45,3,NE
2005-07-14,2005,7,14,23,32.4,26,82,2,,4,45,3,NE
2005-07-15,2005,7,15,23,30.4,25.3,81,6,1,4,360,2,NE
2005-07-16,2005,7,16,23,32,27.7,84,3,6.3,3,135,2,NW
2005-07-17,2005,7,17,24,32.7,27.2,87,0,8,3,45,2,SE
2005-07-18,2005,7,18,22,32.2,27.4,80,23,6.6,3,45,2,NE
2005-07-19,2005,7,19,23,32.6,27.2,82,0,7.8,3,135,2,NE
2005-07-20,2005,7,20,23,31,26.5,81,6,0,3,45,2,SE
2005-07-21,2005,7,21,24,32.4,27.2,80,0,2.9,4,135,2,S 
2005-07-22,2005,7,22,24,32.2,26,81,8888,2.6,4,180,2,NE
2005-07-23,2005,7,23,23,32,26.9,86,18,3,2,135,3,SE
2005-07-24,2005,7,24,24,32.5,27,78,0,2.6,3,45,2,SE
2005-07-25,2005,7,25,23,32.2,28,79,0,6.2,3,45,2,NE
2005-07-26,2005,7,26,23,32,27.7,83,0,7.6,3,135,2,NE
2005-07-27,2005,7,27,23,32,27.1,78,0,5,4,315,2,NE
2005-07-28,2005,7,28,22,32.8,27.6,78,0,8,2,135,3,NW
2005-07-29,2005,7,29,23,33,27.3,85,0,7.8,4,45,2,SE
2005-07-30,2005,7,30,24,33.4,27.5,79,0,8,3,45,2,NE
2005-07-31,2005,7,31,24,33.4,26.8,80,0,4.3,3,45,2,NE
2005-08-01,2005,8,1,22,33.2,26.6,82,0,6.5,4,135,3,SE
2005-08-02,2005,8,2,23,33,27.7,79,1,2,5,45,3,NE
2005-08-03,2005,8,3,24,32,27.7,78,1,5,3,45,3,NE
2005-08-04,2005,8,4,24,33.3,27.9,76,0,3.5,4,45,3,NE
2005-08-05,2005,8,5,23,33,27.7,78,0,8,3,45,2,N 
2005-08-06,2005,8,6,22,33.5,27.8,79,0,7.8,4,360,2,N 
2005-08-07,2005,8,7,23,33.2,27.5,80,0,6.2,3,45,2,NE
2005-08-08,2005,8,8,21,33.6,27.6,77,0,8,3,45,2,NE
2005-08-09,2005,8,9,23,33.8,28.2,80,0,7.4,3,45,3,NE
2005-08-10,2005,8,10,23,33.4,27.8,80,0,8,3,45,2,NE
2005-08-11,2005,8,11,24,33.2,27.7,78,0,7.8,4,135,2,NE
2005-08-12,2005,8,12,24,37.4,29.3,76,0,5.5,4,45,2,NE
2005-08-13,2005,8,13,25,34.6,27.9,75,0,4.2,4,45,3,NE
2005-08-14,2005,8,14,20,33,27.9,76,8888,0.3,3,45,3,N 
2005-08-15,2005,8,15,23,31.6,27.3,76,8888,0,4,45,2,NE
2005-08-16,2005,8,16,23,31.8,27.6,74,0,0.2,3,215,2,NE
2005-08-17,2005,8,17,24,33.2,27.6,72,0,8,4,45,3,N 
2005-08-18,2005,8,18,23,33.2,26.2,73,0,5.7,4,360,2,NE
2005-08-19,2005,8,19,21,32,26.8,76,2,4.2,4,45,4,NE
2005-08-20,2005,8,20,20,32,26.9,82,8888,0.1,4,45,2,NE
2005-08-21,2005,8,21,23,32,26.7,77,0,5.3,4,215,2,NE
2005-08-22,2005,8,22,23,31.8,26,83,13,0,2,45,3,NW
2005-08-23,2005,8,23,22,30,25.9,76,8888,1.3,6,315,2,SW
2005-08-24,2005,8,24,23,31.8,26.1,74,8888,0,4,215,4,NW
2005-08-25,2005,8,25,20,28.8,25.6,79,4,0,5,215,3,NW
2005-08-26,2005,8,26,19,32,26.8,80,2,7.5,5,315,4,S 
2005-08-27,2005,8,27,23,32,26.4,74,0,3.8,4,215,3,NE
2005-08-28,2005,8,28,23,31.8,27.2,75,1,3.7,3,45,3,N 
2005-08-29,2005,8,29,22,32,26.4,83,0,6.3,5,360,2,S 
2005-08-30,2005,8,30,23,33.2,26.9,83,0,7.8,3,360,2,SE
2005-08-31,2005,8,31,24,31.4,26.8,80,0,1.4,3,315,2,SE
2005-09-01,2005,9,1,20,31.6,26.1,86,11,5,4,45,2,S 
2005-09-02,2005,9,2,23,31,26.9,82,16,2.4,2,360,2,NW
2005-09-03,2005,9,3,21,31.8,26.5,84,8888,2.6,3,90,3,NW
2005-09-04,2005,9,4,24,31.6,27.3,83,3,2.6,3,360,2,N 
2005-09-05,2005,9,5,25,32.4,27.2,85,0,2.6,4,360,2,NE
2005-09-06,2005,9,6,25,33,28.2,79,26,2.6,2,360,2,N 
2005-09-07,2005,9,7,21,32,27.9,81,0,5.8,3,360,2,NE
2005-09-08,2005,9,8,23,32.4,28,80,0,4.3,3,45,2,NE
2005-09-09,2005,9,9,23,32,27.2,80,0,8,3,45,2,E 
2005-09-10,2005,9,10,23,32.6,27.1,77,0,8,5,90,4,NE
2005-09-11,2005,9,11,23,32,27.2,79,3,6.6,3,45,2,SE
2005-09-12,2005,9,12,24,32,27.7,78,0,6,3,45,3,NE
2005-09-13,2005,9,13,23,32.6,26.6,76,0,4,3,180,2,N 
2005-09-14,2005,9,14,23,32.6,27,76,0,8,3,45,2,NE
2005-09-15,2005,9,15,23,32,26.7,78,0,8,4,45,2,NE
2005-09-16,2005,9,16,22,31.2,27,80,0,8,4,315,2,NW
2005-09-17,2005,9,17,22,33.2,27.6,72,0,7,5,315,2,NW
2005-09-18,2005,9,18,23,33,26.7,75,0,0.2,4,135,3,S 
2005-09-19,2005,9,19,23,31.6,27.8,76,2,2.2,3,45,2,NE
2005-09-20,2005,9,20,24,33.2,27.9,66,0,5.2,4,135,3,SE
2005-09-21,2005,9,21,24,32.4,27.3,81,0,1.2,4,315,3,NW
2005-09-22,2005,9,22,23,31,25.3,78,0,0.2,4,315,3,NW
2005-09-23,2005,9,23,22,28.4,25.6,90,2,8,2,315,3,W 
2005-09-24,2005,9,24,19,31.6,26.3,83,7,8,4,315,3,NW
2005-09-25,2005,9,25,19,32.4,26.7,82,0,5,3,315,2,NW
2005-09-26,2005,9,26,23,32,27.1,73,0,0.6,3,360,2,N 
2005-09-27,2005,9,27,23,31.8,26.4,80,0,1.3,3,360,3,N 
2005-09-28,2005,9,28,22,32,27,82,17,6,3,45,2,NE
2005-09-29,2005,9,29,23,31.6,26.7,78,0,1.1,4,45,2,NE
2005-09-30,2005,9,30,23,30.4,26.3,78,0,1.1,2,215,2,S 
2005-10-01,2005,10,1,20,31.2,26.4,86,6,4.3,4,45,2,S 
2005-10-02,2005,10,2,22,30,25.7,82,8888,3.2,2,360,2,NW
