Date,Year,Month,Day,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,Season,is_RR_missing
2005-01-01,2005,January,1,21.0,33.2,25.7,90.0,2.4,5.0,,336.1499340550831,1.0,NNW,Wet,1
2005-01-02,2005,January,2,22.0,33.0,26.3,90.0,9.2,0.0,,336.1499340550831,1.0,NNW,Wet,1
2005-01-03,2005,January,3,21.0,33.0,26.5,90.0,2.6,3.0,,336.1499340550831,1.0,NNW,Wet,1
2005-01-04,2005,January,4,22.0,33.0,26.5,89.0,2.0,3.1,,336.1499340550831,1.0,NNW,Wet,0
2005-01-05,2005,January,5,21.0,32.8,25.6,88.0,13.0,7.5,,336.1499340550831,1.0,NNW,Wet,1
2005-01-06,2005,January,6,22.0,32.0,27.1,89.0,4.0,5.0,,336.1499340550831,1.0,NNW,Wet,1
2005-01-07,2005,January,7,21.0,32.4,27.5,89.0,4.0,5.0,,336.1499340550831,1.0,NNW,Wet,0
2005-01-08,2005,January,8,22.0,33.0,26.6,90.0,1.2,0.0,,336.1499340550831,1.0,NNW,Wet,1
2005-01-09,2005,January,9,21.0,33.0,25.7,91.0,2.0,2.4,,0.0,1.0,N,Wet,1
2005-01-10,2005,January,10,22.0,32.6,26.0,94.0,1.1,6.3,,0.0,1.0,N,Wet,1
2005-01-11,2005,January,11,21.0,32.6,25.6,94.0,25.0,5.8,,0.0,1.0,N,Wet,1
2005-01-12,2005,January,12,20.0,32.4,25.8,90.0,4.0,6.5,,0.0,1.0,N,Wet,1
2005-01-13,2005,January,13,21.0,33.0,26.5,89.0,58.0,4.5,,0.0,1.0,N,Wet,1
2005-01-14,2005,January,14,21.0,33.0,26.4,91.0,59.0,5.9,,0.0,1.0,N,Wet,1
2005-01-15,2005,January,15,21.0,33.0,26.5,93.0,4.0,6.2,4.0,0.0,0.0,N,Wet,0
2005-01-16,2005,January,16,23.0,33.4,26.8,92.0,2.0,5.1,3.0,0.0,0.0,N,Wet,0
2005-01-17,2005,January,17,20.0,33.4,25.5,94.0,15.0,2.4,4.0,135.0,2.0,SE,Wet,0
2005-01-18,2005,January,18,23.0,33.4,25.9,94.0,56.0,4.9,3.0,0.0,0.0,N,Wet,0
2005-01-19,2005,January,19,20.0,33.4,26.7,91.0,6.0,5.6,4.0,0.0,0.0,SE,Wet,0
2005-01-20,2005,January,20,23.0,33.4,26.7,93.0,0.5,7.7,3.0,0.0,0.0,N,Wet,1
2005-01-21,2005,January,21,20.0,33.4,28.4,88.0,47.0,4.7,5.0,135.0,3.0,SE,Wet,1
2005-01-22,2005,January,22,23.0,33.4,27.1,90.0,6.0,7.8,4.0,135.0,2.0,SE,Wet,1
2005-01-23,2005,January,23,19.0,33.4,26.1,92.0,17.3,6.8,4.0,0.0,0.0,SE,Wet,1
2005-01-24,2005,January,24,22.0,33.4,26.3,95.0,40.0,3.8,3.0,0.0,0.0,N,Wet,1
2005-01-25,2005,January,25,19.0,33.4,26.8,90.0,6.0,6.8,5.0,135.0,2.0,SE,Wet,0
2005-01-26,2005,January,26,22.0,33.4,26.9,89.0,35.0,5.9,3.0,0.0,0.0,N,Wet,1
2005-01-27,2005,January,27,19.0,33.4,25.3,93.0,5.8,3.9,0.0,0.0,0.0,N,Wet,1
2005-01-28,2005,January,28,22.0,33.4,25.3,95.0,20.9,0.9,3.0,0.0,0.0,N,Wet,1
2005-01-29,2005,January,29,19.0,33.4,26.9,93.0,10.0,6.0,4.0,0.0,0.0,SE,Wet,0
2005-01-30,2005,January,30,22.0,33.4,26.9,93.0,50.5,4.5,3.0,0.0,0.0,N,Wet,1
2005-01-31,2005,January,31,19.0,33.4,27.8,89.0,25.0,5.8,4.0,135.0,3.0,SE,Wet,1
2005-02-01,2005,February,1,21.0,33.4,25.5,89.0,6.5,6.6,3.0,5.0,2.0,N,Wet,1
2005-02-02,2005,February,2,21.0,33.4,24.9,93.0,6.8,5.4,3.0,0.0,0.0,SE,Wet,1
2005-02-03,2005,February,3,20.0,33.4,26.1,94.0,43.0,5.5,3.0,180.0,2.0,S,Wet,0
2005-02-04,2005,February,4,21.0,33.6,26.7,92.0,18.0,1.5,3.0,0.0,0.0,SE,Wet,1
2005-02-05,2005,February,5,23.0,33.4,26.6,94.0,1.0,5.3,3.0,0.0,0.0,N,Wet,1
2005-02-06,2005,February,6,20.0,32.8,27.3,90.0,80.9,1.8,3.0,0.0,0.0,SE,Wet,1
2005-02-07,2005,February,7,22.0,32.8,26.1,92.0,3.5,4.6,3.0,0.0,0.0,N,Wet,1
2005-02-08,2005,February,8,21.0,33.6,26.0,89.0,4.0,4.7,5.0,135.0,2.0,SE,Wet,1
2005-02-09,2005,February,9,20.0,32.4,26.2,91.0,43.0,7.8,3.0,0.0,0.0,N,Wet,1
2005-02-10,2005,February,10,20.0,32.8,26.2,92.0,4.4,4.7,4.0,135.0,2.0,SE,Wet,1
2005-02-11,2005,February,11,20.0,32.8,26.3,89.0,29.2,8.0,3.0,0.0,0.0,N,Wet,1
2005-02-12,2005,February,12,20.0,33.0,27.4,88.0,4.0,5.6,4.0,0.0,3.0,SE,Wet,1
2005-02-13,2005,February,13,20.0,33.2,26.8,90.0,27.0,8.0,4.0,0.0,0.0,N,Wet,1
2005-02-14,2005,February,14,20.0,33.6,26.1,91.0,2.7,7.8,3.0,0.0,0.0,SE,Wet,1
2005-02-15,2005,February,15,20.0,33.6,26.1,89.0,16.0,8.0,3.0,0.0,0.0,N,Wet,1
2005-02-16,2005,February,16,20.0,33.6,26.6,92.0,6.0,1.5,0.0,0.0,0.0,N,Wet,1
2005-02-17,2005,February,17,21.0,33.6,26.1,94.0,13.0,1.7,2.0,0.0,0.0,N,Wet,1
2005-02-18,2005,February,18,20.0,33.6,26.8,91.0,7.0,4.5,3.0,0.0,0.0,SE,Wet,0
2005-02-19,2005,February,19,21.0,33.6,27.2,90.0,1.0,4.7,3.0,0.0,0.0,N,Wet,1
2005-02-20,2005,February,20,20.0,33.6,26.3,90.0,7.0,5.8,3.0,0.0,0.0,SE,Wet,1
2005-02-21,2005,February,21,20.0,33.6,26.4,86.0,5.3,7.8,3.0,0.0,0.0,N,Wet,1
2005-02-22,2005,February,22,20.0,34.0,28.1,86.0,15.9,7.4,4.0,135.0,3.0,SE,Wet,1
2005-02-23,2005,February,23,20.0,34.0,27.3,90.0,1.0,5.9,4.0,0.0,0.0,N,Wet,1
2005-02-24,2005,February,24,20.0,34.4,27.1,86.0,6.5,7.3,4.0,135.0,3.0,SE,Wet,1
2005-02-25,2005,February,25,20.0,34.4,28.1,89.0,14.2,3.7,3.0,0.0,0.0,N,Wet,1
2005-02-26,2005,February,26,20.0,34.0,25.8,94.0,2.7,1.7,4.0,180.0,2.0,SE,Wet,1
2005-02-27,2005,February,27,20.0,34.4,26.4,90.0,2.0,6.6,3.0,0.0,0.0,N,Wet,0
2005-02-28,2005,February,28,20.0,34.0,26.5,92.0,5.9,0.0,0.0,0.0,0.0,N,Wet,1
2005-03-01,2005,March,1,20.0,35.0,28.7,89.0,3.0,6.3,4.0,0.0,2.0,N,Wet,1
2005-03-02,2005,March,2,20.0,35.0,27.4,90.0,10.0,2.1,0.0,0.0,0.0,N,Wet,1
2005-03-03,2005,March,3,20.0,35.0,26.8,92.0,37.0,4.7,3.0,135.0,0.0,SE,Wet,1
2005-03-04,2005,March,4,20.0,35.0,27.9,89.0,19.7,2.6,4.0,90.0,2.0,SE,Wet,1
2005-03-05,2005,March,5,20.0,35.0,28.2,89.0,42.0,7.6,4.0,180.0,2.0,S,Wet,1
2005-03-06,2005,March,6,20.0,35.0,28.4,87.0,4.0,5.8,4.0,180.0,2.0,SE,Wet,1
2005-03-07,2005,March,7,20.0,35.0,27.5,90.0,2.5,6.1,3.0,135.0,2.0,SE,Wet,1
2005-03-08,2005,March,8,20.0,35.0,27.8,89.0,15.0,6.5,4.0,90.0,3.0,SE,Wet,0
2005-03-09,2005,March,9,20.0,35.0,27.3,86.0,1.4,7.6,4.0,0.0,2.0,N,Wet,1
2005-03-10,2005,March,10,20.0,35.0,25.4,89.0,13.0,6.2,4.0,0.0,0.0,N,Wet,1
2005-03-11,2005,March,11,20.0,35.0,25.9,89.0,1.0,6.1,4.0,0.0,0.0,SE,Wet,1
2005-03-12,2005,March,12,20.0,35.0,26.7,88.0,7.1,6.2,3.0,180.0,0.0,SE,Wet,1
2005-03-13,2005,March,13,20.0,35.0,26.5,89.0,1.0,4.9,4.0,0.0,2.0,N,Wet,1
2005-03-14,2005,March,14,20.0,35.0,25.0,95.0,3.0,2.1,0.0,0.0,0.0,N,Wet,0
2005-03-15,2005,March,15,20.0,35.0,26.7,91.0,3.0,4.2,3.0,135.0,0.0,SE,Wet,0
2005-03-16,2005,March,16,20.0,33.8,26.7,92.0,23.0,4.0,3.0,180.0,2.0,SE,Wet,1
2005-03-17,2005,March,17,20.0,33.0,27.5,89.0,18.0,4.7,3.0,135.0,2.0,SE,Wet,0
2005-03-18,2005,March,18,20.0,33.8,27.3,88.0,7.2,5.8,4.0,0.0,3.0,SE,Wet,1
2005-03-19,2005,March,19,20.0,33.8,27.5,86.0,33.6,4.5,3.0,0.0,0.0,N,Wet,1
2005-03-20,2005,March,20,20.0,34.0,28.3,89.0,6.5,0.5,3.0,0.0,0.0,SE,Wet,1
2005-03-21,2005,March,21,19.0,33.8,27.3,88.0,0.1,2.8,3.0,0.0,0.0,N,Wet,1
2005-03-22,2005,March,22,19.0,33.8,25.3,96.0,3.0,1.4,4.0,0.0,0.0,SE,Wet,1
2005-03-23,2005,March,23,19.0,33.8,26.5,90.0,0.6,3.1,3.0,135.0,0.0,SE,Wet,1
2005-03-24,2005,March,24,19.0,33.8,26.7,91.0,1.6,3.8,4.0,0.0,2.0,SE,Wet,1
2005-03-25,2005,March,25,19.0,33.8,26.0,91.0,5.0,2.5,3.0,0.0,0.0,N,Wet,0
2005-03-26,2005,March,26,19.0,33.8,25.0,95.0,13.0,1.5,3.0,180.0,0.0,SE,Wet,0
2005-03-27,2005,March,27,19.0,33.8,25.5,92.0,28.0,5.5,3.0,0.0,2.0,N,Wet,0
2005-03-28,2005,March,28,19.0,32.4,25.2,95.0,28.0,1.3,3.0,0.0,0.0,SE,Wet,0
2005-03-29,2005,March,29,19.0,32.8,26.7,92.0,2.0,4.1,3.0,180.0,0.0,SE,Wet,0
2005-03-30,2005,March,30,19.0,32.8,26.5,92.0,4.0,0.0,3.0,0.0,0.0,N,Wet,0
2005-03-31,2005,March,31,19.0,32.8,25.4,96.0,0.0,4.8,3.0,180.0,2.0,S,Wet,0
2005-04-01,2005,April,1,19.0,32.8,26.6,93.0,8.0,1.7,3.0,0.0,0.0,SE,Dry,0
2005-04-02,2005,April,2,19.0,32.8,26.3,94.0,21.0,5.3,3.0,0.0,0.0,N,Dry,0
2005-04-03,2005,April,3,19.0,33.4,26.3,94.0,12.0,3.7,3.0,0.0,0.0,N,Dry,0
2005-04-04,2005,April,4,19.0,33.6,28.4,87.0,7.0,7.1,0.0,0.0,0.0,N,Dry,0
