Date,Year,Month,Day,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
2009-01-01,2009,1,1,22,30.6,25.1,91,2,2.2,4,0,0,N 
2009-01-02,2009,1,2,22,31.2,25.3,91,18,0,2,0,0,NW
2009-01-03,2009,1,3,22,30.6,24.2,94,8888,0,2,0,0,S 
2009-01-04,2009,1,4,23,30.6,25.8,87,52,0,0,0,0,N 
2009-01-05,2009,1,5,23,30.2,25,95,4,0,3,0,0,S 
2009-01-06,2009,1,6,22,32,25.9,84,14,1.9,0,0,0,N 
2009-01-07,2009,1,7,22,32,25.2,88,8888,0.8,3,360,2,SE
2009-01-08,2009,1,8,21,33.4,25.6,85,8888,3.2,3,135,2,E 
2009-01-09,2009,1,9,21,33,25.7,84,8888,0,4,0,0,SE
2009-01-10,2009,1,10,21,33.2,24.5,86,8888,0,5,0,0,SE
2009-01-11,2009,1,11,21,31,24.9,86,8888,0,4,180,2,S 
2009-01-12,2009,1,12,23,29.8,25.5,90,8888,0,4,180,2,S 
2009-01-13,2009,1,13,21,30,24.5,89,12,0,3,0,0,N 
2009-01-14,2009,1,14,22,29.8,25.1,89,8888,0,5,180,3,SE
2009-01-15,2009,1,15,22,29.8,23.7,94,1,0,0,0,0,N 
2009-01-16,2009,1,16,21,30.4,24.8,84,8888,0.1,3,0,0,S 
2009-01-17,2009,1,17,21,30.6,25.4,86,8888,2.6,5,180,3,SE
2009-01-18,2009,1,18,22,31.2,26.2,88,8888,0,4,180,2,S 
2009-01-19,2009,1,19,22,31.2,26.2,89,58,0,3,180,2,SE
2009-01-20,2009,1,20,23,31.2,26.8,86,5,1.2,3,0,0,S 
2009-01-21,2009,1,21,23,30.6,26,88,8888,0,4,0,0,N 
2009-01-22,2009,1,22,22,30.6,25.5,87,8888,0.8,3,0,0,SW
2009-01-23,2009,1,23,22,30.6,25.1,82,3,3.7,3,360,2,N 
2009-01-24,2009,1,24,22,31.2,25.1,92,8888,1.9,2,180,2,SE
2009-01-25,2009,1,25,22,32,26.4,86,38,1.4,2,0,0,N 
2009-01-26,2009,1,26,22,32.4,27.1,87,8888,3.4,2,135,4,S 
2009-01-27,2009,1,27,23,31.6,26.4,84,8888,3.4,3,90,3,E 
2009-01-28,2009,1,28,22,31,25.6,84,8888,4,3,180,3,S 
2009-01-29,2009,1,29,22,31.2,25.1,90,0,2.3,3,0,0,SE
2009-01-30,2009,1,30,23,31.6,26.1,88,8888,3.3,3,0,0,NE
2009-01-31,2009,1,31,23,30.2,25.2,91,25,3.5,3,0,0,N 
2009-02-01,2009,2,1,22,31,25.4,85,85,1.9,3,0,0,SE
2009-02-02,2009,2,2,21,31.4,25.2,83,8888,4.1,3,90,2,N 
2009-02-03,2009,2,3,21,31.8,25.9,84,8888,4.7,3,0,0,SE
2009-02-04,2009,2,4,21,31,26.8,80,8888,2.8,3,270,1,SW
2009-02-05,2009,2,5,22,31.8,25.5,86,0,3.8,4,360,2,NW
2009-02-06,2009,2,6,22,32.2,25.2,88,19,1.1,2,0,0,SE
2009-02-07,2009,2,7,23,31,25.3,88,8888,4.8,3,0,0,NE
2009-02-08,2009,2,8,22,31.4,26.1,86,35,4.7,0,0,0,N 
2009-02-09,2009,2,9,21,33.6,25.8,83,8888,7.5,4,180,3,N 
2009-02-10,2009,2,10,21,30,25.8,83,1,6.1,3,135,2,N 
2009-02-11,2009,2,11,23,33.2,26.6,82,8888,6.1,3,0,0,N 
2009-02-12,2009,2,12,19,32,24.7,77,8888,6.7,2,0,0,S 
2009-02-13,2009,2,13,22,32.2,25.6,82,8888,7.1,3,0,0,N 
2009-02-14,2009,2,14,20,33.2,26,82,8888,5.6,4,360,2,N 
2009-02-15,2009,2,15,21,31.2,25.1,84,8888,6.5,6,360,3,E 
2009-02-16,2009,2,16,22,31.4,25.7,85,8888,6,3,0,0,N 
2009-02-17,2009,2,17,20,33.2,25.5,77,8888,7,3,360,2,E 
2009-02-18,2009,2,18,20,31,25.6,83,8888,5.8,3,90,2,N 
2009-02-19,2009,2,19,22,32.4,26.8,81,8888,7,4,0,0,S 
2009-02-20,2009,2,20,23,31.8,26.6,82,8888,5.3,4,360,2,N 
2009-02-21,2009,2,21,23,31.8,26.5,84,8888,4.1,4,360,2,NW
2009-02-22,2009,2,22,23,31.4,26,88,8888,1.1,2,0,0,S 
2009-02-23,2009,2,23,21,33.4,26.3,82,9,6.5,2,0,0,S 
2009-02-24,2009,2,24,21,33.4,25.8,80,8888,5.8,4,360,2,N 
2009-02-25,2009,2,25,22,33,26.1,83,8888,3.3,3,0,0,N 
2009-02-26,2009,2,26,22,33.2,26.8,82,9,6.1,3,360,2,SE
2009-02-27,2009,2,27,22,30,25.1,89,8888,0,2,0,0,SE
2009-02-28,2009,2,28,22,33.8,26.5,81,12,6.1,2,0,0,SE
2009-03-01,2009,3,1,22,32.2,26.5,80,8888,3.4,5,180,2,S 
2009-03-02,2009,3,2,23,31.8,25.8,88,8888,1.9,4,0,0,N 
