Date,Year,Month,Day,RR_original,RR_estimation_method,RR_imputed,imputation_method,is_outlier,RR_log,RR_sqrt,RR_boxcox
2005-01-01,2005,1,1,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-02,2005,1,2,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-01-03,2005,1,3,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-01-04,2005,1,4,2.0,nan,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-05,2005,1,5,8888.0,previous_day,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-06,2005,1,6,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-07,2005,1,7,4.0,nan,4.0,original,False,1.6094379124341003,2.0,1.4270131653984206
2005-01-08,2005,1,8,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-01-09,2005,1,9,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-01-10,2005,1,10,8888.0,monthly_median,1.9,original,False,1.0647107369924282,1.378404875209022,0.6504925273605113
2005-01-11,2005,1,11,8888.0,monthly_median,1.9,original,False,1.0647107369924282,1.378404875209022,0.6504925273605113
2005-01-12,2005,1,12,8888.0,monthly_median,1.9,original,False,1.0647107369924282,1.378404875209022,0.6504925273605113
2005-01-13,2005,1,13,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-14,2005,1,14,8888.0,next_day,4.0,original,False,1.6094379124341003,2.0,1.4270131653984206
2005-01-15,2005,1,15,4.0,nan,4.0,original,False,1.6094379124341003,2.0,1.4270131653984206
2005-01-16,2005,1,16,2.0,nan,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-17,2005,1,17,15.0,nan,15.0,original,False,2.772588722239781,3.872983346207417,2.866344130829624
2005-01-18,2005,1,18,56.0,nan,56.0,original,True,4.04305126783455,7.483314773547883,4.381697436002453
2005-01-19,2005,1,19,6.0,nan,6.0,original,False,1.9459101490553132,2.449489742783178,1.860168000282783
2005-01-20,2005,1,20,8888.0,previous_day,6.0,original,False,1.9459101490553132,2.449489742783178,1.860168000282783
2005-01-21,2005,1,21,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-22,2005,1,22,8888.0,monthly_median,1.9,original,False,1.0647107369924282,1.378404875209022,0.6504925273605113
2005-01-23,2005,1,23,8888.0,monthly_median,1.9,original,False,1.0647107369924282,1.378404875209022,0.6504925273605113
2005-01-24,2005,1,24,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-25,2005,1,25,6.0,nan,6.0,original,False,1.9459101490553132,2.449489742783178,1.860168000282783
2005-01-26,2005,1,26,8888.0,previous_day,6.0,original,False,1.9459101490553132,2.449489742783178,1.860168000282783
2005-01-27,2005,1,27,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-28,2005,1,28,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-01-29,2005,1,29,10.0,nan,10.0,original,False,2.3978952727983707,3.1622776601683795,2.4163739697718967
2005-01-30,2005,1,30,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-01-31,2005,1,31,8888.0,monthly_median,1.9,original,False,1.0647107369924282,1.378404875209022,0.6504925273605113
2005-02-01,2005,2,1,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-02,2005,2,2,8888.0,next_day,43.0,original,True,3.784189633918261,6.557438524302,4.071144675059758
2005-02-03,2005,2,3,43.0,nan,43.0,original,True,3.784189633918261,6.557438524302,4.071144675059758
2005-02-04,2005,2,4,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-02-05,2005,2,5,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-06,2005,2,6,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-02-07,2005,2,7,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-02-08,2005,2,8,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-02-09,2005,2,9,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-10,2005,2,10,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-02-11,2005,2,11,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-12,2005,2,12,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-13,2005,2,13,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-14,2005,2,14,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-15,2005,2,15,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-16,2005,2,16,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-02-17,2005,2,17,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-02-18,2005,2,18,7.0,nan,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-02-19,2005,2,19,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-02-20,2005,2,20,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-21,2005,2,21,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-22,2005,2,22,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-23,2005,2,23,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-24,2005,2,24,8888.0,monthly_median,0.3,original,False,0.26236426446749106,0.5477225575051661,-1.174343513577545
2005-02-25,2005,2,25,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-02-26,2005,2,26,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-02-27,2005,2,27,2.0,nan,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-02-28,2005,2,28,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-03-01,2005,3,1,8888.0,monthly_median,1.5,original,False,0.9162907318741551,1.224744871391589,0.4089011028547653
2005-03-02,2005,3,2,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-03-03,2005,3,3,8888.0,similar_moderate_conditions,2.0,original,False,1.0986122886681096,1.4142135623730951,0.7032288877600629
2005-03-04,2005,3,4,8888.0,similar_wet_conditions,7.0,original,False,2.0794415416798357,2.6457513110645907,2.0267705782910954
2005-03-05,2005,3,5,8888.0,monthly_median,1.5,original,False,0.9162907318741551,1.224744871391589,0.4089011028547653
2005-03-06,2005,3,6,8888.0,monthly_median,1.5,original,False,0.9162907318741551,1.224744871391589,0.4089011028547653
2005-03-07,2005,3,7,8888.0,next_day,15.0,original,False,2.772588722239781,3.872983346207417,2.866344130829624
