Date,Year,Month,Day,SWRad,StDev,Max,Q,S,data_quality,source_priority
2006-11-17,2006,11,17,250.13,358.01,1105.66,2,5,high,5
2006-11-18,2006,11,18,226.62,331.59,1098.94,2,5,high,5
2006-11-19,2006,11,19,251.29,346.0,1077.89,2,5,high,5
2006-11-20,2006,11,20,168.93,294.11,1292.48,2,5,high,5
2006-11-21,2006,11,21,95.26,163.48,622.72,2,5,high,5
2006-11-22,2006,11,22,208.17,290.26,1032.64,2,5,high,5
2006-11-23,2006,11,23,173.87,288.74,1226.18,2,5,high,5
2006-11-24,2006,11,24,261.19,354.47,991.42,2,5,high,5
2006-11-25,2006,11,25,218.69,317.22,1191.23,2,5,high,5
2006-11-26,2006,11,26,159.64,242.01,1102.98,2,5,high,5
2006-11-27,2006,11,27,169.51,306.2,1108.8,2,5,high,5
2006-11-28,2006,11,28,269.49,353.7,990.98,2,5,high,5
2006-11-29,2006,11,29,269.27,356.46,1015.17,2,5,high,5
2006-11-30,2006,11,30,80.15,182.0,1013.82,2,5,high,5
2006-12-01,2006,12,1,243.37,343.35,1110.59,2,5,high,5
2006-12-02,2006,12,2,169.46,289.03,1178.69,2,5,high,5
2006-12-03,2006,12,3,200.67,304.7,1080.58,2,5,high,5
2006-12-04,2006,12,4,117.05,161.17,566.72,2,5,high,5
2006-12-05,2006,12,5,220.4,316.27,1047.42,2,5,high,5
2006-12-06,2006,12,6,241.42,337.32,1048.32,2,5,high,5
2006-12-07,2006,12,7,221.05,289.55,1051.9,2,5,high,5
2006-12-08,2006,12,8,231.55,322.94,995.9,2,5,high,5
2006-12-09,2006,12,9,111.84,155.43,678.72,2,5,high,5
2006-12-10,2006,12,10,202.59,289.22,1337.28,2,5,high,5
2006-12-11,2006,12,11,231.86,339.03,1086.85,2,5,high,5
2006-12-12,2006,12,12,231.06,322.06,1154.5,2,5,high,5
2006-12-13,2006,12,13,256.74,356.68,1046.08,2,5,high,5
2006-12-14,2006,12,14,258.59,349.92,971.26,2,5,high,5
2006-12-15,2006,12,15,233.9,348.49,1199.3,2,5,high,5
2006-12-16,2006,12,16,132.95,247.31,1249.02,2,5,high,5
2006-12-17,2006,12,17,256.54,339.36,973.5,2,5,high,5
2006-12-18,2006,12,18,223.16,309.67,1082.37,2,5,high,5
2006-12-19,2006,12,19,137.26,256.12,1130.3,2,5,high,5
2006-12-20,2006,12,20,29.12,49.62,242.82,2,5,high,5
2006-12-21,2006,12,21,237.34,343.74,1040.7,2,5,high,5
2006-12-22,2006,12,22,10.35,20.82,92.29,2,5,high,5
2006-12-23,2006,12,23,182.61,263.63,1107.46,2,5,high,5
2006-12-24,2006,12,24,85.77,113.24,437.7,2,5,high,5
2006-12-25,2006,12,25,66.05,104.98,515.2,2,5,high,5
2006-12-26,2006,12,26,178.5,277.32,1021.89,2,5,high,5
2006-12-27,2006,12,27,171.15,253.6,1166.59,2,5,high,5
2006-12-28,2006,12,28,133.59,205.58,1118.21,2,5,high,5
2006-12-29,2006,12,29,251.45,336.87,1066.69,2,5,high,5
2006-12-30,2006,12,30,141.3,207.66,997.25,2,5,high,5
2006-12-31,2006,12,31,252.98,339.13,986.5,2,5,high,5
2007-01-01,2007,1,1,249.23,339.62,1044.74,2,5,high,5
2007-01-02,2007,1,2,196.95,288.36,1107.46,2,5,high,5
2007-01-03,2007,1,3,210.72,289.75,1064.45,2,5,high,5
2007-01-04,2007,1,4,240.84,329.48,1130.3,2,5,high,5
2007-01-05,2007,1,5,256.25,341.74,1029.06,2,5,high,5
2007-01-06,2007,1,6,256.04,341.81,1027.26,2,5,high,5
2007-01-07,2007,1,7,264.96,349.12,1045.18,2,5,high,5
2007-01-08,2007,1,8,261.44,350.16,1004.86,2,5,high,5
2007-01-09,2007,1,9,155.36,221.11,761.6,2,5,high,5
2007-01-10,2007,1,10,271.8,356.47,1085.06,2,5,high,5
2007-01-11,2007,1,11,270.13,347.31,1122.69,2,5,high,5
2007-01-12,2007,1,12,282.41,367.94,981.12,2,5,high,5
2007-01-13,2007,1,13,194.39,304.09,1237.38,2,5,high,5
2007-01-14,2007,1,14,106.19,192.78,953.34,2,5,high,5
2007-01-15,2007,1,15,249.2,347.88,1279.04,2,5,high,5
2007-01-16,2007,1,16,274.01,360.85,1041.15,2,5,high,5
2007-01-17,2007,1,17,241.64,349.84,1185.41,2,5,high,5
2007-01-18,2007,1,18,213.77,317.49,1320.26,2,5,high,5
2007-01-19,2007,1,19,139.4,243.14,1089.54,2,5,high,5
2007-01-20,2007,1,20,196.79,316.94,1236.48,2,5,high,5
2007-01-21,2007,1,21,47.83,70.78,407.68,2,5,high,5
2007-01-22,2007,1,22,186.64,269.36,1266.5,2,5,high,5
2007-01-23,2007,1,23,94.72,130.72,512.51,2,5,high,5
2007-01-24,2007,1,24,137.93,192.81,996.35,2,5,high,5
2007-01-25,2007,1,25,266.8,360.56,1208.26,2,5,high,5
2007-01-26,2007,1,26,266.74,362.97,1074.3,2,5,high,5
2007-01-27,2007,1,27,137.74,174.71,623.17,2,5,high,5
2007-01-28,2007,1,28,255.6,348.24,1059.07,2,5,high,5
2007-01-29,2007,1,29,254.53,348.84,982.46,2,5,high,5
