Date,Year,Month,Day,TEMP_10.0m,TEMP_13.0m,TEMP_20.0m,TEMP_40.0m,TEMP_60.0m,TEMP_80.0m,TEMP_100.0m,TEMP_120.0m,TEMP_140.0m,TEMP_180.0m,TEMP_300.0m,TEMP_500.0m,is_outlier_TEMP_10_0m,is_outlier_TEMP_13_0m,is_outlier_TEMP_40_0m,is_outlier_TEMP_60_0m,is_outlier_TEMP_80_0m,is_outlier_TEMP_120_0m,is_outlier_TEMP_140_0m,is_outlier_TEMP_180_0m,is_outlier_TEMP_300_0m,is_outlier_TEMP_500_0m
2006-11-16,2006,11,16,29.28,29.27,29.25,28.09,23.99,18.97,16.25,14.89,14.29,13.38,11.73,10.21,False,False,False,False,False,False,False,False,False,False
2006-11-17,2006,11,17,29.27,29.25,29.25,28.38,24.13,19.03,16.29,14.94,14.37,13.5,11.72,10.09,False,False,False,False,False,False,False,False,False,False
2006-11-18,2006,11,18,29.2,29.2,29.22,29.21,25.32,19.5,16.62,15.14,14.45,13.54,11.84,10.15,False,False,False,False,False,False,False,False,False,False
2006-11-19,2006,11,19,29.14,29.16,29.21,29.28,27.27,20.36,16.72,15.24,14.58,13.68,11.75,10.24,False,False,False,False,False,False,False,False,False,False
2006-11-20,2006,11,20,29.11,29.14,29.15,29.12,26.28,20.56,17.04,15.25,14.5,13.74,11.83,10.25,False,False,False,False,False,False,False,False,False,False
2006-11-21,2006,11,21,29.15,29.16,29.08,28.83,25.81,20.9,17.92,15.82,14.68,13.84,11.85,10.21,False,False,False,False,False,False,False,False,False,False
2006-11-22,2006,11,22,29.06,29.05,29.05,28.59,27.52,21.57,18.28,15.55,14.38,13.55,11.75,10.19,False,False,False,False,False,False,False,False,False,False
2006-11-23,2006,11,23,28.98,28.97,29.0,28.66,25.38,20.88,17.58,15.27,14.41,13.48,11.88,10.12,False,False,False,False,False,False,False,False,False,False
2006-11-24,2006,11,24,29.01,29.01,29.03,28.52,23.66,19.64,17.13,15.4,14.46,13.49,11.76,10.22,False,False,False,False,False,False,False,False,False,False
2006-11-25,2006,11,25,29.16,29.17,29.12,28.44,23.75,20.45,17.81,16.14,15.03,13.51,11.95,10.29,False,False,False,False,False,False,False,False,False,False
2006-11-26,2006,11,26,29.22,29.25,29.28,28.31,25.06,21.25,17.64,15.8,14.78,13.55,12.08,10.23,False,False,False,False,False,False,False,False,False,False
2006-11-27,2006,11,27,29.09,29.07,29.06,28.28,24.18,20.91,17.81,15.84,14.79,13.58,11.79,10.21,False,False,False,False,False,False,False,False,False,False
2006-11-28,2006,11,28,29.13,29.11,29.09,28.35,23.45,20.15,17.26,15.6,14.47,13.53,11.9,10.28,False,False,False,False,False,False,False,False,False,False
2006-11-29,2006,11,29,29.29,29.27,29.21,28.13,,20.09,17.06,15.46,14.62,13.65,12.08,10.3,False,False,False,True,False,False,False,False,False,False
2006-11-30,2006,11,30,29.275,29.23,29.25,28.51,23.38,20.33,17.45,15.46,14.6,13.6,12.07,10.32,False,False,False,False,False,False,False,False,False,False
2006-12-01,2006,12,1,29.26,29.31,29.25,28.62,23.72,19.59,16.7,15.32,14.55,13.48,11.92,10.22,False,False,False,False,False,False,False,False,False,False
2006-12-02,2006,12,2,29.21,29.2,29.06,28.33,23.61,19.76,17.0,15.61,14.65,13.37,11.8,10.27,False,False,False,False,False,False,False,False,False,False
2006-12-03,2006,12,3,29.14,29.14,29.07,27.8,23.47,19.77,17.32,15.81,14.67,13.47,11.92,10.29,False,False,False,False,False,False,False,False,False,False
2006-12-04,2006,12,4,29.08,29.08,29.09,28.68,24.06,19.79,17.22,15.78,14.64,13.75,12.13,10.33,False,False,False,False,False,False,False,False,False,False
