Date,year,month,day,SST,Prec,RH,WSPD,SWRad
2006-11-16,2006,11,16,29.31,0.18,80.5,3.6,
2006-11-17,2006,11,17,29.52,0.02,79.7,1.5,250.13
2006-11-18,2006,11,18,29.34,0.51,84.2,3.1,226.62
2006-11-19,2006,11,19,29.36,0.01,80.5,3.0,251.29
2006-11-20,2006,11,20,29.05,1.49,84.2,1.3,168.93
2006-11-21,2006,11,21,29.01,0.39,84.2,4.7,95.26
2006-11-22,2006,11,22,29.07,0.0,79.5,3.9,208.17
2006-11-23,2006,11,23,28.99,0.76,82.0,2.6,173.87
2006-11-24,2006,11,24,29.28,0.15,79.7,2.0,261.19
2006-11-25,2006,11,25,29.38,0.02,79.7,1.7,218.69
2006-11-26,2006,11,26,29.18,0.2,84.0,1.4,159.64
2006-11-27,2006,11,27,29.11,0.61,,,169.51
2006-11-28,2006,11,28,29.26,0.0,,,269.49
2006-11-29,2006,11,29,29.36,0.04,,,269.27
2006-11-30,2006,11,30,29.18,1.27,,,80.15
2006-12-01,2006,12,1,29.36,0.0,,,243.37
2006-12-02,2006,12,2,29.21,0.32,,,169.46
2006-12-03,2006,12,3,29.2,0.02,,,200.67
2006-12-04,2006,12,4,29.07,-0.01,,,117.05
2006-12-05,2006,12,5,29.04,-0.01,,,220.4
2006-12-06,2006,12,6,29.09,-0.01,,,241.42
2006-12-07,2006,12,7,29.02,0.0,,,221.05
2006-12-08,2006,12,8,29.44,0.0,,,231.55
2006-12-09,2006,12,9,29.11,0.36,,,111.84
2006-12-10,2006,12,10,29.23,0.0,,,202.59
2006-12-11,2006,12,11,29.13,0.0,,,231.86
2006-12-12,2006,12,12,29.4,0.74,,,231.06
2006-12-13,2006,12,13,29.3,0.0,,,256.74
2006-12-14,2006,12,14,29.47,0.04,,,258.59
2006-12-15,2006,12,15,29.48,0.78,,,233.9
2006-12-16,2006,12,16,29.08,0.22,,,132.95
2006-12-17,2006,12,17,29.17,0.0,,,256.54
2006-12-18,2006,12,18,29.57,0.15,,,223.16
2006-12-19,2006,12,19,29.45,,,,137.26
2006-12-20,2006,12,20,29.06,0.66,,,29.12
2006-12-21,2006,12,21,29.08,1.96,,,237.34
2006-12-22,2006,12,22,28.59,,,,10.35
2006-12-23,2006,12,23,28.51,0.0,,,182.61
2006-12-24,2006,12,24,28.92,0.35,,,85.77
2006-12-25,2006,12,25,29.01,1.83,,,66.05
2006-12-26,2006,12,26,29.05,-0.01,,,178.5
2006-12-27,2006,12,27,28.97,-0.01,,,171.15
2006-12-28,2006,12,28,29.11,0.0,,,133.59
2006-12-29,2006,12,29,29.08,-0.01,,,251.45
2006-12-30,2006,12,30,29.05,0.02,,,141.3
2006-12-31,2006,12,31,29.07,-0.02,,,252.98
2007-01-01,2007,1,1,29.07,0.03,,,249.23
2007-01-02,2007,1,2,28.95,-0.02,,,196.95
2007-01-03,2007,1,3,28.82,-0.02,,,210.72
2007-01-04,2007,1,4,28.72,-0.03,,,240.84
2007-01-05,2007,1,5,28.62,-0.02,,,256.25
2007-01-06,2007,1,6,28.65,-0.01,,,256.04
2007-01-07,2007,1,7,28.88,-0.01,,,264.96
2007-01-08,2007,1,8,29.05,0.0,,,261.44
2007-01-09,2007,1,9,28.9,0.01,,,155.36
2007-01-10,2007,1,10,29.01,0.0,,,271.8
2007-01-11,2007,1,11,29.13,0.04,,,270.13
2007-01-12,2007,1,12,29.2,0.0,,,282.41
2007-01-13,2007,1,13,29.04,-0.02,,,194.39
2007-01-14,2007,1,14,28.86,0.69,,,106.19
2007-01-15,2007,1,15,28.88,0.15,,,249.2
2007-01-16,2007,1,16,28.98,0.0,,,274.01
2007-01-17,2007,1,17,29.06,,,,241.64
2007-01-18,2007,1,18,29.22,0.46,,,213.77
2007-01-19,2007,1,19,29.01,0.45,,,139.4
2007-01-20,2007,1,20,28.97,0.0,,,196.79
2007-01-21,2007,1,21,28.89,0.01,,,47.83
2007-01-22,2007,1,22,28.77,,,,186.64
2007-01-23,2007,1,23,28.64,0.03,,,94.72
2007-01-24,2007,1,24,28.72,0.11,,,137.93
2007-01-25,2007,1,25,28.9,0.0,,,266.8
2007-01-26,2007,1,26,29.1,0.0,,,266.74
2007-01-27,2007,1,27,28.96,0.0,,,137.74
2007-01-28,2007,1,28,28.88,-0.01,,,255.6
2007-01-29,2007,1,29,28.82,-0.01,,,254.53
2007-01-30,2007,1,30,28.75,0.48,,,78.95
2007-01-31,2007,1,31,28.79,-0.01,,,202.88
2007-02-01,2007,2,1,28.77,-0.02,,,274.7
2007-02-02,2007,2,2,28.63,-0.01,,,218.47
2007-02-03,2007,2,3,28.65,-0.01,,,245.39
2007-02-04,2007,2,4,28.63,-0.01,,,191.39
2007-02-05,2007,2,5,28.63,-0.01,,,284.25
2007-02-06,2007,2,6,28.66,-0.01,,,281.93
2007-02-07,2007,2,7,28.73,-0.01,,,296.62
2007-02-08,2007,2,8,29.03,0.0,,,291.16
2007-02-09,2007,2,9,28.91,-0.01,,,294.43
2007-02-10,2007,2,10,28.87,-0.01,,,284.97
2007-02-11,2007,2,11,28.94,0.06,,,278.97
2007-02-12,2007,2,12,28.96,-0.01,,,268.03
2007-02-13,2007,2,13,29.23,-0.01,,,295.91
2007-02-14,2007,2,14,29.36,-0.01,,,258.55
2007-02-15,2007,2,15,29.39,-0.01,,,275.48
2007-02-16,2007,2,16,29.34,-0.01,,,292.2
2007-02-17,2007,2,17,29.29,-0.01,,,284.03
2007-02-18,2007,2,18,29.35,-0.01,,,232.62
2007-02-19,2007,2,19,29.26,-0.01,,,147.51
2007-02-20,2007,2,20,29.19,-0.01,,,297.72
2007-02-21,2007,2,21,28.94,-0.01,,,270.56
2007-02-22,2007,2,22,28.79,0.04,,,234.42
2007-02-23,2007,2,23,28.89,0.0,,,294.13
2007-02-24,2007,2,24,29.3,0.96,,,308.9
2007-02-25,2007,2,25,29.37,0.0,,,301.25
2007-02-26,2007,2,26,29.45,0.0,,,292.93
2007-02-27,2007,2,27,29.18,0.13,,,269.01
2007-02-28,2007,2,28,28.85,0.0,,,216.72
2007-03-01,2007,3,1,28.82,0.0,,,297.59
2007-03-02,2007,3,2,29.45,0.0,,,297.17
2007-03-03,2007,3,3,29.15,0.0,,,253.28
2007-03-04,2007,3,4,28.91,0.0,,,226.41
2007-03-05,2007,3,5,28.95,0.0,,,274.97
2007-03-06,2007,3,6,28.87,0.0,,,270.2
2007-03-07,2007,3,7,28.91,0.0,,,279.17
2007-03-08,2007,3,8,28.97,0.24,,,196.33
2007-03-09,2007,3,9,29.24,0.0,,,290.48
2007-03-10,2007,3,10,29.72,0.0,,,264.31
2007-03-11,2007,3,11,29.66,0.24,,,222.09
2007-03-12,2007,3,12,29.84,0.02,,,237.08
2007-03-13,2007,3,13,29.59,0.11,,,205.28
2007-03-14,2007,3,14,30.04,0.33,,,256.62
2007-03-15,2007,3,15,30.01,0.74,,,271.05
2007-03-16,2007,3,16,30.04,0.04,,,286.08
2007-03-17,2007,3,17,29.85,0.0,,,235.4
2007-03-18,2007,3,18,29.86,0.0,,,279.73
2007-03-19,2007,3,19,29.83,0.0,,,274.59
2007-03-20,2007,3,20,29.85,0.0,,,313.7
2007-03-21,2007,3,21,29.9,0.0,,,299.24
2007-03-22,2007,3,22,29.86,0.0,,,236.36
2007-03-23,2007,3,23,30.05,0.0,,,306.3
2007-03-24,2007,3,24,29.92,-0.02,,,329.17
2007-03-25,2007,3,25,30.0,0.0,,,316.73
2007-03-26,2007,3,26,30.31,0.0,,,310.44
2007-03-27,2007,3,27,30.43,0.0,,,312.07
2007-03-28,2007,3,28,30.44,0.0,,,313.13
2007-03-29,2007,3,29,30.3,-0.01,,,317.73
2007-03-30,2007,3,30,30.54,0.0,,,299.77
2007-03-31,2007,3,31,30.61,0.0,,,302.86
2007-04-01,2007,4,1,30.68,0.0,,,240.13
2007-04-02,2007,4,2,30.87,0.0,,,292.04
2007-04-03,2007,4,3,30.5,0.08,,,125.37
2007-04-04,2007,4,4,30.42,0.59,,,268.09
2007-04-05,2007,4,5,30.22,0.72,,,121.58
2007-04-06,2007,4,6,29.96,1.14,,,162.01
2007-04-07,2007,4,7,29.87,0.37,,,106.41
2007-04-08,2007,4,8,30.19,0.0,,,302.67
2007-04-09,2007,4,9,30.19,0.0,,,278.55
2007-04-10,2007,4,10,30.27,0.0,,,296.9
