Date,Year,Month,Day,SWRad,StDev,Max
2006-11-17,2006,11,17,1105.66,2,5
2006-11-18,2006,11,18,1098.94,2,5
2006-11-19,2006,11,19,1077.89,2,5
2006-11-20,2006,11,20,1292.48,2,5
2006-11-21,2006,11,21,622.72,2,5
2006-11-22,2006,11,22,1032.64,2,5
2006-11-23,2006,11,23,1226.18,2,5
2006-11-24,2006,11,24,991.42,2,5
2006-11-25,2006,11,25,1191.23,2,5
2006-11-26,2006,11,26,1102.98,2,5
2006-11-27,2006,11,27,1108.8,2,5
2006-11-28,2006,11,28,990.98,2,5
2006-11-29,2006,11,29,1015.17,2,5
2006-11-30,2006,11,30,1013.82,2,5
2006-12-01,2006,12,1,1110.59,2,5
2006-12-02,2006,12,2,1178.69,2,5
2006-12-03,2006,12,3,1080.58,2,5
2006-12-04,2006,12,4,566.72,2,5
2006-12-05,2006,12,5,1047.42,2,5
2006-12-06,2006,12,6,1048.32,2,5
2006-12-07,2006,12,7,1051.9,2,5
2006-12-08,2006,12,8,995.9,2,5
2006-12-09,2006,12,9,678.72,2,5
2006-12-10,2006,12,10,1337.28,2,5
2006-12-11,2006,12,11,1086.85,2,5
2006-12-12,2006,12,12,1154.5,2,5
2006-12-13,2006,12,13,1046.08,2,5
2006-12-14,2006,12,14,971.26,2,5
2006-12-15,2006,12,15,1199.3,2,5
2006-12-16,2006,12,16,1249.02,2,5
2006-12-17,2006,12,17,973.5,2,5
2006-12-18,2006,12,18,1082.37,2,5
2006-12-19,2006,12,19,1130.3,2,5
2006-12-20,2006,12,20,242.82,2,5
2006-12-21,2006,12,21,1040.7,2,5
2006-12-22,2006,12,22,92.29,2,5
2006-12-23,2006,12,23,1107.46,2,5
2006-12-24,2006,12,24,437.7,2,5
2006-12-25,2006,12,25,515.2,2,5
2006-12-26,2006,12,26,1021.89,2,5
2006-12-27,2006,12,27,1166.59,2,5
2006-12-28,2006,12,28,1118.21,2,5
2006-12-29,2006,12,29,1066.69,2,5
2006-12-30,2006,12,30,997.25,2,5
2006-12-31,2006,12,31,986.5,2,5
2007-01-01,2007,1,1,1044.74,2,5
2007-01-02,2007,1,2,1107.46,2,5
2007-01-03,2007,1,3,1064.45,2,5
2007-01-04,2007,1,4,1130.3,2,5
2007-01-05,2007,1,5,1029.06,2,5
2007-01-06,2007,1,6,1027.26,2,5
2007-01-07,2007,1,7,1045.18,2,5
2007-01-08,2007,1,8,1004.86,2,5
2007-01-09,2007,1,9,761.6,2,5
2007-01-10,2007,1,10,1085.06,2,5
2007-01-11,2007,1,11,1122.69,2,5
2007-01-12,2007,1,12,981.12,2,5
2007-01-13,2007,1,13,1237.38,2,5
2007-01-14,2007,1,14,953.34,2,5
2007-01-15,2007,1,15,1279.04,2,5
2007-01-16,2007,1,16,1041.15,2,5
2007-01-17,2007,1,17,1185.41,2,5
2007-01-18,2007,1,18,1320.26,2,5
2007-01-19,2007,1,19,1089.54,2,5
2007-01-20,2007,1,20,1236.48,2,5
2007-01-21,2007,1,21,407.68,2,5
2007-01-22,2007,1,22,1266.5,2,5
2007-01-23,2007,1,23,512.51,2,5
2007-01-24,2007,1,24,996.35,2,5
2007-01-25,2007,1,25,1208.26,2,5
2007-01-26,2007,1,26,1074.3,2,5
2007-01-27,2007,1,27,623.17,2,5
2007-01-28,2007,1,28,1059.07,2,5
2007-01-29,2007,1,29,982.46,2,5
2007-01-30,2007,1,30,870.02,2,5
2007-01-31,2007,1,31,1094.02,2,5
2007-02-01,2007,2,1,1007.55,2,5
2007-02-02,2007,2,2,976.19,2,5
2007-02-03,2007,2,3,1052.8,2,5
2007-02-04,2007,2,4,1235.58,2,5
2007-02-05,2007,2,5,999.49,2,5
2007-02-06,2007,2,6,1016.51,2,5
2007-02-07,2007,2,7,1049.22,2,5
2007-02-08,2007,2,8,1105.22,2,5
2007-02-09,2007,2,9,1119.1,2,5
2007-02-10,2007,2,10,1192.58,2,5
2007-02-11,2007,2,11,1121.34,2,5
2007-02-12,2007,2,12,1100.29,2,5
2007-02-13,2007,2,13,1168.83,2,5
2007-02-14,2007,2,14,1190.78,2,5
2007-02-15,2007,2,15,1098.5,2,5
2007-02-16,2007,2,16,1113.28,2,5
2007-02-17,2007,2,17,1176.9,2,5
2007-02-18,2007,2,18,1179.58,2,5
2007-02-19,2007,2,19,928.26,2,5
2007-02-20,2007,2,20,1061.76,2,5
2007-02-21,2007,2,21,1186.75,2,5
2007-02-22,2007,2,22,1290.69,2,5
2007-02-23,2007,2,23,1097.15,2,5
2007-02-24,2007,2,24,1245.89,2,5
2007-02-25,2007,2,25,1107.01,2,5
2007-02-26,2007,2,26,1100.74,2,5
2007-02-27,2007,2,27,1107.9,2,5
2007-02-28,2007,2,28,1301.44,2,5
2007-03-01,2007,3,1,1098.94,2,5
2007-03-02,2007,3,2,1112.83,2,5
2007-03-03,2007,3,3,1209.6,2,5
2007-03-04,2007,3,4,1109.7,2,5
2007-03-05,2007,3,5,1158.08,2,5
2007-03-06,2007,3,6,1145.09,2,5
2007-03-07,2007,3,7,1251.26,2,5
2007-03-08,2007,3,8,1065.79,2,5
2007-03-09,2007,3,9,1135.68,2,5
2007-03-10,2007,3,10,1154.94,2,5
2007-03-11,2007,3,11,1174.21,2,5
2007-03-12,2007,3,12,1020.1,2,5
2007-03-13,2007,3,13,1134.78,2,5
2007-03-14,2007,3,14,1218.56,2,5
2007-03-15,2007,3,15,1101.18,2,5
2007-03-16,2007,3,16,1130.75,2,5
2007-03-17,2007,3,17,1200.19,2,5
2007-03-18,2007,3,18,1152.7,2,5
2007-03-19,2007,3,19,1081.92,2,5
2007-03-20,2007,3,20,1168.83,2,5
2007-03-21,2007,3,21,1238.27,2,5
2007-03-22,2007,3,22,1105.66,2,5
2007-03-23,2007,3,23,1079.68,2,5
2007-03-24,2007,3,24,1091.78,2,5
2007-03-25,2007,3,25,1097.15,2,5
2007-03-26,2007,3,26,1179.58,2,5
2007-03-27,2007,3,27,1051.01,2,5
2007-03-28,2007,3,28,1055.49,2,5
2007-03-29,2007,3,29,1068.03,2,5
2007-03-30,2007,3,30,1160.32,2,5
