Date,Year,Month,Day,UWND,VWND,WSPD,WDIR
2006-11-14,2006,11,14,,0.7,7.7,275.1
2006-11-15,2006,11,15,,2.0,5.1,293.5
2006-11-16,2006,11,16,,,3.6,242.3
2006-11-17,2006,11,17,,,5.7,260.9
2006-11-18,2006,11,18,,,5.4,240.3
2006-11-19,2006,11,19,,,4.8,255.6
2006-11-20,2006,11,20,,,1.5,254.1
2006-11-21,2006,11,21,,,1.4,243.8
2006-11-22,2006,11,22,,,2.8,213.7
2006-11-23,2006,11,23,,,4.2,266.9
2006-11-24,2006,11,24,,0.2,2.8,273.9
2006-11-25,2006,11,25,,0.1,3.4,272.3
2006-11-26,2006,11,26,,,5.2,235.6
2006-11-27,2006,11,27,,,5.7,230.6
2006-11-28,2006,11,28,,,7.7,222.1
2006-11-29,2006,11,29,,,8.2,215.8
2006-11-30,2006,11,30,,,6.9,223.0
2006-12-01,2006,12,1,,,6.8,211.8
2006-12-02,2006,12,2,,,7.3,228.0
2006-12-03,2006,12,3,,,7.4,226.9
2006-12-04,2006,12,4,,,7.1,223.3
2006-12-05,2006,12,5,,,5.5,226.7
2006-12-06,2006,12,6,,,6.8,221.0
2006-12-07,2006,12,7,,,6.3,203.5
2006-12-08,2006,12,8,,,4.7,196.6
2006-12-09,2006,12,9,,,6.2,255.3
2006-12-10,2006,12,10,,,5.7,236.1
2006-12-11,2006,12,11,,,7.1,241.0
2006-12-12,2006,12,12,,,6.6,233.3
2006-12-13,2006,12,13,,,6.7,244.9
2006-12-14,2006,12,14,,,6.5,245.8
2006-12-15,2006,12,15,,,7.8,241.2
2006-12-16,2006,12,16,,,8.9,228.4
2006-12-17,2006,12,17,,,7.8,248.0
2006-12-18,2006,12,18,,,7.7,258.4
2006-12-19,2006,12,19,,,9.1,247.8
2006-12-20,2006,12,20,,,8.9,234.6
2006-12-21,2006,12,21,,,8.7,227.0
2006-12-22,2006,12,22,,,8.8,237.6
2006-12-23,2006,12,23,,,9.3,232.0
2006-12-24,2006,12,24,,,8.1,223.2
2006-12-25,2006,12,25,,,7.6,224.2
2006-12-26,2006,12,26,,,5.8,217.9
2006-12-27,2006,12,27,,,5.7,231.3
2006-12-28,2006,12,28,,,6.4,224.7
2006-12-29,2006,12,29,,,8.3,203.7
2006-12-30,2006,12,30,,,7.8,202.5
2006-12-31,2006,12,31,,,7.3,205.8
2007-01-01,2007,1,1,,,6.1,205.1
2007-01-02,2007,1,2,,,6.3,192.5
2007-01-03,2007,1,3,0.5,,5.1,174.3
2007-01-04,2007,1,4,,,5.1,200.1
2007-01-05,2007,1,5,,,6.1,197.7
2007-01-06,2007,1,6,,,5.3,216.8
2007-01-07,2007,1,7,,,4.0,250.3
2007-01-08,2007,1,8,,,7.9,243.4
2007-01-09,2007,1,9,,,8.6,237.2
2007-01-10,2007,1,10,,,7.4,234.3
2007-01-11,2007,1,11,,,8.1,231.1
2007-01-12,2007,1,12,,,8.1,221.8
2007-01-13,2007,1,13,,,7.6,220.3
2007-01-14,2007,1,14,,,7.0,221.1
