Date,Year,Month,Day,RAD,RAIN,RH,SST,TEMP_10.0m,TEMP_20.0m,UWND,VWND,WSPD,WDIR,Location
2005-01-01,2005,1,1,155.61,0.36,91.5,29.14,29.15,29.14,5.5,-5.5,7.7,135.1,0N90E
2005-01-02,2005,1,2,57.16,0.19,90.5,29.02,29.03,29.03,-0.7,-1.7,1.8,202.3,0N90E
2005-01-03,2005,1,3,130.86,0.0,84.8,29.06,29.04,29.04,0.3,0.9,0.9,20.1,0N90E
2005-01-04,2005,1,4,269.79,0.13,83.8,29.45,29.09,29.06,1.3,1.3,1.8,44.2,0N90E
2005-01-05,2005,1,5,79.43,0.95,91.7,29.14,29.18,29.13,1.4,1.7,2.2,39.9,0N90E
2005-01-06,2005,1,6,201.02,0.23,85.8,29.15,29.14,29.12,4.8,3.5,6.0,54.0,0N90E
2005-01-07,2005,1,7,207.99,0.0,84.1,29.17,29.15,29.13,5.0,4.3,6.6,48.9,0N90E
2005-01-08,2005,1,8,220.28,1.23,84.2,29.06,29.06,29.06,9.2,2.6,9.6,74.1,0N90E
2005-01-09,2005,1,9,151.15,0.37,82.5,28.85,28.86,28.86,9.6,2.0,9.8,78.3,0N90E
2005-01-10,2005,1,10,263.52,0.85,83.9,28.75,28.76,28.76,8.9,3.4,9.5,69.0,0N90E
2005-01-11,2005,1,11,172.85,0.95,85.5,28.68,28.67,28.66,6.8,3.9,7.8,60.5,0N90E
2005-01-12,2005,1,12,253.74,0.09,83.8,28.65,28.65,28.63,7.4,3.8,8.4,62.7,0N90E
2005-01-13,2005,1,13,263.74,0.0,85.1,28.62,28.61,28.59,8.0,0.4,8.0,86.8,0N90E
2005-01-14,2005,1,14,287.46,-0.01,84.0,28.66,28.64,28.62,7.9,0.6,7.9,85.8,0N90E
2005-01-15,2005,1,15,292.67,-0.02,83.8,28.8,28.76,28.71,5.3,0.1,5.3,88.6,0N90E
2005-01-16,2005,1,16,232.07,0.76,87.7,28.93,28.82,28.79,2.1,-0.6,2.1,105.1,0N90E
2005-01-17,2005,1,17,282.34,0.0,83.1,29.2,28.8,28.77,1.3,0.0,1.3,91.3,0N90E
2005-01-18,2005,1,18,276.43,-0.01,83.3,29.38,28.79,28.73,1.4,-0.8,1.6,119.4,0N90E
2005-01-19,2005,1,19,285.37,0.28,90.1,29.04,28.85,28.76,1.8,-3.2,3.6,151.2,0N90E
2005-01-20,2005,1,20,274.95,0.0,86.7,29.13,28.82,28.79,1.3,-1.1,1.7,130.5,0N90E
2005-01-21,2005,1,21,300.97,0.0,80.9,29.65,28.93,28.85,0.0,0.3,0.3,355.2,0N90E
2005-01-22,2005,1,22,309.28,-0.01,82.0,30.01,29.07,28.92,-1.1,1.1,1.6,314.2,0N90E
2005-01-23,2005,1,23,301.83,-0.01,84.8,29.6,29.18,28.95,-1.8,2.3,2.9,322.3,0N90E
2005-01-24,2005,1,24,297.73,0.0,86.2,29.63,29.27,28.96,-1.6,0.8,1.8,295.2,0N90E
2005-01-25,2005,1,25,234.32,3.26,90.9,29.4,29.35,28.95,-0.7,-2.8,2.9,193.6,0N90E
2005-01-26,2005,1,26,96.61,0.24,92.7,29.17,29.3,29.1,2.5,-2.3,3.4,133.2,0N90E
2005-01-27,2005,1,27,238.49,-0.02,87.5,29.55,29.48,29.42,3.0,-0.9,3.1,107.4,0N90E
2005-01-28,2005,1,28,178.69,2.52,89.2,29.48,29.53,29.41,4.0,-0.7,4.1,100.0,0N90E
2005-01-29,2005,1,29,160.67,0.01,87.8,29.29,29.29,29.14,1.9,1.8,2.6,47.3,0N90E
2005-01-30,2005,1,30,315.25,0.0,86.2,29.54,29.22,29.16,1.6,0.5,1.7,72.8,0N90E
2005-01-31,2005,1,31,301.13,0.0,87.6,29.46,29.18,29.01,1.9,-1.6,2.4,129.8,0N90E
2005-02-01,2005,2,1,193.73,0.0,89.8,29.21,29.16,29.13,1.4,-2.3,2.6,149.0,0N90E
2005-02-02,2005,2,2,292.21,0.0,87.8,29.31,29.26,29.22,-0.7,-3.8,3.8,190.9,0N90E
2005-02-03,2005,2,3,274.78,0.0,85.0,29.46,29.25,29.23,-1.9,-1.9,2.7,224.0,0N90E
2005-02-04,2005,2,4,293.4,0.0,90.3,29.7,29.35,29.27,0.2,1.0,1.0,13.3,0N90E
2005-02-05,2005,2,5,301.2,0.0,90.8,29.65,29.41,29.27,2.2,2.1,3.1,45.5,0N90E
2005-02-06,2005,2,6,298.1,0.0,90.5,29.55,29.46,29.28,2.8,0.0,2.8,90.8,0N90E
2005-02-07,2005,2,7,248.14,0.02,90.7,29.4,29.36,29.24,0.5,-3.2,3.3,171.6,0N90E
2005-02-08,2005,2,8,278.48,0.16,92.6,29.5,29.37,29.26,-1.3,-1.1,1.7,227.9,0N90E
2005-02-09,2005,2,9,273.87,0.14,91.9,29.74,29.45,29.36,-1.4,1.4,1.9,314.4,0N90E
2005-02-10,2005,2,10,247.73,0.13,90.0,29.61,29.53,29.42,-1.9,-3.8,4.2,206.2,0N90E
2005-02-11,2005,2,11,292.75,-0.01,88.8,29.61,29.56,29.51,0.5,-4.3,4.3,173.9,0N90E
2005-02-12,2005,2,12,285.27,-0.01,88.5,29.81,29.6,29.55,0.7,-2.6,2.7,165.4,0N90E
2005-02-13,2005,2,13,310.1,0.0,86.3,30.03,29.65,29.59,-1.9,-1.0,2.2,242.6,0N90E
2005-02-14,2005,2,14,311.14,-0.01,88.9,29.8,29.71,29.64,-4.1,-1.5,4.4,249.3,0N90E
2005-02-15,2005,2,15,317.26,0.0,86.5,30.21,29.75,29.72,-1.7,-0.3,1.7,261.2,0N90E
2005-02-16,2005,2,16,255.61,-0.01,87.7,30.29,29.87,29.77,-0.1,1.6,1.6,358.2,0N90E
2005-02-17,2005,2,17,276.94,0.41,88.2,30.34,29.88,29.76,-1.2,-0.9,1.5,234.4,0N90E
2005-02-18,2005,2,18,148.79,-0.01,92.7,30.12,29.89,29.7,-2.2,0.8,2.4,289.2,0N90E
2005-02-19,2005,2,19,265.67,-0.01,89.1,30.06,29.88,29.5,0.2,0.8,0.8,13.1,0N90E
2005-02-20,2005,2,20,273.99,0.01,90.6,30.15,29.94,29.63,1.2,-0.7,1.4,118.2,0N90E
2005-02-21,2005,2,21,311.22,2.99,93.4,30.16,30.09,29.96,3.7,0.6,3.7,80.1,0N90E
2005-02-22,2005,2,22,144.71,0.18,88.1,30.15,30.16,30.14,3.0,0.3,3.0,84.0,0N90E
2005-02-23,2005,2,23,313.27,-0.01,88.7,30.44,30.14,30.05,0.2,-1.2,1.2,168.9,0N90E
2005-02-24,2005,2,24,313.36,-0.01,88.0,30.79,30.11,30.01,-1.5,0.8,1.7,298.4,0N90E
2005-02-25,2005,2,25,306.82,-0.01,87.4,30.54,30.11,30.04,-1.1,2.9,3.1,339.1,0N90E
2005-02-26,2005,2,26,216.93,0.05,93.6,30.34,30.29,30.14,1.8,3.2,3.7,29.7,0N90E
2005-02-27,2005,2,27,274.76,-0.01,89.8,30.34,30.11,30.08,-2.2,0.8,2.3,289.8,0N90E
2005-02-28,2005,2,28,214.69,0.0,91.7,29.99,29.96,29.99,-1.5,-2.6,3.0,210.3,0N90E
2005-03-01,2005,3,1,326.15,0.01,85.3,30.49,29.93,29.89,-0.8,0.7,1.1,310.6,0N90E
2005-03-02,2005,3,2,304.26,0.0,92.1,30.43,29.97,29.72,-1.2,2.5,2.8,334.6,0N90E
2005-03-03,2005,3,3,269.18,0.15,90.2,30.12,29.94,29.42,-2.5,2.5,3.5,314.6,0N90E
2005-03-04,2005,3,4,319.37,-0.01,87.2,30.35,29.85,29.35,-2.6,-0.8,2.7,253.7,0N90E
2005-03-05,2005,3,5,320.43,0.0,88.6,30.28,29.81,29.27,-1.6,-1.4,2.2,228.0,0N90E
2005-03-06,2005,3,6,313.13,0.07,89.6,30.64,29.86,29.39,-1.0,1.1,1.5,317.3,0N90E
2005-03-07,2005,3,7,289.09,-0.01,90.2,30.71,30.06,29.58,-2.4,-0.5,2.4,258.8,0N90E
2005-03-08,2005,3,8,299.67,-0.01,92.2,30.55,30.19,29.64,-4.0,1.0,4.1,284.6,0N90E
2005-03-09,2005,3,9,275.76,3.88,92.2,30.55,30.29,29.72,0.6,-0.3,0.7,114.2,0N90E
2005-03-10,2005,3,10,224.48,-0.02,85.7,30.21,30.17,29.71,0.5,-0.2,0.6,108.0,0N90E
2005-03-11,2005,3,11,322.37,0.0,85.9,30.29,30.01,29.61,1.6,0.6,1.8,69.4,0N90E
2005-03-12,2005,3,12,295.24,-0.01,84.7,30.37,30.14,29.54,2.0,0.5,2.1,77.6,0N90E
2005-03-13,2005,3,13,332.16,0.0,85.8,30.69,30.37,29.84,2.4,-0.1,2.4,93.5,0N90E
