Date,Year,Month,Day,SWRad,Prec,RH,SST,TEMP_10.0m,TEMP_20.0m,TEMP_40.0m,TEMP_60.0m,TEMP_80.0m,TEMP_100.0m,TEMP_120.0m,TEMP_140.0m,TEMP_180.0m,TEMP_300.0m,TEMP_500.0m,UWND,VWND,WSPD,WDIR
2006-11-16,2006,11,16,,0.18,80.5,29.31,29.28,29.25,28.09,23.99,18.97,16.25,14.89,14.29,13.38,11.73,10.21,-2.4,-2.8,3.6,220.5
2006-11-17,2006,11,17,250.13,0.02,79.7,29.52,29.27,29.25,28.38,24.13,19.03,16.29,14.94,14.37,13.5,11.72,10.09,-1.3,-0.8,1.5,236.3
2006-11-18,2006,11,18,226.62,0.51,84.2,29.34,29.2,29.22,29.21,25.32,19.5,16.62,15.14,14.45,13.54,11.84,10.15,2.8,1.3,3.1,65.8
2006-11-19,2006,11,19,251.29,0.01,80.5,29.36,29.14,29.21,29.28,27.27,20.36,16.72,15.24,14.58,13.68,11.75,10.24,-0.9,2.8,3.0,341.9
2006-11-20,2006,11,20,168.93,1.49,84.2,29.05,29.11,29.15,29.12,26.28,20.56,17.04,15.25,14.5,13.74,11.83,10.25,1.2,0.4,1.3,72.0
2006-11-21,2006,11,21,95.26,0.39,84.2,29.01,29.15,29.08,28.83,25.81,20.9,17.92,15.82,14.68,13.84,11.85,10.21,4.2,-1.9,4.7,114.4
2006-11-22,2006,11,22,208.17,0.0,79.5,29.07,29.06,29.05,28.59,27.52,21.57,18.28,15.55,14.38,13.55,11.75,10.19,3.4,-1.9,3.9,119.4
2006-11-23,2006,11,23,173.87,0.76,82.0,28.99,28.98,29.0,28.66,25.38,20.88,17.58,15.27,14.41,13.48,11.88,10.12,-1.5,2.1,2.6,323.4
2006-11-24,2006,11,24,261.19,0.15,79.7,29.28,29.01,29.03,28.52,23.66,19.64,17.13,15.4,14.46,13.49,11.76,10.22,-0.6,1.9,2.0,343.2
2006-11-25,2006,11,25,218.69,0.02,79.7,29.38,29.16,29.12,28.44,23.75,20.45,17.81,16.14,15.03,13.51,11.95,10.29,1.6,0.6,1.7,68.1
2006-11-26,2006,11,26,159.64,0.2,84.0,29.18,29.22,29.28,28.31,25.06,21.25,17.64,15.8,14.78,13.55,12.08,10.23,0.6,-1.3,1.4,154.2
2007-10-08,2007,10,8,252.73,0.05,78.0,28.9,28.4,28.4,28.47,,,,18.35,16.57,14.31,11.7,10.12,-0.3,2.1,2.1,352.3
2007-10-09,2007,10,9,229.45,0.24,79.2,28.77,28.58,28.54,28.54,,,,17.88,15.79,14.12,11.68,10.05,0.3,3.9,3.9,4.0
2007-10-10,2007,10,10,296.98,0.0,78.4,28.62,28.45,28.39,28.48,,,,18.43,16.83,14.38,11.8,10.21,0.1,3.7,3.7,1.2
2007-10-11,2007,10,11,280.68,0.1,79.2,28.99,28.45,28.39,28.42,,,,19.09,17.08,14.64,11.98,10.15,-0.7,0.9,1.1,321.1
2007-10-12,2007,10,12,276.49,0.19,76.8,29.11,28.55,28.46,28.34,,,,19.18,17.24,14.89,11.98,10.08,1.5,-0.6,1.6,111.2
2007-10-13,2007,10,13,112.08,1.43,82.9,28.51,28.51,28.49,28.33,,,,18.89,16.98,14.74,11.86,10.1,5.0,1.8,5.3,70.3
2007-10-14,2007,10,14,95.78,0.05,83.7,28.37,28.38,28.38,28.35,,,,18.03,16.1,14.28,11.75,10.15,4.7,2.0,5.1,67.4
2007-10-15,2007,10,15,173.09,0.24,82.9,28.41,28.37,28.36,28.35,,,,19.43,17.32,14.84,11.75,10.12,2.9,-0.7,3.0,104.0
2007-10-16,2007,10,16,262.98,0.05,82.9,28.54,28.46,28.44,28.41,,,,20.06,18.01,15.07,11.72,10.03,3.4,1.3,3.7,68.6
2007-10-17,2007,10,17,122.33,0.57,85.3,28.45,28.45,28.46,28.43,,,,19.1,16.25,14.37,11.93,10.16,4.2,0.3,4.2,85.3
2007-10-18,2007,10,18,264.38,0.19,82.1,28.69,28.47,28.44,28.45,,,,19.57,16.36,14.38,11.88,10.08,2.5,-3.1,4.0,141.1
2007-10-19,2007,10,19,73.42,2.63,88.2,28.48,28.5,28.52,28.55,,,,18.56,16.33,14.64,11.85,10.03,4.6,-6.0,7.5,142.6
2007-10-20,2007,10,20,161.91,3.2,85.7,28.43,28.44,28.45,28.5,,,,17.88,15.8,14.26,11.68,10.01,8.1,-0.7,8.2,95.0
2007-10-21,2007,10,21,55.26,2.96,89.0,28.32,28.34,28.35,28.38,,,,18.32,16.33,14.75,11.55,10.1,7.8,-3.3,8.5,112.8
2007-10-22,2007,10,22,125.12,0.33,83.3,28.25,28.26,28.26,28.31,,,,17.35,15.49,14.27,11.68,10.18,8.1,-0.3,8.1,92.2
2007-10-23,2007,10,23,174.02,0.0,82.1,28.21,28.21,28.21,28.22,,,,17.61,15.72,14.41,11.91,10.14,5.6,4.6,7.2,50.8
2007-10-24,2007,10,24,111.15,1.96,86.6,28.09,28.12,28.13,28.12,,,20.86,17.79,15.89,14.31,11.89,10.17,3.5,4.3,5.5,38.6
2007-10-25,2007,10,25,182.87,1.0,86.6,28.07,,28.11,28.18,,,20.49,18.14,16.28,14.19,11.84,10.05,4.8,4.9,6.9,44.2
2007-10-26,2007,10,26,93.45,0.67,86.2,28.08,28.09,28.1,28.13,,,19.75,18.05,16.18,14.49,11.65,10.24,6.7,5.8,8.9,49.3
2007-10-27,2007,10,27,168.9,0.0,80.5,28.08,,28.09,28.1,,,,18.73,16.81,14.6,11.78,10.29,7.5,5.4,9.2,54.3
2007-10-28,2007,10,28,242.49,0.0,82.5,28.17,,28.13,28.11,,,,18.12,15.86,14.24,11.8,10.18,5.4,4.0,6.7,53.8
2007-10-29,2007,10,29,276.02,0.0,82.5,28.18,28.18,28.15,28.09,,,,18.6,16.77,14.35,11.9,10.22,5.4,0.6,5.4,83.8
2007-10-30,2007,10,30,208.49,0.05,82.1,28.33,28.18,28.14,27.94,,,,18.74,16.72,14.16,11.94,10.29,3.2,0.9,3.4,74.0
2007-10-31,2007,10,31,198.71,0.14,84.9,28.23,28.19,28.08,27.96,,,,17.72,16.32,14.27,11.93,10.31,3.1,-0.7,3.2,102.9
2007-11-01,2007,11,1,244.82,0.1,82.5,28.32,28.11,27.99,27.92,,,,18.09,16.52,14.39,11.87,10.21,1.8,2.3,2.9,37.3
2007-11-02,2007,11,2,39.43,0.48,85.3,27.99,28.02,28.03,27.95,,,,18.15,16.35,14.21,11.82,10.27,1.4,4.5,4.7,18.0
2007-11-03,2007,11,3,215.94,0.0,82.5,28.03,28.04,28.03,28.03,,,,17.88,16.0,13.95,11.75,10.25,3.0,6.3,6.9,25.3
2007-11-04,2007,11,4,249.47,0.0,78.0,28.46,28.15,28.14,28.13,,,,18.14,16.02,13.97,11.77,10.21,2.5,0.7,2.6,74.0
2007-11-05,2007,11,5,276.02,0.0,78.8,28.51,28.27,28.21,28.21,,,,19.19,17.34,14.42,11.98,10.37,3.5,-1.1,3.7,107.4
2007-11-06,2007,11,6,227.58,0.1,83.7,28.32,28.29,28.29,28.25,,,,20.17,17.78,14.63,12.02,10.42,5.4,0.4,5.4,85.9
2007-11-07,2007,11,7,62.71,0.05,84.9,28.1,,28.15,28.2,,,,20.23,17.79,14.88,12.08,10.34,8.1,-0.5,8.2,93.6
2007-11-08,2007,11,8,85.53,0.62,84.5,27.99,28.0,28.03,28.15,,,,21.79,18.34,14.83,12.19,10.37,6.8,0.4,6.8,86.3
2007-11-09,2007,11,9,65.97,0.1,84.5,27.93,,27.95,28.13,,,,20.4,17.62,14.9,12.2,10.4,7.9,0.1,7.9,89.4
2007-11-10,2007,11,10,187.53,0.43,83.3,27.9,,27.89,28.06,,,,20.57,17.74,15.06,11.98,10.37,6.6,0.2,6.6,88.0
2007-11-11,2007,11,11,263.45,0.05,82.5,27.96,,27.94,28.04,,,,19.91,17.41,15.1,12.08,10.39,7.5,0.9,7.6,83.5
2007-11-12,2007,11,12,264.84,0.1,83.3,28.08,,28.06,27.99,,,22.63,19.65,17.31,14.69,12.06,10.45,7.3,2.0,7.5,74.3
2007-11-13,2007,11,13,256.46,0.0,82.1,28.1,,28.06,27.98,,,21.37,18.9,16.67,14.43,12.09,10.43,6.7,0.6,6.8,84.6
2007-11-14,2007,11,14,278.82,0.0,82.1,28.34,,28.11,27.96,,,21.64,19.41,17.45,14.88,12.14,10.45,3.2,0.5,3.3,80.9
2007-11-15,2007,11,15,275.56,0.0,76.0,28.79,,28.17,28.04,,,21.05,19.02,17.41,14.74,12.07,10.39,0.0,-0.6,0.6,178.0
2007-11-16,2007,11,16,272.76,0.1,80.1,28.64,,28.17,28.05,27.89,25.04,20.52,19.07,17.6,15.3,12.13,10.47,-1.9,-2.7,3.4,215.6
2007-11-17,2007,11,17,296.05,0.0,82.1,28.6,,28.14,28.01,28.19,26.2,21.12,19.38,17.75,15.5,12.32,10.48,-2.2,-1.9,2.9,228.7
2007-11-18,2007,11,18,265.31,0.05,80.1,28.87,,28.16,28.0,28.24,26.92,22.22,19.62,18.21,15.64,12.3,10.4,-1.5,1.0,1.8,303.5
