Date,Year,Month,Day,SWRad,Prec,RH,SST,StDev,Max,StDev_rain,%Time,Location
2005-01-01,2005,1,1,155.61,0.36,91.5,29.14,189.97,681.56,1.2,9.7,0N90E
2005-01-02,2005,1,2,57.16,0.19,90.5,29.02,83.72,289.75,0.46,6.9,0N90E
2005-01-03,2005,1,3,130.86,0.0,84.8,29.06,171.2,694.65,0.01,0.0,0N90E
2005-01-04,2005,1,4,269.79,0.13,83.8,29.45,352.19,1284.63,1.13,1.4,0N90E
2005-01-05,2005,1,5,79.43,0.95,91.7,29.14,134.5,645.0,3.48,10.4,0N90E
2005-01-06,2005,1,6,201.02,0.23,85.8,29.15,323.93,1440.81,1.13,5.6,0N90E
2005-01-07,2005,1,7,207.99,0.0,84.1,29.17,293.37,1116.26,0.05,0.0,0N90E
2005-01-08,2005,1,8,220.28,1.23,84.2,29.06,319.87,1175.39,3.45,18.1,0N90E
2005-01-09,2005,1,9,151.15,0.37,82.5,28.85,231.7,956.01,1.72,8.3,0N90E
2005-01-10,2005,1,10,263.52,0.85,83.9,28.75,362.88,1267.93,4.33,10.4,0N90E
2005-01-11,2005,1,11,172.85,0.95,85.5,28.68,324.14,1221.43,2.66,19.4,0N90E
2005-01-12,2005,1,12,253.74,0.09,83.8,28.65,355.2,1231.36,0.83,2.8,0N90E
2005-01-13,2005,1,13,263.74,0.0,85.1,28.62,353.8,1166.36,0.24,0.7,0N90E
2005-01-14,2005,1,14,287.46,-0.01,84.0,28.66,385.61,1138.83,0.12,0.7,0N90E
2005-01-15,2005,1,15,292.67,-0.02,83.8,28.8,378.93,1072.47,0.02,0.0,0N90E
2005-01-16,2005,1,16,232.07,0.76,87.7,28.93,347.95,1176.29,4.5,4.9,0N90E
2005-01-17,2005,1,17,282.34,0.0,83.1,29.2,370.14,1040.42,0.09,0.0,0N90E
2005-01-18,2005,1,18,276.43,-0.01,83.3,29.38,372.54,1041.78,0.08,0.0,0N90E
2005-01-19,2005,1,19,285.37,0.28,90.1,29.04,384.28,1060.28,1.12,7.6,0N90E
2005-01-20,2005,1,20,274.95,0.0,86.7,29.13,368.08,1238.59,0.14,0.0,0N90E
2005-01-21,2005,1,21,300.97,0.0,80.9,29.65,386.57,1082.85,0.17,0.0,0N90E
2005-01-22,2005,1,22,309.28,-0.01,82.0,30.01,399.68,1184.87,0.14,0.0,0N90E
2005-01-23,2005,1,23,301.83,-0.01,84.8,29.6,390.35,1090.98,0.13,0.0,0N90E
2005-01-24,2005,1,24,297.73,0.0,86.2,29.63,390.46,1293.21,0.11,0.0,0N90E
2005-01-25,2005,1,25,234.32,3.26,90.9,29.4,339.89,1411.47,9.22,21.5,0N90E
2005-01-26,2005,1,26,96.61,0.24,92.7,29.17,151.22,748.82,0.72,9.7,0N90E
2005-01-27,2005,1,27,238.49,-0.02,87.5,29.55,318.47,1219.63,0.02,0.0,0N90E
2005-01-28,2005,1,28,178.69,2.52,89.2,29.48,274.18,1386.64,8.04,23.6,0N90E
2005-01-29,2005,1,29,160.67,0.01,87.8,29.29,266.51,1297.27,0.1,0.0,0N90E
2005-01-30,2005,1,30,315.25,0.0,86.2,29.54,396.59,1299.53,0.09,0.0,0N90E
2005-01-31,2005,1,31,301.13,0.0,87.6,29.46,403.93,1272.44,0.12,0.0,0N90E
2005-02-01,2005,2,1,193.73,0.0,89.8,29.21,322.05,1287.79,0.08,0.0,0N90E
2005-02-02,2005,2,2,292.21,0.0,87.8,29.31,379.78,1165.46,0.06,0.0,0N90E
2005-02-03,2005,2,3,274.78,0.0,85.0,29.46,397.81,1297.72,0.05,0.0,0N90E
2005-02-04,2005,2,4,293.4,0.0,90.3,29.7,393.58,1288.69,0.05,0.0,0N90E
2005-02-05,2005,2,5,301.2,0.0,90.8,29.65,409.58,1222.79,0.04,0.0,0N90E
2005-02-06,2005,2,6,298.1,0.0,90.5,29.55,413.34,1419.15,0.06,0.0,0N90E
2005-02-07,2005,2,7,248.14,0.02,90.7,29.4,345.27,1102.72,0.25,1.4,0N90E
2005-02-08,2005,2,8,278.48,0.16,92.6,29.5,383.13,1104.97,1.32,1.4,0N90E
2005-02-09,2005,2,9,273.87,0.14,91.9,29.74,390.4,1273.34,1.23,2.1,0N90E
2005-02-10,2005,2,10,247.73,0.13,90.0,29.61,363.59,1346.47,1.25,1.4,0N90E
2005-02-11,2005,2,11,292.75,-0.01,88.8,29.61,386.38,1119.87,0.01,0.0,0N90E
2005-02-12,2005,2,12,285.27,-0.01,88.5,29.81,391.66,1194.35,0.01,0.0,0N90E
2005-02-13,2005,2,13,310.1,0.0,86.3,30.03,398.59,1241.29,0.02,0.0,0N90E
2005-02-14,2005,2,14,311.14,-0.01,88.9,29.8,401.21,1105.88,0.04,0.0,0N90E
2005-02-15,2005,2,15,317.26,0.0,86.5,30.21,409.32,1122.13,0.03,0.0,0N90E
2005-02-16,2005,2,16,255.61,-0.01,87.7,30.29,363.59,1176.75,0.04,0.0,0N90E
2005-02-17,2005,2,17,276.94,0.41,88.2,30.34,394.2,1208.34,2.25,5.6,0N90E
2005-02-18,2005,2,18,148.79,-0.01,92.7,30.12,252.99,1419.6,0.02,0.0,0N90E
2005-02-19,2005,2,19,265.67,-0.01,89.1,30.06,366.71,1408.76,0.03,0.0,0N90E
2005-02-20,2005,2,20,273.99,0.01,90.6,30.15,417.46,1402.44,0.1,0.7,0N90E
2005-02-21,2005,2,21,311.22,2.99,93.4,30.16,412.87,1205.63,8.14,25.0,0N90E
2005-02-22,2005,2,22,144.71,0.18,88.1,30.15,206.9,1013.34,0.87,4.9,0N90E
2005-02-23,2005,2,23,313.27,-0.01,88.7,30.44,399.67,1282.37,0.05,0.0,0N90E
2005-02-24,2005,2,24,313.36,-0.01,88.0,30.79,413.95,1291.4,0.05,0.0,0N90E
2005-02-25,2005,2,25,306.82,-0.01,87.4,30.54,407.18,1255.29,0.05,0.0,0N90E
2005-02-26,2005,2,26,216.93,0.05,93.6,30.34,321.97,1292.3,0.45,1.4,0N90E
2005-02-27,2005,2,27,274.76,-0.01,89.8,30.34,385.04,1287.34,0.05,0.0,0N90E
2005-02-28,2005,2,28,214.69,0.0,91.7,29.99,344.58,1505.36,0.08,0.0,0N90E
2005-03-01,2005,3,1,326.15,0.01,85.3,30.49,418.68,1118.97,0.1,0.0,0N90E
2005-03-02,2005,3,2,304.26,0.0,92.1,30.43,419.56,1252.58,0.03,0.0,0N90E
2005-03-03,2005,3,3,269.18,0.15,90.2,30.12,382.69,1274.7,1.09,2.1,0N90E
2005-03-04,2005,3,4,319.37,-0.01,87.2,30.35,419.64,1146.95,0.09,0.0,0N90E
2005-03-05,2005,3,5,320.43,0.0,88.6,30.28,419.56,1190.29,0.08,0.0,0N90E
2005-03-06,2005,3,6,313.13,0.07,89.6,30.64,412.11,1117.61,0.7,1.4,0N90E
2005-03-07,2005,3,7,289.09,-0.01,90.2,30.71,385.18,1104.52,0.13,0.0,0N90E
2005-03-08,2005,3,8,299.67,-0.01,92.2,30.55,389.74,1084.21,0.12,0.0,0N90E
2005-03-09,2005,3,9,275.76,3.88,92.2,30.55,389.04,1156.88,13.58,20.7,0N90E
2005-03-10,2005,3,10,224.48,-0.02,85.7,30.21,319.43,1368.14,0.14,0.0,0N90E
2005-03-11,2005,3,11,322.37,0.0,85.9,30.29,419.05,1202.47,0.11,0.0,0N90E
2005-03-12,2005,3,12,295.24,-0.01,84.7,30.37,412.45,1227.75,0.12,0.0,0N90E
2005-03-13,2005,3,13,332.16,0.0,85.8,30.69,419.63,1109.94,0.19,0.0,0N90E
2005-03-14,2005,3,14,157.57,0.01,87.7,30.28,221.1,1016.05,0.17,0.7,0N90E
2005-03-15,2005,3,15,291.7,0.0,87.1,30.39,397.49,1150.56,0.14,0.0,0N90E
2005-03-16,2005,3,16,278.57,-0.01,86.6,30.49,379.27,1208.34,0.13,0.0,0N90E
2005-03-17,2005,3,17,144.84,-0.01,88.2,30.16,202.3,927.12,0.11,0.0,0N90E
2005-03-18,2005,3,18,310.74,-0.01,87.6,30.06,412.1,1239.04,0.16,0.0,0N90E
2005-03-19,2005,3,19,121.66,0.02,89.1,29.92,188.89,825.11,0.23,1.4,0N90E
2005-03-20,2005,3,20,302.32,0.05,90.3,30.11,410.87,1245.36,0.46,1.4,0N90E
2005-03-21,2005,3,21,36.1,1.16,,30.0,56.47,291.1,5.13,18.8,0N90E
2005-03-22,2005,3,22,173.65,0.29,,29.98,309.08,1270.64,1.94,5.6,0N90E
2005-03-23,2005,3,23,307.46,0.12,,30.26,405.72,1378.07,1.33,1.4,0N90E
2005-03-24,2005,3,24,205.31,2.32,,30.08,312.71,1167.27,6.66,18.1,0N90E
2005-03-25,2005,3,25,202.76,0.12,,30.01,306.87,1319.84,0.69,4.2,0N90E
2005-03-26,2005,3,26,92.36,0.69,,29.82,132.39,503.26,2.52,12.5,0N90E
2005-03-27,2005,3,27,166.2,0.14,,29.74,266.21,1098.65,0.63,4.9,0N90E
2005-03-28,2005,3,28,81.88,0.21,,29.63,117.9,653.58,1.72,2.1,0N90E
2005-03-29,2005,3,29,215.45,-0.02,,29.56,325.42,1252.58,0.04,0.0,0N90E
2005-03-30,2005,3,30,224.73,0.59,,29.63,338.99,1333.83,3.69,5.6,0N90E
2005-03-31,2005,3,31,204.9,0.01,,29.52,286.31,1188.93,0.14,0.7,0N90E
2005-04-01,2005,4,1,74.27,0.54,,29.43,138.03,779.06,2.43,9.0,0N90E
2005-04-02,2005,4,2,243.23,0.0,,29.56,355.07,1228.2,0.04,0.0,0N90E
2005-04-03,2005,4,3,307.12,0.0,,29.53,399.18,1182.61,0.01,0.0,0N90E
2005-04-04,2005,4,4,297.03,0.0,,29.64,397.0,1110.39,0.02,0.0,0N90E
2005-04-05,2005,4,5,299.45,0.0,,29.9,399.28,1158.69,0.02,0.0,0N90E
2005-04-06,2005,4,6,320.66,-0.01,,30.04,408.97,1105.88,0.02,0.0,0N90E
2005-04-07,2005,4,7,321.86,0.0,,30.11,411.14,1086.47,0.02,0.0,0N90E
2005-04-08,2005,4,8,302.56,0.0,,30.48,397.98,1108.13,0.02,0.0,0N90E
2005-04-09,2005,4,9,281.52,0.0,,30.42,386.76,1124.83,0.02,0.0,0N90E
2005-04-10,2005,4,10,318.07,-0.01,,30.43,405.31,1115.36,0.03,0.0,0N90E
2005-04-11,2005,4,11,322.5,-0.01,,30.37,407.83,1084.21,0.05,0.0,0N90E
2005-04-12,2005,4,12,315.35,0.01,,30.4,410.23,1182.61,0.18,0.7,0N90E
2005-04-13,2005,4,13,144.52,0.0,,30.55,229.51,879.73,0.11,0.0,0N90E
2005-04-14,2005,4,14,292.85,-0.01,,30.56,387.09,1206.54,0.06,0.0,0N90E
2005-04-15,2005,4,15,202.15,-0.01,,30.1,323.54,1485.05,0.03,0.0,0N90E
2005-04-16,2005,4,16,289.38,0.0,,30.14,397.64,1388.45,0.06,0.0,0N90E
2005-04-17,2005,4,17,309.86,1.79,,30.05,402.16,1143.34,7.54,12.5,0N90E
2005-04-18,2005,4,18,215.83,-0.01,,30.0,323.5,1235.88,0.13,0.0,0N90E
2005-04-19,2005,4,19,314.32,0.0,,30.62,404.92,1098.65,0.13,0.0,0N90E
2005-04-20,2005,4,20,287.26,0.02,,30.47,399.38,1149.66,0.26,2.1,0N90E
2005-04-21,2005,4,21,285.26,0.11,,30.5,401.54,1233.62,1.01,1.4,0N90E
2005-04-22,2005,4,22,228.34,0.0,,30.49,319.01,1234.07,0.07,0.0,0N90E
