city,lat,lon,temperature,feels_like,humidity,pressure,wind_speed,wind_gust,wind_deg,visibility,cloud_coverage,weather_main,weather_description,rain_1h,sunrise,sunset,timestamp
Bungcala,5.2971,95.6109,29.46,32.75,65,1009,2.67,2.71,42,10000,87,Clouds,overcast clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 09:30:09.726860
Bungcala,5.2971,95.6109,29.46,32.75,65,1009,2.67,2.71,42,10000,87,Clouds,overcast clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 10:00:11.942640
Bungcala,5.2971,95.6109,27.63,30.68,76,1009,2.41,3.32,47,10000,88,Clouds,overcast clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 10:30:08.894903
Bungcala,5.2971,95.6109,27.63,30.68,76,1009,2.41,3.32,47,10000,88,Clouds,overcast clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 11:00:13.024620
Bungcala,5.2971,95.6109,24.75,25.63,90,1010,1.69,2.57,67,10000,85,Clouds,overcast clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 11:30:09.625719
Bungcala,5.2971,95.6109,24.75,25.63,90,1010,1.69,2.57,67,10000,85,Clouds,overcast clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 12:00:11.957085
Bungcala,5.2971,95.6109,23.72,24.65,96,1011,1.39,2.84,97,10000,62,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 12:30:09.349105
Bungcala,5.2971,95.6109,23.72,24.65,96,1011,1.39,2.84,97,10000,62,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 13:00:12.856108
Bungcala,5.2971,95.6109,23.34,24.29,98,1012,1.07,1.99,111,10000,64,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 13:30:09.520576
Bungcala,5.2971,95.6109,23.34,24.29,98,1012,1.07,1.99,111,10000,64,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 14:00:11.645836
Bungcala,5.2971,95.6109,23.14,24.09,99,1013,1.23,2.06,116,10000,70,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 14:30:09.107551
Bungcala,5.2971,95.6109,23.14,24.09,99,1013,1.23,2.06,116,10000,70,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 15:00:12.471718
Bungcala,5.2971,95.6109,23.01,23.95,99,1013,1.17,1.58,123,10000,71,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 15:30:09.271240
Bungcala,5.2971,95.6109,23.01,23.95,99,1013,1.17,1.58,123,10000,71,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 16:00:12.716921
Bungcala,5.2971,95.6109,22.92,23.88,100,1013,1.04,1.19,127,10000,76,Clouds,broken clouds,0,2025-02-09 23:53:51+00:00,2025-02-10 11:49:51+00:00,2025-02-10 16:30:09.791900
Bungcala,5.2971,95.6109,22.92,23.88,100,1013,1.04,1.19,127,10000,76,Clouds,broken clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 17:00:13.316310
Bungcala,5.2971,95.6109,22.87,23.82,100,1013,1.32,1.65,141,10000,80,Clouds,broken clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 17:30:10.243906
Bungcala,5.2971,95.6109,22.87,23.82,100,1013,1.32,1.65,141,10000,80,Clouds,broken clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 18:00:11.845106
Bungcala,5.2971,95.6109,22.81,23.73,99,1012,0.94,0.86,142,10000,34,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 18:30:08.955329
Bungcala,5.2971,95.6109,22.81,23.73,99,1012,0.94,0.86,142,10000,34,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 19:00:13.579930
Bungcala,5.2971,95.6109,22.63,23.53,99,1011,0.93,0.79,164,10000,33,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 19:30:09.241626
Bungcala,5.2971,95.6109,22.63,23.53,99,1011,0.93,0.79,164,10000,33,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 20:00:11.516731
Bungcala,5.2971,95.6109,22.63,23.51,98,1011,1.05,0.98,152,10000,20,Clouds,few clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 20:30:10.838814
Bungcala,5.2971,95.6109,22.68,23.54,97,1011,1.19,1.09,147,10000,27,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 21:00:14.169354
Bungcala,5.2971,95.6109,22.62,23.47,97,1011,1.08,0.92,128,10000,23,Clouds,few clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 21:30:10.512739
Bungcala,5.2971,95.6109,22.62,23.47,97,1011,1.08,0.92,128,10000,23,Clouds,few clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 22:00:12.085887
Bungcala,5.2971,95.6109,22.61,23.46,97,1012,1.35,1.2,124,10000,25,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 22:30:16.257120
Bungcala,5.2971,95.6109,22.61,23.46,97,1012,1.35,1.2,124,10000,25,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 23:00:12.642553
Bungcala,5.2971,95.6109,22.59,23.44,97,1013,1.53,1.95,121,10000,25,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-10 23:30:09.213021
Bungcala,5.2971,95.6109,22.59,23.44,97,1013,1.53,1.95,121,10000,25,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 00:00:13.760529
Bungcala,5.2971,95.6109,24.79,25.54,85,1013,1.31,2.21,95,10000,47,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 00:30:08.750843
Bungcala,5.2971,95.6109,24.79,25.54,85,1013,1.31,2.21,95,10000,47,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 01:00:11.091581
Bungcala,5.2971,95.6109,27.43,29.92,73,1014,1.69,2.69,61,10000,26,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 01:30:08.724655
Bungcala,5.2971,95.6109,27.43,29.92,73,1014,1.69,2.69,61,10000,26,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 02:00:10.982873
Bungcala,5.2971,95.6109,29.24,31.95,63,1014,2.24,2.88,57,10000,21,Clouds,few clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 02:30:09.205020
Bungcala,5.2971,95.6109,29.24,31.95,63,1014,2.24,2.88,57,10000,21,Clouds,few clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 03:00:12.943290
Bungcala,5.2971,95.6109,30.92,33.96,57,1013,2.43,2.1,52,10000,26,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 03:30:09.108470
Bungcala,5.2971,95.6109,30.92,33.96,57,1013,2.43,2.1,52,10000,26,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 04:00:11.873381
Bungcala,5.2971,95.6109,30.92,33.96,57,1013,2.43,2.1,52,10000,26,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 04:17:25.482257
Bungcala,5.2971,95.6109,30.92,33.96,57,1013,2.43,2.1,52,10000,26,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 04:18:14.677053
Bungcala,5.2971,95.6109,31.48,34.59,55,1012,2.56,1.68,49,10000,37,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 04:30:09.495120
Bungcala,5.2971,95.6109,31.48,34.59,55,1012,2.56,1.68,49,10000,37,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 05:00:12.088447
Bungcala,5.2971,95.6109,30.64,33.64,58,1011,2.23,1.17,58,10000,47,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 05:30:09.365320
Bungcala,5.2971,95.6109,30.64,33.64,58,1011,2.23,1.17,58,10000,47,Clouds,scattered clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 06:00:11.995898
Bungcala,5.2971,95.6109,31.27,34.66,57,1010,2,1.2,57,10000,90,Clouds,overcast clouds,0,2025-02-10 23:53:45+00:00,2025-02-11 11:50:00+00:00,2025-02-11 06:30:08.968725
