id_periode,id_petani,bulan_tanam,luas_tanam_m2,bulan_panen,luas_panen_m2,produksi_dalam_gunca,gunca_kg,pengeluaran_rp,harga_jual_perkg,hasil_panen_dijual,status_pengelolaan,jml_tanam_padi_1th,jenis_lahan,air_multi_tanam,pemupukan,jenis_pupuk,pengendalian_hama,jenis_hama,penyakit_padi,pestisida,pengendalian_gulma,cara_pengendalian_gulma
PRD001,PTN001,nov - jan,3000,Januari,3000,5.0,900,5.000.000,8000,Tidak,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"NPK, Pupuk urea",Ada,"Wereng, walang sangit",Busuk batang,Ada,Ada,Mencabut rumput
PRD002,PTN001,mei - juli,3000,September,3000,5.0,900,5.000.000,8000,Tidak,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Wereng, walang sangit",Busuk batang,Ada,Ada,Mencabut rumput
PRD003,PTN002,nov - jan,5000,Januari,5000,8.0,1440,3.000.000,8000,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"walang sangit, Wereng, Tikus",Busuk batang,Ada,Ada,Mencabut rumput
PRD004,PTN002,mei - juli,5000,September,5000,8.0,1440,3.000.000,8000,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"walang sangit, Wereng",Busuk batang,Ada,Ada,Mencabut rumput
PRD005,PTN003,nov - jan,5000,November,5000,14.0,2520,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Siput Murbai/Keong, Wereng",Busuk batang,Ada,Ada,Mencabut rumput
PRD006,PTN003,feb - apr,5000,Maret,5000,14.0,2520,2.000.000,6500,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,Siput Murbai/Keong,Busuk batang,Ada,Ada,Mencabut rumput
PRD007,PTN004,nov - jan,3000,Januari,3000,2.0,360,2.000.000,7000,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"walang sangit, Belalang, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD008,PTN004,mei - juli,3000,September,3000,2.0,360,2.000.000,7000,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"walang sangit, Belalang, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD009,PTN005,nov - jan,2000,Maret,2000,6.0,1080,1.000.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk Kandang",Ada,"walang sangit, Siput Murbai/Keong, Tikus",Busuk batang,Ada,Ada,Mencabut rumput
PRD010,PTN005,mei - juli,2000,September,2000,6.0,1080,1.000.000,6500,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk Kandang",Ada,"walang sangit, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD011,PTN006,nov - jan,3000,Maret,3000,2.0,360,2.000.000,6500,Tidak,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, Pupuk kompos",Ada,"Wereng, walang sangit, Belalang, Siput Murbai/Keong","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD012,PTN006,mei - juli,3000,September,3000,2.0,360,2.000.000,6500,Tidak,Milik sendiri,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36, Pupuk kompos",Ada,"Wereng, walang sangit, Belalang, Siput Murbai/Keong","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD013,PTN007,nov - jan,3000,April,3000,3.5,630,2.500.000,8500,Tidak,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Tulo/burung pipit, walang sangit, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD014,PTN007,mei - juli,3000,September,3000,3.5,630,2.500.000,8000,Tidak,Bagi hasil,2,Kombinasi irigasi dan tadah hujan,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Tikus, Tulo/burung pipit, walang sangit, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD015,PTN008,nov - jan,4000,Maret,4000,9.0,1620,2.000.000,7000,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD016,PTN008,mei - juli,4000,September,4000,9.0,1620,2.000.000,7000,Ya sebagian,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK, Pupuk SP-36",Ada,"Wereng, Siput Murbai/Keong",Busuk batang,Ada,Ada,Mencabut rumput
PRD017,PTN009,nov - jan,2000,Maret,2000,3.0,540,2.000.000,7000,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Wereng, walang sangit, Siput Murbai/Keong","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
PRD018,PTN009,mei - juli,2000,September,2000,3.0,540,2.000.000,7000,Tidak,Bagi hasil,2,Sawah irigasi,Tidak Mencukupi,Ada pemupukan,"Pupuk urea, NPK",Ada,"Wereng, walang sangit, Siput Murbai/Keong","Bercak daun, Busuk batang",Ada,Ada,Mencabut rumput
