-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2005 through 06/30/2025 in LST
Location: latitude  5.5945   longitude 95.4201 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 180.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
2005,1,1,24.77,27.87,26.17,84.23,1.63,3.95,7.12,9.52,66.0
2005,1,2,25.15,27.62,26.02,84.35,6.18,3.84,8.04,9.78,65.3
2005,1,3,24.86,28.18,26.2,83.18,1.44,4.69,6.62,8.48,65.6
2005,1,4,24.93,26.9,25.73,86.02,1.56,3.9,6.3,7.33,55.4
2005,1,5,24.93,28.23,26.25,82.9,0.38,4.94,5.17,6.35,68.1
2005,1,6,24.95,26.67,25.68,86.52,3.73,4.25,5.62,6.68,71.5
2005,1,7,24.72,28.15,26.11,81.33,2.29,5.26,4.37,5.95,83.6
2005,1,8,24.65,27.23,25.83,83.54,16.21,4.28,2.23,3.33,94.6
2005,1,9,24.52,27.43,25.81,86.49,17.0,4.67,3.9,5.92,69.3
2005,1,10,24.99,26.98,25.83,87.48,20.31,4.23,3.73,5.57,72.5
2005,1,11,24.68,27.94,26.01,84.02,11.53,4.94,2.91,3.86,159.6
2005,1,12,24.99,27.99,26.29,81.64,5.0,4.27,1.6,3.47,128.9
2005,1,13,25.26,27.88,26.47,82.19,2.54,4.74,1.75,2.8,141.2
2005,1,14,25.19,28.6,26.54,84.02,1.43,5.2,3.66,4.76,70.3
2005,1,15,24.94,28.16,26.38,85.27,2.08,5.43,4.28,6.15,73.9
2005,1,16,24.79,27.54,26.01,85.21,27.26,4.43,5.25,6.54,72.7
2005,1,17,24.77,27.66,26.05,85.22,21.56,4.1,5.11,6.83,74.0
2005,1,18,25.2,28.0,26.34,84.4,8.48,5.16,2.17,2.9,72.1
2005,1,19,25.07,27.96,26.28,84.76,4.89,5.12,4.54,5.45,64.6
2005,1,20,24.8,28.33,26.41,83.75,1.32,5.45,6.1,7.54,72.3
2005,1,21,24.94,28.79,26.45,79.77,0.04,5.34,5.91,7.9,73.7
2005,1,22,24.92,28.65,26.52,80.87,0.57,5.41,5.47,6.4,72.9
2005,1,23,25.12,28.21,26.27,81.42,1.04,4.88,6.07,8.2,74.5
2005,1,24,24.73,27.49,25.94,82.08,5.77,4.29,4.11,4.83,65.8
2005,1,25,23.79,27.67,25.63,81.2,0.26,6.14,5.33,6.56,68.2
2005,1,26,23.94,27.98,25.81,80.84,0.16,4.97,4.68,6.17,53.5
2005,1,27,24.12,28.04,25.82,81.34,0.19,4.44,3.35,3.92,44.9
2005,1,28,23.94,27.55,25.48,83.73,13.68,2.86,3.93,5.16,32.0
2005,1,29,24.76,28.36,26.1,82.4,7.79,5.81,3.24,4.51,358.4
2005,1,30,24.58,27.83,26.01,82.22,2.72,4.75,3.56,5.29,12.1
2005,1,31,24.26,27.97,25.81,81.13,0.01,6.12,3.9,5.52,45.7
2005,2,1,23.69,28.31,25.9,80.15,0.22,5.74,3.45,5.36,36.0
2005,2,2,24.22,28.27,26.1,84.89,14.2,5.54,3.56,4.67,40.4
2005,2,3,24.73,28.63,26.58,82.29,2.24,5.28,3.81,5.73,59.4
2005,2,4,25.61,28.55,26.81,80.23,2.56,5.32,2.68,4.29,78.7
2005,2,5,25.22,27.8,26.39,87.63,2.08,4.79,3.53,4.97,61.0
2005,2,6,25.24,28.27,26.58,83.72,0.59,4.46,3.15,4.23,69.3
2005,2,7,24.64,28.97,26.64,78.14,0.03,4.83,5.04,7.33,53.7
2005,2,8,23.89,29.27,26.59,79.26,0.03,6.42,6.17,7.43,73.3
2005,2,9,25.14,29.43,26.97,78.24,0.01,6.16,4.98,6.39,61.2
2005,2,10,24.65,28.69,26.42,82.58,0.94,5.25,5.76,7.77,52.7
2005,2,11,24.77,29.09,26.67,82.89,0.49,5.68,5.28,7.22,64.0
2005,2,12,25.04,28.53,26.57,82.95,3.41,4.81,5.9,8.17,61.3
2005,2,13,24.81,29.41,26.84,77.47,0.12,6.16,5.43,7.44,66.0
2005,2,14,24.62,28.67,26.46,78.62,0.04,6.19,4.16,5.52,62.2
2005,2,15,24.4,28.81,26.59,80.75,0.01,5.82,4.38,6.54,58.5
2005,2,16,25.29,29.78,27.44,77.78,1.15,4.91,1.95,2.89,49.4
2005,2,17,25.52,27.21,26.21,82.29,6.4,2.91,2.53,2.98,12.7
