-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2005 through 06/30/2025 in LST
Location: latitude  5.1617   longitude 95.4359 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 513.22 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
2005,1,1,20.76,26.42,23.39,88.16,0.84,3.95,2.78,5.27,55.4
2005,1,2,21.83,27.28,23.91,87.18,2.83,3.84,3.21,6.04,61.6
2005,1,3,21.31,28.05,24.13,86.14,0.59,4.69,2.38,4.99,55.4
2005,1,4,22.38,24.35,23.25,92.8,0.68,3.9,2.34,3.84,59.1
2005,1,5,21.67,27.95,24.33,85.52,0.46,4.94,1.85,3.49,80.5
2005,1,6,22.57,25.64,23.62,90.05,0.95,4.25,1.82,3.66,80.5
2005,1,7,21.81,26.65,23.98,84.26,3.16,5.26,1.43,3.03,102.9
2005,1,8,21.92,25.14,23.22,88.76,11.18,4.28,1.79,3.18,169.3
2005,1,9,21.3,26.35,23.6,88.67,18.33,4.67,1.88,3.07,357.2
2005,1,10,22.24,25.67,23.53,91.6,19.38,4.23,1.89,3.12,225.7
2005,1,11,22.11,25.3,23.27,90.53,6.16,4.94,2.53,4.09,192.4
2005,1,12,22.03,27.07,24.18,85.28,4.66,4.27,1.48,2.52,182.5
2005,1,13,22.64,26.1,23.84,87.82,1.69,4.74,1.47,3.09,198.6
2005,1,14,22.55,28.32,24.7,85.96,0.95,5.2,1.44,2.71,75.3
2005,1,15,22.15,28.11,24.68,84.44,1.65,5.43,1.7,3.93,77.5
2005,1,16,21.66,27.18,24.03,86.18,39.91,4.43,2.37,4.16,65.8
2005,1,17,20.91,27.71,24.29,85.41,22.13,4.1,2.13,4.51,73.7
2005,1,18,22.69,26.3,24.3,86.17,2.52,5.16,1.26,2.0,298.6
2005,1,19,22.63,27.87,24.66,86.06,0.95,5.12,1.99,2.92,36.5
2005,1,20,21.56,28.55,24.78,85.17,1.27,5.45,2.73,4.78,78.3
2005,1,21,21.23,28.77,24.64,82.1,0.36,5.34,3.0,5.3,79.8
2005,1,22,21.59,28.41,24.64,82.58,0.27,5.41,1.98,3.4,57.2
2005,1,23,21.7,27.47,24.15,85.01,0.41,4.88,2.09,4.63,93.9
2005,1,24,21.68,28.02,24.26,82.44,6.54,4.29,2.21,3.74,42.2
2005,1,25,20.36,28.25,23.87,80.84,0.21,6.14,4.0,6.36,54.0
2005,1,26,20.89,27.78,24.03,80.79,0.03,4.97,3.21,5.21,48.4
2005,1,27,20.7,28.43,24.23,83.39,0.8,4.44,1.69,2.6,67.2
2005,1,28,21.82,27.78,24.1,84.4,6.26,2.86,2.64,3.64,24.1
2005,1,29,22.05,27.6,24.13,87.04,11.78,5.81,2.88,4.08,343.3
2005,1,30,21.59,27.31,24.06,85.84,2.15,4.75,3.01,4.22,0.1
2005,1,31,20.99,28.53,24.15,82.36,0.09,6.12,3.63,5.1,35.1
2005,2,1,20.65,28.71,24.1,81.57,0.06,5.74,2.99,3.86,33.3
2005,2,2,20.76,28.72,24.66,82.49,21.32,5.54,2.23,3.15,32.9
2005,2,3,22.11,29.61,25.35,80.15,2.05,5.28,2.57,4.09,70.3
2005,2,4,22.32,28.14,24.96,81.79,0.66,5.32,1.75,2.99,115.1
2005,2,5,22.48,27.37,24.77,86.75,0.62,4.79,1.4,2.86,51.8
2005,2,6,22.84,27.05,24.57,83.4,0.21,4.46,1.01,1.89,173.2
2005,2,7,20.84,28.34,24.5,82.67,0.02,4.83,3.34,5.68,42.8
2005,2,8,18.13,29.69,24.05,79.58,0.01,6.42,3.11,5.39,70.5
2005,2,9,21.33,29.62,25.05,79.51,0.0,6.16,2.25,3.25,40.6
2005,2,10,21.42,28.96,24.79,82.15,0.45,5.25,4.22,5.85,43.2
2005,2,11,21.32,29.74,25.18,82.18,1.09,5.68,2.9,5.05,58.6
