-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2005 through 06/30/2025 in LST
Location: latitude  4.514   longitude 95.7458 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 43.25 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
2005,1,1,26.39,28.94,27.21,81.03,3.2,3.04,2.86,5.89,266.7
2005,1,2,26.29,29.09,27.31,80.15,3.38,5.16,2.25,4.06,251.1
2005,1,3,26.14,29.37,27.5,79.83,2.79,5.15,3.03,5.31,222.5
2005,1,4,26.56,27.26,26.87,88.78,3.19,4.19,3.94,5.15,229.1
2005,1,5,26.27,27.88,26.86,85.83,2.97,3.74,3.89,5.57,181.7
2005,1,6,25.98,27.71,26.75,87.82,3.16,5.48,3.41,5.07,220.1
2005,1,7,25.62,27.82,26.67,84.09,3.99,5.7,2.45,3.51,173.3
2005,1,8,25.37,27.25,26.08,85.53,6.86,3.62,2.15,3.32,180.4
2005,1,9,25.57,27.35,26.6,84.38,10.19,5.02,3.34,5.53,235.5
2005,1,10,25.98,26.68,26.33,88.09,10.51,3.6,4.13,5.21,229.3
2005,1,11,25.49,27.06,26.17,87.68,4.5,4.57,3.03,3.84,199.3
2005,1,12,26.04,27.78,26.67,84.11,5.93,3.59,1.91,3.03,210.1
2005,1,13,25.97,27.56,26.72,84.25,2.99,4.83,1.42,2.72,214.7
2005,1,14,26.28,28.55,27.27,84.97,1.5,6.24,2.06,2.63,164.0
2005,1,15,26.36,28.18,27.02,84.75,3.14,5.88,2.48,3.55,197.8
2005,1,16,26.18,28.12,27.24,80.15,21.46,6.05,1.64,2.84,243.8
2005,1,17,26.71,30.29,28.01,75.56,14.03,4.71,2.81,5.19,205.3
2005,1,18,26.81,28.19,27.53,80.75,2.36,6.1,2.02,3.15,271.8
2005,1,19,26.65,29.6,28.09,78.14,2.62,4.86,1.58,3.63,261.7
2005,1,20,26.92,29.88,28.19,79.43,3.57,5.87,2.56,4.82,156.7
2005,1,21,26.98,29.45,28.08,77.27,2.65,5.81,3.47,4.96,113.1
2005,1,22,27.18,29.02,27.96,78.03,0.92,5.65,2.49,3.75,211.7
2005,1,23,26.37,28.26,27.4,79.28,0.34,6.18,2.94,5.28,209.6
2005,1,24,27.0,28.77,27.86,76.67,3.7,5.52,2.86,4.25,264.6
2005,1,25,26.23,31.58,28.78,67.27,0.18,6.51,3.23,6.11,40.5
2005,1,26,26.78,31.19,29.07,65.6,0.22,6.08,2.34,4.89,25.5
2005,1,27,27.21,28.88,27.93,79.23,6.4,3.92,2.7,5.12,185.0
