-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2005 through 06/30/2025 in LST
Location: latitude  4.714   longitude 97.883 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 52.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
2005,1,1,25.33,27.65,26.46,86.49,7.81,2.31,3.28,5.27,98.8
2005,1,2,25.14,26.83,26.08,84.05,12.61,2.17,3.18,6.55,23.6
2005,1,3,25.27,27.96,26.55,84.71,6.7,3.11,3.03,4.35,41.0
2005,1,4,25.07,27.88,26.5,83.98,4.51,3.69,2.75,4.26,7.6
2005,1,5,25.41,27.74,26.53,81.62,1.92,3.92,2.64,3.59,12.1
2005,1,6,24.54,27.85,26.32,82.19,0.96,3.59,3.27,4.75,5.6
2005,1,7,24.65,28.38,26.69,79.59,0.26,5.3,2.38,2.8,21.1
2005,1,8,25.66,27.98,26.59,82.78,1.17,3.45,2.49,3.55,41.8
2005,1,9,25.51,27.74,26.55,84.09,1.16,4.01,2.96,4.4,64.4
2005,1,10,25.45,28.21,26.64,83.43,2.83,3.79,3.53,5.69,100.4
2005,1,11,25.4,28.3,26.78,86.27,6.67,4.46,4.32,5.35,115.1
2005,1,12,25.98,26.82,26.41,88.9,15.43,3.95,3.2,5.13,37.4
2005,1,13,25.5,28.04,26.6,84.49,6.89,4.52,1.66,2.36,62.2
2005,1,14,25.63,28.71,26.96,82.76,6.45,4.6,2.35,3.49,92.6
2005,1,15,25.65,28.41,26.8,85.18,7.59,4.39,2.49,3.68,118.6
2005,1,16,24.89,28.52,26.62,82.52,4.0,3.79,2.26,3.49,78.8
2005,1,17,25.48,27.21,26.41,85.95,11.21,3.6,2.23,2.87,71.0
2005,1,18,25.14,28.3,26.48,83.49,7.62,4.15,2.34,3.11,103.0
2005,1,19,25.71,28.49,27.05,81.46,1.62,4.26,2.03,3.66,77.9
2005,1,20,25.36,28.13,26.81,82.68,13.02,4.7,2.24,3.71,31.1
2005,1,21,25.43,29.11,27.1,77.12,0.24,5.05,2.29,3.49,66.4
2005,1,22,25.9,29.26,27.38,76.21,0.78,5.05,1.84,2.6,95.0
2005,1,23,25.38,27.85,26.71,80.34,1.0,4.72,2.56,3.31,72.7
2005,1,24,25.88,28.84,27.15,78.4,0.28,4.27,2.46,4.04,77.6
2005,1,25,25.57,28.59,26.89,75.83,0.1,4.93,2.62,2.87,351.1
2005,1,26,24.6,28.68,26.6,74.37,0.05,5.34,2.82,3.53,327.5
2005,1,27,25.36,28.64,26.93,74.03,0.08,4.94,2.0,3.32,10.6
2005,1,28,25.19,28.22,26.55,76.62,0.57,3.8,3.21,4.6,341.6
2005,1,29,25.19,28.44,26.53,82.12,18.43,4.63,2.92,4.03,337.0
2005,1,30,24.67,28.04,26.34,85.94,8.38,4.81,3.79,4.41,330.8
2005,1,31,24.7,28.27,26.56,82.67,1.26,5.46,3.17,3.71,316.6
2005,2,1,25.06,27.95,26.67,82.5,0.74,5.18,3.21,3.63,321.4
2005,2,2,25.21,28.81,27.08,80.8,0.42,5.54,2.68,3.32,336.9
2005,2,3,25.91,28.58,27.38,76.73,0.37,5.13,2.24,4.1,355.8
2005,2,4,26.57,28.85,27.61,78.54,0.41,4.17,1.83,2.97,350.8
2005,2,5,26.2,28.32,27.23,85.58,0.75,4.52,2.86,3.34,338.4
2005,2,6,26.84,28.55,27.53,81.71,0.14,4.41,2.84,4.1,17.0
2005,2,7,26.06,29.51,27.53,77.98,0.0,5.59,3.42,4.62,350.1
2005,2,8,24.81,29.17,27.17,75.86,0.01,6.54,2.1,2.81,343.9
2005,2,9,25.95,29.04,27.42,78.98,0.0,6.25,2.42,3.84,351.1
2005,2,10,25.75,29.3,27.51,78.48,0.31,4.07,2.99,3.69,337.3
2005,2,11,25.94,29.32,27.59,80.01,2.12,5.36,2.84,3.64,337.9
2005,2,12,26.01,29.64,27.69,80.47,1.52,4.68,2.88,3.6,7.2
2005,2,13,26.17,29.0,27.43,77.45,1.05,5.27,3.26,4.08,354.0
2005,2,14,25.4,29.93,27.58,74.99,0.02,5.91,2.68,3.22,333.8
2005,2,15,26.25,30.15,28.07,76.2,0.0,4.99,2.26,2.76,15.1
2005,2,16,26.62,30.23,28.27,78.5,0.69,4.46,2.35,3.74,347.7
2005,2,17,26.74,28.58,27.58,83.74,2.58,3.67,3.98,4.67,345.7
2005,2,18,26.04,29.09,27.51,80.81,1.63,5.09,2.59,3.72,318.8
2005,2,19,25.86,29.89,27.84,78.37,0.83,5.68,2.59,2.95,322.2
2005,2,20,26.08,29.55,27.85,76.52,6.13,4.38,1.98,2.61,338.3
2005,2,21,26.23,30.67,28.22,70.94,0.01,5.58,2.07,3.06,101.0
2005,2,22,26.71,30.58,28.52,70.19,0.0,5.57,1.59,2.74,87.1
2005,2,23,26.62,30.16,28.47,72.27,0.0,5.39,2.14,3.42,17.8
2005,2,24,26.39,30.87,28.64,73.01,0.14,6.14,2.45,3.13,356.3
2005,2,25,26.81,30.73,28.55,76.31,0.02,5.48,3.1,4.74,334.4
2005,2,26,27.0,29.62,28.26,80.23,2.76,3.95,3.63,4.39,338.7
2005,2,27,27.14,29.75,28.24,79.22,2.29,4.27,3.82,5.59,335.0
2005,2,28,26.16,29.35,27.74,82.03,2.0,2.98,3.09,4.13,331.5
2005,3,1,26.57,29.67,28.09,79.69,9.58,5.68,1.53,2.43,5.4
2005,3,2,26.91,29.97,28.26,80.31,6.24,5.03,1.73,2.75,132.7
2005,3,3,27.04,29.54,28.17,78.89,3.19,5.33,1.75,3.35,44.3
2005,3,4,27.35,30.45,28.67,74.74,1.14,5.1,1.25,1.82,42.0
2005,3,5,27.0,29.74,28.41,74.59,1.67,4.08,1.37,2.36,75.9
2005,3,6,26.86,29.22,27.9,75.31,1.59,5.26,2.59,4.93,82.6
2005,3,7,26.53,29.28,27.87,79.25,1.59,5.29,3.28,4.63,89.7
2005,3,8,26.52,29.29,27.83,77.03,0.44,5.55,1.92,3.35,64.8
2005,3,9,26.56,29.34,27.81,77.43,0.04,5.25,3.61,4.96,11.8
2005,3,10,25.8,30.0,27.57,76.27,0.13,5.0,3.77,5.59,327.5
2005,3,11,25.33,29.8,27.48,76.56,0.08,5.29,3.2,4.21,333.5
2005,3,12,25.48,29.93,27.63,79.04,0.0,5.5,3.02,3.71,330.3
2005,3,13,26.41,29.08,27.75,80.43,0.03,4.85,3.02,3.96,352.0
2005,3,14,25.88,29.27,27.59,78.27,1.66,4.72,3.24,4.36,320.9
2005,3,15,26.08,30.17,28.07,76.19,0.88,5.13,2.22,3.49,83.0
