_id,forecast_date,split_ratio,config_id,timestamp,parameters.RR_imputed.forecast_value,parameters.RR_imputed.model_metadata.alpha,parameters.RR_imputed.model_metadata.beta,parameters.RR_imputed.model_metadata.gamma,parameters.RR_imputed.model_metadata.use_seasonal,parameters.RR_imputed.model_metadata.seasonal_periods,parameters.RR_imputed.model_metadata.lambda_boxcox,parameters.TAVG.forecast_value,parameters.TAVG.model_metadata.alpha,parameters.TAVG.model_metadata.beta,parameters.TAVG.model_metadata.gamma,parameters.TAVG.model_metadata.use_seasonal,parameters.TAVG.model_metadata.seasonal_periods,parameters.TAVG.model_metadata.lambda_boxcox,parameters.RH_AVG_preprocessed.forecast_value,parameters.RH_AVG_preprocessed.model_metadata.alpha,parameters.RH_AVG_preprocessed.model_metadata.beta,parameters.RH_AVG_preprocessed.model_metadata.gamma,parameters.RH_AVG_preprocessed.model_metadata.use_seasonal,parameters.RH_AVG_preprocessed.model_metadata.seasonal_periods,parameters.RH_AVG_preprocessed.model_metadata.lambda_boxcox,parameters.ALLSKY_SFC_SW_DWN.forecast_value,parameters.ALLSKY_SFC_SW_DWN.model_metadata.alpha,parameters.ALLSKY_SFC_SW_DWN.model_metadata.beta,parameters.ALLSKY_SFC_SW_DWN.model_metadata.gamma,parameters.ALLSKY_SFC_SW_DWN.model_metadata.use_seasonal,parameters.ALLSKY_SFC_SW_DWN.model_metadata.seasonal_periods,parameters.ALLSKY_SFC_SW_DWN.model_metadata.lambda_boxcox
696216e2aea0d23a7f0be6d2,2025-10-01,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913591,7.5569545580064705,0.3,0.1,0.3,true,182,,29.175154725680382,0.5,0.1,0.5,true,730,,67.92304903539116,0.5,0.3,0.5,true,365,,17.988320602748765,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6d3,2025-10-02,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913650,0,0.3,0.1,0.3,true,182,,29.5299179835481,0.5,0.1,0.5,true,730,,68.34725997378075,0.5,0.3,0.5,true,365,,18.008288842671757,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6d4,2025-10-03,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913688,0,0.3,0.1,0.3,true,182,,29.697169092961406,0.5,0.1,0.5,true,730,,70.62595401956999,0.5,0.3,0.5,true,365,,17.524478864017542,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6d5,2025-10-04,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913722,2.282036832713337,0.3,0.1,0.3,true,182,,29.149223632556197,0.5,0.1,0.5,true,730,,72.678052587512,0.5,0.3,0.5,true,365,,17.770072777337205,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6d6,2025-10-05,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913750,4.703703133432022,0.3,0.1,0.3,true,182,,28.974032257481653,0.5,0.1,0.5,true,730,,71.57259166348784,0.5,0.3,0.5,true,365,,17.25264535197972,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6d7,2025-10-06,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913777,0.05238349882964144,0.3,0.1,0.3,true,182,,29.63789994794134,0.5,0.1,0.5,true,730,,69.39926559272934,0.5,0.3,0.5,true,365,,18.13402451414831,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6d8,2025-10-07,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913802,1.9208705711058922,0.3,0.1,0.3,true,182,,29.47344280259158,0.5,0.1,0.5,true,730,,75.41044921166382,0.5,0.3,0.5,true,365,,17.86208975103837,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6d9,2025-10-08,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913835,0,0.3,0.1,0.3,true,182,,29.31807596679007,0.5,0.1,0.5,true,730,,75.82026304168741,0.5,0.3,0.5,true,365,,18.658131151079903,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6da,2025-10-09,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913860,0,0.3,0.1,0.3,true,182,,28.944187365709624,0.5,0.1,0.5,true,730,,72.90946653659763,0.5,0.3,0.5,true,365,,18.0997843692498,0.3,0.1,0.5,true,365,
696216e2aea0d23a7f0be6db,2025-10-10,70:30,696214b20098e8183c290a34,2026-01-10T16:06:32.913884,3.043165132220652,0.3,0.1,0.3,true,182,,29.307651675166888,0.5,0.1,0.5,true,730,,71.98164201867529,0.5,0.3,0.5,true,365,,19.049665530403175,0.3,0.1,0.5,true,365,
