_id,Date,Year,Month,Day,RH_AVG_preprocessed,__v
68917a8d3cfdbc8f3403e614,2005-01-01,2005,1,1,90,0
68917a8d3cfdbc8f3403e615,2005-01-02,2005,1,2,90,0
68917a8d3cfdbc8f3403e616,2005-01-03,2005,1,3,90,0
68917a8d3cfdbc8f3403e617,2005-01-04,2005,1,4,89,0
68917a8d3cfdbc8f3403e618,2005-01-05,2005,1,5,88,0
68917a8d3cfdbc8f3403e619,2005-01-06,2005,1,6,89,0
68917a8d3cfdbc8f3403e61a,2005-01-07,2005,1,7,89,0
68917a8d3cfdbc8f3403e61b,2005-01-08,2005,1,8,90,0
68917a8d3cfdbc8f3403e61c,2005-01-09,2005,1,9,91,0
68917a8d3cfdbc8f3403e61d,2005-01-10,2005,1,10,94,0
68917a8d3cfdbc8f3403e61e,2005-01-11,2005,1,11,94,0
68917a8d3cfdbc8f3403e61f,2005-01-12,2005,1,12,90,0
68917a8d3cfdbc8f3403e620,2005-01-13,2005,1,13,89,0
68917a8d3cfdbc8f3403e621,2005-01-14,2005,1,14,91,0
68917a8d3cfdbc8f3403e622,2005-01-15,2005,1,15,93,0
68917a8d3cfdbc8f3403e623,2005-01-16,2005,1,16,92,0
68917a8d3cfdbc8f3403e624,2005-01-17,2005,1,17,94,0
68917a8d3cfdbc8f3403e625,2005-01-18,2005,1,18,94,0
68917a8d3cfdbc8f3403e626,2005-01-19,2005,1,19,91,0
68917a8d3cfdbc8f3403e627,2005-01-20,2005,1,20,93,0
68917a8d3cfdbc8f3403e628,2005-01-21,2005,1,21,88,0
68917a8d3cfdbc8f3403e629,2005-01-22,2005,1,22,90,0
68917a8d3cfdbc8f3403e62a,2005-01-23,2005,1,23,92,0
68917a8d3cfdbc8f3403e62b,2005-01-24,2005,1,24,95,0
68917a8d3cfdbc8f3403e62c,2005-01-25,2005,1,25,90,0
68917a8d3cfdbc8f3403e62d,2005-01-26,2005,1,26,89,0
68917a8d3cfdbc8f3403e62e,2005-01-27,2005,1,27,93,0
68917a8d3cfdbc8f3403e62f,2005-01-28,2005,1,28,95,0
68917a8d3cfdbc8f3403e630,2005-01-29,2005,1,29,93,0
68917a8d3cfdbc8f3403e631,2005-01-30,2005,1,30,93,0
68917a8d3cfdbc8f3403e632,2005-01-31,2005,1,31,89,0
68917a8d3cfdbc8f3403e633,2005-02-01,2005,2,1,89,0
