_id,Date,Year,month,day,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M,__v
6958bb42a2106ae9c65ee81b,2005-01-01T00:00:00.000Z,2005,1,1,26.17,27.87,24.77,84.23,1.63,14.22,7.12,9.52,66,0
6958bb42a2106ae9c65ee81c,2005-01-02T00:00:00.000Z,2005,1,2,26.02,27.62,25.15,84.35,6.18,13.83,8.04,9.78,65.3,0
6958bb42a2106ae9c65ee81d,2005-01-03T00:00:00.000Z,2005,1,3,26.2,28.18,24.86,83.18,1.44,16.88,6.62,8.48,65.6,0
6958bb42a2106ae9c65ee81e,2005-01-04T00:00:00.000Z,2005,1,4,25.73,26.9,24.93,86.02,1.56,14.05,6.3,7.33,55.4,0
6958bb42a2106ae9c65ee81f,2005-01-05T00:00:00.000Z,2005,1,5,26.25,28.23,24.93,82.9,0.38,17.77,5.17,6.35,68.1,0
6958bb42a2106ae9c65ee820,2005-01-06T00:00:00.000Z,2005,1,6,25.68,26.67,24.95,86.52,3.73,15.29,5.62,6.68,71.5,0
6958bb42a2106ae9c65ee821,2005-01-07T00:00:00.000Z,2005,1,7,26.11,28.15,24.72,81.33,2.29,18.95,4.37,5.95,83.6,0
6958bb42a2106ae9c65ee822,2005-01-08T00:00:00.000Z,2005,1,8,25.83,27.23,24.65,83.54,16.21,15.4,2.23,3.33,94.6,0
6958bb42a2106ae9c65ee823,2005-01-09T00:00:00.000Z,2005,1,9,25.81,27.43,24.52,86.49,17,16.81,3.9,5.92,69.3,0
6958bb42a2106ae9c65ee824,2005-01-10T00:00:00.000Z,2005,1,10,25.83,26.98,24.99,87.48,20.31,15.23,3.73,5.57,72.5,0
6958bb42a2106ae9c65ee825,2005-01-11T00:00:00.000Z,2005,1,11,26.01,27.94,24.68,84.02,11.53,17.79,2.91,3.86,159.6,0
6958bb42a2106ae9c65ee826,2005-01-12T00:00:00.000Z,2005,1,12,26.29,27.99,24.99,81.64,5,15.36,1.6,3.47,128.9,0
6958bb42a2106ae9c65ee827,2005-01-13T00:00:00.000Z,2005,1,13,26.47,27.88,25.26,82.19,2.54,17.07,1.75,2.8,141.2,0
6958bb42a2106ae9c65ee828,2005-01-14T00:00:00.000Z,2005,1,14,26.54,28.6,25.19,84.02,1.43,18.74,3.66,4.76,70.3,0
6958bb42a2106ae9c65ee829,2005-01-15T00:00:00.000Z,2005,1,15,26.38,28.16,24.94,85.27,2.08,19.53,4.28,6.15,73.9,0
6958bb42a2106ae9c65ee82a,2005-01-16T00:00:00.000Z,2005,1,16,26.01,27.54,24.79,85.21,27.26,15.93,5.25,6.54,72.7,0
6958bb42a2106ae9c65ee82b,2005-01-17T00:00:00.000Z,2005,1,17,26.05,27.66,24.77,85.22,21.56,14.76,5.11,6.83,74,0
6958bb42a2106ae9c65ee82c,2005-01-18T00:00:00.000Z,2005,1,18,26.34,28,25.2,84.4,8.48,18.59,2.17,2.9,72.1,0
6958bb42a2106ae9c65ee82d,2005-01-19T00:00:00.000Z,2005,1,19,26.28,27.96,25.07,84.76,4.89,18.42,4.54,5.45,64.6,0
6958bb42a2106ae9c65ee82e,2005-01-20T00:00:00.000Z,2005,1,20,26.41,28.33,24.8,83.75,1.32,19.63,6.1,7.54,72.3,0
6958bb42a2106ae9c65ee82f,2005-01-21T00:00:00.000Z,2005,1,21,26.45,28.79,24.94,79.77,0.04,19.23,5.91,7.9,73.7,0
6958bb42a2106ae9c65ee830,2005-01-22T00:00:00.000Z,2005,1,22,26.52,28.65,24.92,80.87,0.57,19.47,5.47,6.4,72.9,0
6958bb42a2106ae9c65ee831,2005-01-23T00:00:00.000Z,2005,1,23,26.27,28.21,25.12,81.42,1.04,17.56,6.07,8.2,74.5,0
6958bb42a2106ae9c65ee832,2005-01-24T00:00:00.000Z,2005,1,24,25.94,27.49,24.73,82.08,5.77,15.43,4.11,4.83,65.8,0
6958bb42a2106ae9c65ee833,2005-01-25T00:00:00.000Z,2005,1,25,25.63,27.67,23.79,81.2,0.26,22.12,5.33,6.56,68.2,0
6958bb42a2106ae9c65ee834,2005-01-26T00:00:00.000Z,2005,1,26,25.81,27.98,23.94,80.84,0.16,17.89,4.68,6.17,53.5,0
6958bb42a2106ae9c65ee835,2005-01-27T00:00:00.000Z,2005,1,27,25.82,28.04,24.12,81.34,0.19,15.97,3.35,3.92,44.9,0
6958bb42a2106ae9c65ee836,2005-01-28T00:00:00.000Z,2005,1,28,25.48,27.55,23.94,83.73,13.68,10.29,3.93,5.16,32,0
6958bb42a2106ae9c65ee837,2005-01-29T00:00:00.000Z,2005,1,29,26.1,28.36,24.76,82.4,7.79,20.92,3.24,4.51,358.4,0
6958bb42a2106ae9c65ee838,2005-01-30T00:00:00.000Z,2005,1,30,26.01,27.83,24.58,82.22,2.72,17.1,3.56,5.29,12.1,0
6958bb42a2106ae9c65ee839,2005-01-31T00:00:00.000Z,2005,1,31,25.81,27.97,24.26,81.13,0.01,22.03,3.9,5.52,45.7,0
6958bb42a2106ae9c65ee83a,2005-02-01T00:00:00.000Z,2005,2,1,25.9,28.31,23.69,80.15,0.22,20.66,3.45,5.36,36,0
6958bb42a2106ae9c65ee83b,2005-02-02T00:00:00.000Z,2005,2,2,26.1,28.27,24.22,84.89,14.2,19.95,3.56,4.67,40.4,0
6958bb42a2106ae9c65ee83c,2005-02-03T00:00:00.000Z,2005,2,3,26.58,28.63,24.73,82.29,2.24,19.01,3.81,5.73,59.4,0
6958bb42a2106ae9c65ee83d,2005-02-04T00:00:00.000Z,2005,2,4,26.81,28.55,25.61,80.23,2.56,19.17,2.68,4.29,78.7,0
6958bb42a2106ae9c65ee83e,2005-02-05T00:00:00.000Z,2005,2,5,26.39,27.8,25.22,87.63,2.08,17.24,3.53,4.97,61,0
6958bb42a2106ae9c65ee83f,2005-02-06T00:00:00.000Z,2005,2,6,26.58,28.27,25.24,83.72,0.59,16.06,3.15,4.23,69.3,0
6958bb42a2106ae9c65ee840,2005-02-07T00:00:00.000Z,2005,2,7,26.64,28.97,24.64,78.14,0.03,17.39,5.04,7.33,53.7,0
6958bb42a2106ae9c65ee841,2005-02-08T00:00:00.000Z,2005,2,8,26.59,29.27,23.89,79.26,0.03,23.11,6.17,7.43,73.3,0
6958bb42a2106ae9c65ee842,2005-02-09T00:00:00.000Z,2005,2,9,26.97,29.43,25.14,78.24,0.01,22.17,4.98,6.39,61.2,0
6958bb42a2106ae9c65ee843,2005-02-10T00:00:00.000Z,2005,2,10,26.42,28.69,24.65,82.58,0.94,18.9,5.76,7.77,52.7,0
6958bb42a2106ae9c65ee844,2005-02-11T00:00:00.000Z,2005,2,11,26.67,29.09,24.77,82.89,0.49,20.46,5.28,7.22,64,0
6958bb42a2106ae9c65ee845,2005-02-12T00:00:00.000Z,2005,2,12,26.57,28.53,25.04,82.95,3.41,17.32,5.9,8.17,61.3,0
6958bb42a2106ae9c65ee846,2005-02-13T00:00:00.000Z,2005,2,13,26.84,29.41,24.81,77.47,0.12,22.19,5.43,7.44,66,0
6958bb42a2106ae9c65ee847,2005-02-14T00:00:00.000Z,2005,2,14,26.46,28.67,24.62,78.62,0.04,22.27,4.16,5.52,62.2,0
6958bb42a2106ae9c65ee848,2005-02-15T00:00:00.000Z,2005,2,15,26.59,28.81,24.4,80.75,0.01,20.96,4.38,6.54,58.5,0
6958bb42a2106ae9c65ee849,2005-02-16T00:00:00.000Z,2005,2,16,27.44,29.78,25.29,77.78,1.15,17.66,1.95,2.89,49.4,0
6958bb42a2106ae9c65ee84a,2005-02-17T00:00:00.000Z,2005,2,17,26.21,27.21,25.52,82.29,6.4,10.48,2.53,2.98,12.7,0
6958bb42a2106ae9c65ee84b,2005-02-18T00:00:00.000Z,2005,2,18,27.1,29.59,25.02,76.61,0.15,19.97,3.64,4.92,43.5,0
6958bb42a2106ae9c65ee84c,2005-02-19T00:00:00.000Z,2005,2,19,26.94,29.07,25.36,80.3,0.24,19.99,4.97,6.46,41.4,0
6958bb42a2106ae9c65ee84d,2005-02-20T00:00:00.000Z,2005,2,20,26.88,29.24,25.07,80,0.09,21.99,5.2,7.58,61.3,0
6958bb42a2106ae9c65ee84e,2005-02-21T00:00:00.000Z,2005,2,21,27.3,29.9,24.96,76.77,0.15,20.93,4.66,6.06,75.4,0
6958bb42a2106ae9c65ee84f,2005-02-22T00:00:00.000Z,2005,2,22,27.82,30.32,25.65,74.7,0.41,19.34,4.27,5.28,65.4,0
6958bb42a2106ae9c65ee850,2005-02-23T00:00:00.000Z,2005,2,23,27.39,29.53,25.92,78.21,0.01,20.64,4.92,6.81,56.8,0
6958bb42a2106ae9c65ee851,2005-02-24T00:00:00.000Z,2005,2,24,27.46,30.11,25.21,75.47,0,22.81,4.09,5.54,56.4,0
6958bb42a2106ae9c65ee852,2005-02-25T00:00:00.000Z,2005,2,25,27.01,28.83,25.71,80.38,0.43,18.54,2.62,3.33,21.8,0
6958bb42a2106ae9c65ee853,2005-02-26T00:00:00.000Z,2005,2,26,27.13,29.43,25.67,79.34,7.7,12.45,2.31,3.18,356.2,0
6958bb42a2106ae9c65ee854,2005-02-27T00:00:00.000Z,2005,2,27,27.58,30.25,25.74,76.23,3.41,21.07,1.63,2.75,300.5,0
6958bb42a2106ae9c65ee855,2005-02-28T00:00:00.000Z,2005,2,28,26.83,28.24,25.73,83.44,2.97,10.42,3.19,4.33,349.7,0
6958bb42a2106ae9c65ee856,2005-03-01T00:00:00.000Z,2005,3,1,27.09,28.27,26.07,85.33,4.15,19.24,3.95,6.96,51.2,0
6958bb42a2106ae9c65ee857,2005-03-02T00:00:00.000Z,2005,3,2,27.88,29.98,26.44,76.51,5.73,16.96,3.25,5.16,190.9,0
6958bb42a2106ae9c65ee858,2005-03-03T00:00:00.000Z,2005,3,3,27.52,30.14,25.83,78.21,2.72,19.62,3.38,4.43,86.4,0
6958bb42a2106ae9c65ee859,2005-03-04T00:00:00.000Z,2005,3,4,27.41,29.42,26.05,81.31,2.64,19.12,3.94,5.87,64.6,0
6958bb42a2106ae9c65ee85a,2005-03-05T00:00:00.000Z,2005,3,5,27.36,28.93,26.04,80.67,1.2,19.88,5.74,7.8,72.6,0
