_id,Date,Year,Month,Day,TN,TX,TAVG,__v
689175a03cfdbc8f3403c526,2005-01-01,2005,1,1,21,33.2,27.1,0
689175a03cfdbc8f3403c527,2005-01-02,2005,1,2,22,33,27.5,0
689175a03cfdbc8f3403c528,2005-01-03,2005,1,3,21,33,27,0
689175a03cfdbc8f3403c529,2005-01-04,2005,1,4,22,33,27.5,0
689175a03cfdbc8f3403c52a,2005-01-05,2005,1,5,21,32.8,26.9,0
689175a03cfdbc8f3403c52b,2005-01-06,2005,1,6,22,32,27,0
689175a03cfdbc8f3403c52c,2005-01-07,2005,1,7,21,32.4,26.7,0
689175a03cfdbc8f3403c52d,2005-01-08,2005,1,8,22,33,27.5,0
689175a03cfdbc8f3403c52e,2005-01-09,2005,1,9,21,33,27,0
689175a03cfdbc8f3403c52f,2005-01-10,2005,1,10,22,32.6,27.3,0
689175a03cfdbc8f3403c530,2005-01-11,2005,1,11,21,32.6,26.8,0
689175a03cfdbc8f3403c531,2005-01-12,2005,1,12,20,32.4,26.2,0
689175a03cfdbc8f3403c532,2005-01-13,2005,1,13,21,33,27,0
689175a03cfdbc8f3403c533,2005-01-14,2005,1,14,21,33,27,0
689175a03cfdbc8f3403c534,2005-01-15,2005,1,15,21,33,27,0
689175a03cfdbc8f3403c535,2005-01-16,2005,1,16,23,33.4,28.2,0
689175a03cfdbc8f3403c536,2005-01-17,2005,1,17,20,33.4,26.7,0
689175a03cfdbc8f3403c537,2005-01-18,2005,1,18,23,33.4,28.2,0
689175a03cfdbc8f3403c538,2005-01-19,2005,1,19,20,33.4,26.7,0
689175a03cfdbc8f3403c539,2005-01-20,2005,1,20,23,33.4,28.2,0
689175a03cfdbc8f3403c53a,2005-01-21,2005,1,21,20,33.4,26.7,0
689175a03cfdbc8f3403c53b,2005-01-22,2005,1,22,23,33.4,28.2,0
689175a03cfdbc8f3403c53c,2005-01-23,2005,1,23,19,33.4,26.2,0
689175a03cfdbc8f3403c53d,2005-01-24,2005,1,24,22,33.4,27.7,0
689175a03cfdbc8f3403c53e,2005-01-25,2005,1,25,19,33.4,26.2,0
689175a03cfdbc8f3403c53f,2005-01-26,2005,1,26,22,33.4,27.7,0
689175a03cfdbc8f3403c540,2005-01-27,2005,1,27,19,33.4,26.2,0
689175a03cfdbc8f3403c541,2005-01-28,2005,1,28,22,33.4,27.7,0
689175a03cfdbc8f3403c542,2005-01-29,2005,1,29,19,33.4,26.2,0
689175a03cfdbc8f3403c543,2005-01-30,2005,1,30,22,33.4,27.7,0
689175a03cfdbc8f3403c544,2005-01-31,2005,1,31,19,33.4,26.2,0
689175a03cfdbc8f3403c545,2005-02-01,2005,2,1,21,33.4,27.2,0
689175a03cfdbc8f3403c546,2005-02-02,2005,2,2,21,33.4,27.2,0
689175a03cfdbc8f3403c547,2005-02-03,2005,2,3,20,33.4,26.7,0
689175a03cfdbc8f3403c548,2005-02-04,2005,2,4,21,33.6,27.3,0
689175a03cfdbc8f3403c549,2005-02-05,2005,2,5,23,33.4,28.2,0
689175a03cfdbc8f3403c54a,2005-02-06,2005,2,6,20,32.8,26.4,0
689175a03cfdbc8f3403c54b,2005-02-07,2005,2,7,22,32.8,27.4,0
689175a03cfdbc8f3403c54c,2005-02-08,2005,2,8,21,33.6,27.3,0
689175a03cfdbc8f3403c54d,2005-02-09,2005,2,9,20,32.4,26.2,0
689175a03cfdbc8f3403c54e,2005-02-10,2005,2,10,20,32.8,26.4,0
689175a03cfdbc8f3403c54f,2005-02-11,2005,2,11,20,32.8,26.4,0
689175a03cfdbc8f3403c550,2005-02-12,2005,2,12,20,33,26.5,0
689175a03cfdbc8f3403c551,2005-02-13,2005,2,13,20,33.2,26.6,0
689175a03cfdbc8f3403c552,2005-02-14,2005,2,14,20,33.6,26.8,0
689175a03cfdbc8f3403c553,2005-02-15,2005,2,15,20,33.6,26.8,0
689175a03cfdbc8f3403c554,2005-02-16,2005,2,16,20,33.6,26.8,0
689175a03cfdbc8f3403c555,2005-02-17,2005,2,17,21,33.6,27.3,0
689175a03cfdbc8f3403c556,2005-02-18,2005,2,18,20,33.6,26.8,0
689175a03cfdbc8f3403c557,2005-02-19,2005,2,19,21,33.6,27.3,0
689175a03cfdbc8f3403c558,2005-02-20,2005,2,20,20,33.6,26.8,0
689175a03cfdbc8f3403c559,2005-02-21,2005,2,21,20,33.6,26.8,0
689175a03cfdbc8f3403c55a,2005-02-22,2005,2,22,20,34,27,0
689175a03cfdbc8f3403c55b,2005-02-23,2005,2,23,20,34,27,0
689175a03cfdbc8f3403c55c,2005-02-24,2005,2,24,20,34.4,27.2,0
689175a03cfdbc8f3403c55d,2005-02-25,2005,2,25,20,34.4,27.2,0
689175a03cfdbc8f3403c55e,2005-02-26,2005,2,26,20,34,27,0
689175a03cfdbc8f3403c55f,2005-02-27,2005,2,27,20,34.4,27.2,0
689175a03cfdbc8f3403c560,2005-02-28,2005,2,28,20,34,27,0
689175a03cfdbc8f3403c561,2005-03-01,2005,3,1,20,35,27.5,0
689175a03cfdbc8f3403c562,2005-03-02,2005,3,2,20,35,27.5,0
689175a03cfdbc8f3403c563,2005-03-03,2005,3,3,20,35,27.5,0
689175a03cfdbc8f3403c564,2005-03-04,2005,3,4,20,35,27.5,0
689175a03cfdbc8f3403c565,2005-03-05,2005,3,5,20,35,27.5,0
689175a03cfdbc8f3403c566,2005-03-06,2005,3,6,20,35,27.5,0
689175a03cfdbc8f3403c567,2005-03-07,2005,3,7,20,35,27.5,0
689175a03cfdbc8f3403c568,2005-03-08,2005,3,8,20,35,27.5,0
689175a03cfdbc8f3403c569,2005-03-09,2005,3,9,20,35,27.5,0
689175a03cfdbc8f3403c56a,2005-03-10,2005,3,10,20,35,27.5,0
689175a03cfdbc8f3403c56b,2005-03-11,2005,3,11,20,35,27.5,0
689175a03cfdbc8f3403c56c,2005-03-12,2005,3,12,20,35,27.5,0
689175a03cfdbc8f3403c56d,2005-03-13,2005,3,13,20,35,27.5,0
689175a03cfdbc8f3403c56e,2005-03-14,2005,3,14,20,35,27.5,0
689175a03cfdbc8f3403c56f,2005-03-15,2005,3,15,20,35,27.5,0
689175a03cfdbc8f3403c570,2005-03-16,2005,3,16,20,33.8,26.9,0
689175a03cfdbc8f3403c571,2005-03-17,2005,3,17,20,33,26.5,0
689175a03cfdbc8f3403c572,2005-03-18,2005,3,18,20,33.8,26.9,0
689175a03cfdbc8f3403c573,2005-03-19,2005,3,19,20,33.8,26.9,0
689175a03cfdbc8f3403c574,2005-03-20,2005,3,20,20,34,27,0
689175a03cfdbc8f3403c575,2005-03-21,2005,3,21,19,33.8,26.4,0
689175a03cfdbc8f3403c576,2005-03-22,2005,3,22,19,33.8,26.4,0
689175a03cfdbc8f3403c577,2005-03-23,2005,3,23,19,33.8,26.4,0
689175a03cfdbc8f3403c578,2005-03-24,2005,3,24,19,33.8,26.4,0
689175a03cfdbc8f3403c579,2005-03-25,2005,3,25,19,33.8,26.4,0
689175a03cfdbc8f3403c57a,2005-03-26,2005,3,26,19,33.8,26.4,0
689175a03cfdbc8f3403c57b,2005-03-27,2005,3,27,19,33.8,26.4,0
689175a03cfdbc8f3403c57c,2005-03-28,2005,3,28,19,32.4,25.7,0
689175a03cfdbc8f3403c57d,2005-03-29,2005,3,29,19,32.8,25.9,0
689175a03cfdbc8f3403c57e,2005-03-30,2005,3,30,19,32.8,25.9,0
689175a03cfdbc8f3403c57f,2005-03-31,2005,3,31,19,32.8,25.9,0
689175a03cfdbc8f3403c580,2005-04-01,2005,4,1,19,32.8,25.9,0
689175a03cfdbc8f3403c581,2005-04-02,2005,4,2,19,32.8,25.9,0
689175a03cfdbc8f3403c582,2005-04-03,2005,4,3,19,33.4,26.2,0
689175a03cfdbc8f3403c583,2005-04-04,2005,4,4,19,33.6,26.3,0
689175a03cfdbc8f3403c584,2005-04-05,2005,4,5,19,34.4,26.7,0
689175a03cfdbc8f3403c585,2005-04-06,2005,4,6,19,34.4,26.7,0
689175a03cfdbc8f3403c586,2005-04-07,2005,4,7,19,34.4,26.7,0
689175a03cfdbc8f3403c587,2005-04-08,2005,4,8,19,34.4,26.7,0
689175a03cfdbc8f3403c588,2005-04-09,2005,4,9,19,34.4,26.7,0
689175a03cfdbc8f3403c589,2005-04-10,2005,4,10,19,34,26.5,0
689175a03cfdbc8f3403c58a,2005-04-11,2005,4,11,19,33.4,26.2,0
689175a03cfdbc8f3403c58b,2005-04-12,2005,4,12,24,33.8,28.9,0
689175a03cfdbc8f3403c58c,2005-04-13,2005,4,13,20,34,27,0
689175a03cfdbc8f3403c58d,2005-04-14,2005,4,14,23,34,28.5,0
689175a03cfdbc8f3403c58e,2005-04-15,2005,4,15,20,34.6,27.3,0
689175a03cfdbc8f3403c58f,2005-04-16,2005,4,16,23,34.2,28.6,0
689175a03cfdbc8f3403c590,2005-04-17,2005,4,17,20,34.2,27.1,0
689175a03cfdbc8f3403c591,2005-04-18,2005,4,18,23,34,28.5,0
689175a03cfdbc8f3403c592,2005-04-19,2005,4,19,20,34.4,27.2,0
689175a03cfdbc8f3403c593,2005-04-20,2005,4,20,23,34.6,28.8,0
689175a03cfdbc8f3403c594,2005-04-21,2005,4,21,20,34.6,27.3,0
689175a03cfdbc8f3403c595,2005-04-22,2005,4,22,23,34.4,28.7,0
689175a03cfdbc8f3403c596,2005-04-23,2005,4,23,20,34.4,27.2,0
689175a03cfdbc8f3403c597,2005-04-24,2005,4,24,23,34.4,28.7,0
689175a03cfdbc8f3403c598,2005-04-25,2005,4,25,20,34.4,27.2,0
689175a03cfdbc8f3403c599,2005-04-26,2005,4,26,23,34.4,28.7,0
689175a03cfdbc8f3403c59a,2005-04-27,2005,4,27,20,34.4,27.2,0
689175a03cfdbc8f3403c59b,2005-04-28,2005,4,28,23,34.4,28.7,0
689175a03cfdbc8f3403c59c,2005-04-29,2005,4,29,20,34.8,27.4,0
689175a03cfdbc8f3403c59d,2005-04-30,2005,4,30,23,34.4,28.7,0
689175a03cfdbc8f3403c59e,2005-05-01,2005,5,1,20,34,27,0
689175a03cfdbc8f3403c59f,2005-05-02,2005,5,2,23,34.4,28.7,0
689175a03cfdbc8f3403c5a0,2005-05-03,2005,5,3,20,34,27,0
689175a03cfdbc8f3403c5a1,2005-05-04,2005,5,4,23,34.4,28.7,0
689175a03cfdbc8f3403c5a2,2005-05-05,2005,5,5,20,34.4,27.2,0
689175a03cfdbc8f3403c5a3,2005-05-06,2005,5,6,23,35,29,0
689175a03cfdbc8f3403c5a4,2005-05-07,2005,5,7,19,35,27,0
689175a03cfdbc8f3403c5a5,2005-05-08,2005,5,8,23,35,29,0
689175a03cfdbc8f3403c5a6,2005-05-09,2005,5,9,20,31.8,25.9,0
689175a03cfdbc8f3403c5a7,2005-05-10,2005,5,10,23,35,29,0
689175a03cfdbc8f3403c5a8,2005-05-11,2005,5,11,20,32.4,26.2,0
689175a03cfdbc8f3403c5a9,2005-05-12,2005,5,12,23,30.4,26.7,0
689175a03cfdbc8f3403c5aa,2005-05-13,2005,5,13,23,33.2,28.1,0
689175a03cfdbc8f3403c5ab,2005-05-14,2005,5,14,23,33.4,28.2,0
689175a03cfdbc8f3403c5ac,2005-05-15,2005,5,15,23,33.6,28.3,0
689175a03cfdbc8f3403c5ad,2005-05-16,2005,5,16,23,34,28.5,0
689175a03cfdbc8f3403c5ae,2005-05-17,2005,5,17,23,34,28.5,0
689175a03cfdbc8f3403c5af,2005-05-18,2005,5,18,23,34.4,28.7,0
689175a03cfdbc8f3403c5b0,2005-05-19,2005,5,19,22,34.4,28.2,0
