Date,Year,month,day,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
30/9/2025,2025,9,30,27.29,29.78,24.81,78.38,2.17,20.18,2.17,3.54,115.7
29/9/2025,2025,9,29,26.95,30.29,24.2,78.73,3.02,10.41,2.03,3.4,112.8
28/9/2025,2025,9,28,27.15,30.33,24.53,79.8,2.15,18.1,2.93,4.64,292.8
27/9/2025,2025,9,27,27.21,29.66,25.5,82.18,1.43,18.94,2.75,3.94,315.4
26/9/2025,2025,9,26,26.7,28.49,24.94,83.7,2.16,21.24,2.01,2.66,105.6
25/9/2025,2025,9,25,27.38,30.79,24.54,76.6,0.78,21.55,2.11,3.31,110.2
24/9/2025,2025,9,24,27.41,31.93,23.06,78.76,1.42,19.07,1.72,3.73,233.7
23/9/2025,2025,9,23,27.8,30.53,25.82,78.98,11.49,23.58,2.09,2.92,301.7
22/9/2025,2025,9,22,28.1,29.85,26.69,84.41,1.18,21.02,2.53,4.45,58.3
21/9/2025,2025,9,21,28.31,31.18,25.77,83.06,0.37,24,2.43,3.94,46.6
20/9/2025,2025,9,20,27.93,31.19,25.49,75.88,0.45,24.56,1.7,3.29,351.9
19/9/2025,2025,9,19,27.44,30.53,24.86,75.22,0.41,25.54,1.68,2.25,333.3
18/9/2025,2025,9,18,26.68,28.62,25.28,83.6,2.05,14.53,2.09,3.67,347.1
17/9/2025,2025,9,17,26.47,28.1,24.98,87.02,0.87,20.25,3.03,4.77,116.4
16/9/2025,2025,9,16,27.13,29.91,24.78,81.21,1.6,23.09,2.12,3.94,50.8
15/9/2025,2025,9,15,27.57,31.27,25.21,80.81,7.08,13.2,2.25,3.44,87.5
14/9/2025,2025,9,14,26.19,28.89,24.12,85.5,19.78,13.82,1.78,2.91,66.8
13/9/2025,2025,9,13,27.18,29.43,25.38,83.33,1.23,7.32,1.18,1.86,25.8
12/9/2025,2025,9,12,26.65,28.21,25.1,84.64,1.7,13.01,1.79,3.05,126.9
11/9/2025,2025,9,11,27.86,31,25.03,77.65,1.52,22.53,2.37,3.08,328.4
10/9/2025,2025,9,10,26.94,29.46,24.98,84.75,4.39,22.42,2.44,2.95,63.6
9/9/2025,2025,9,9,26.31,28.3,23.68,79.55,1.9,12.31,2.04,3.9,9.5
8/9/2025,2025,9,8,27,29.58,24.86,86.32,1.55,17.82,2.85,4.04,66.3
7/9/2025,2025,9,7,25.84,29.57,23.7,81.57,5.23,17.12,2.28,4.11,140.9
6/9/2025,2025,9,6,27.24,30.03,25.3,81.51,4.83,22.23,2.17,3.75,40.7
5/9/2025,2025,9,5,27.49,31.25,23.91,74.87,0.45,20.89,2.1,2.66,207.2
4/9/2025,2025,9,4,27.34,29.92,25.11,75.31,0.94,19.41,2.11,3.8,279.2
3/9/2025,2025,9,3,26.81,29.4,24.78,82.3,8.29,15.64,1.93,3.01,61.3
2/9/2025,2025,9,2,27.32,29.85,25.07,77.14,3.58,17.09,2.02,3.19,160
1/9/2025,2025,9,1,26.88,29.23,24.79,77.81,3.94,16.28,1.44,2.15,226.4
