system:index,LSWI,date,day,month,year,.geo
1_1_1_LT05_131056_20050122,0.29644576006266066,2005-01-22,22,01,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20050223,0.266577289251344,2005-02-23,23,02,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20050311,0.2668903993443858,2005-03-11,11,03,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20050327,0.29905721180389633,2005-03-27,27,03,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20050412,0.27620768311579125,2005-04-12,12,04,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20060704,0.33968316982749486,2006-07-04,04,07,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20060821,0.2896015701891891,2006-08-21,21,08,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20061008,0.3117372714352559,2006-10-08,08,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20070213,0.25450966112079615,2007-02-13,13,02,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20070317,0.3147407860080254,2007-03-17,17,03,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20070418,0.2866767158747853,2007-04-18,18,04,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20070520,0.31091707001101654,2007-05-20,20,05,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20080810,0.30158058176156777,2008-08-10,10,08,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20090218,0.2552021491107403,2009-02-18,18,02,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20090306,0.27570816503122114,2009-03-06,06,03,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20090423,0.31234568305245514,2009-04-23,23,04,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20100205,0.30525651387641173,2010-02-05,05,02,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131056_20110208,0.2946378962066232,2011-02-08,08,02,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20050207,0.20805288855918103,2005-02-07,07,02,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20050223,0.33848630211076386,2005-02-23,23,02,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20050311,0.3750807022917865,2005-03-11,11,03,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20050327,0.3588214243025244,2005-03-27,27,03,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20050412,0.27025619299421666,2005-04-12,12,04,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20050717,0.4002195531068998,2005-07-17,17,07,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20060210,0.34068570353301797,2006-02-10,10,02,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20060704,0.40595511446287375,2006-07-04,04,07,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20061008,0.36822949943283845,2006-10-08,08,10,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20070213,0.2416198209586167,2007-02-13,13,02,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20070520,0.3273982411661633,2007-05-20,20,05,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20070824,0.2639399152780081,2007-08-24,24,08,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20080810,0.42875551784570004,2008-08-10,10,08,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20090202,0.34282310954607076,2009-02-02,02,02,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20090218,0.2647542558002252,2009-02-18,18,02,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20090509,0.30339523513048244,2009-05-09,09,05,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20090610,0.3986692413559061,2009-06-10,10,06,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20091101,0.20260163167201597,2009-11-01,01,11,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20091117,0.32259921931464935,2009-11-17,17,11,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20110208,0.33541011842367197,2011-02-08,08,02,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_131057_20110312,0.4006662725494395,2011-03-12,12,03,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_132056_20050214,0.3469630950179323,2005-02-14,14,02,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_132056_20050419,0.3261119484829853,2005-04-19,19,04,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_132056_20050521,0.35015713679583693,2005-05-21,21,05,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_132056_20050606,0.3892691043966277,2005-06-06,06,06,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_LT05_132056_20050910,0.3411232619626276,2005-09-10,10,09,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
