system:index,LSWI,date,day,month,satellite,year,.geo
1_2005_01_01,0.3121848529361417,2005-01-01,01,01,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_01_09,0.25904416040514255,2005-01-09,09,01,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_01_17,0.25210879594628466,2005-01-17,17,01,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_01_25,0.23361714775910108,2005-01-25,25,01,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_02_02,0.2389038516568063,2005-02-02,02,02,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_02_10,0.21901937327556967,2005-02-10,10,02,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_02_18,0.21137305448252897,2005-02-18,18,02,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_02_26,0.24144178420204843,2005-02-26,26,02,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_03_06,0.1866455907394306,2005-03-06,06,03,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_03_14,0.26310955172052225,2005-03-14,14,03,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_03_22,0.2840487062927006,2005-03-22,22,03,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_03_30,0.23220265121805225,2005-03-30,30,03,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_04_07,0.23657080528148286,2005-04-07,07,04,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_04_15,0.23245077356137991,2005-04-15,15,04,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_04_23,0.2590531980061208,2005-04-23,23,04,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_05_01,0.30590909956669954,2005-05-01,01,05,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_05_09,0.2870499108572814,2005-05-09,09,05,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_05_17,0.29963122760738814,2005-05-17,17,05,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_05_25,0.30637161014167835,2005-05-25,25,05,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_06_02,0.27159409437072407,2005-06-02,02,06,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_06_10,0.31558515304655615,2005-06-10,10,06,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_06_18,0.303089683187447,2005-06-18,18,06,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_06_26,0.3186905068635233,2005-06-26,26,06,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_07_04,0.20181789319974705,2005-07-04,04,07,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_07_12,0.29110582498375476,2005-07-12,12,07,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_07_20,0.263446854848076,2005-07-20,20,07,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_07_28,0.29848126404723246,2005-07-28,28,07,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_08_05,0.30692015181688,2005-08-05,05,08,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_08_13,0.26724076172561156,2005-08-13,13,08,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_08_21,0.35511577078501255,2005-08-21,21,08,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_08_29,0.3285027518428606,2005-08-29,29,08,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_09_06,0.2724336935846619,2005-09-06,06,09,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_09_14,0.2741536423239689,2005-09-14,14,09,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_09_22,0.2550283806264506,2005-09-22,22,09,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_09_30,0.3226342495555702,2005-09-30,30,09,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_10_08,0.32260956470927904,2005-10-08,08,10,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_10_16,,2005-10-16,16,10,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_10_24,0.30043335334914095,2005-10-24,24,10,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_11_01,0.2804395762050022,2005-11-01,01,11,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_11_09,0.29135717449836224,2005-11-09,09,11,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_11_17,0.3109451772324738,2005-11-17,17,11,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_11_25,0.2816717556196518,2005-11-25,25,11,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_12_03,0.2961006312342261,2005-12-03,03,12,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_12_11,0.2848709448515077,2005-12-11,11,12,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_12_19,0.2768887198182169,2005-12-19,19,12,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2005_12_27,0.2989024012632087,2005-12-27,27,12,Terra,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_01_01,0.28490839186519096,2006-01-01,01,01,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_01_09,0.2980796159765427,2006-01-09,09,01,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_01_17,0.32083039136377256,2006-01-17,17,01,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_01_25,0.2532117953521344,2006-01-25,25,01,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_02_02,0.2586665094248026,2006-02-02,02,02,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_02_10,0.2943037139196333,2006-02-10,10,02,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_02_18,0.3063357068780966,2006-02-18,18,02,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_02_26,0.26791227593040845,2006-02-26,26,02,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_03_06,0.27105617099290447,2006-03-06,06,03,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_03_14,0.2886830168483217,2006-03-14,14,03,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_03_22,0.2915359853139102,2006-03-22,22,03,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_03_30,0.2941423698277274,2006-03-30,30,03,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_04_07,0.3054653170702769,2006-04-07,07,04,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_04_15,0.3035142639510613,2006-04-15,15,04,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_04_23,0.3342742003339296,2006-04-23,23,04,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_05_01,0.27053672640463855,2006-05-01,01,05,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_05_09,0.3071203032144864,2006-05-09,09,05,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_05_17,,2006-05-17,17,05,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_05_25,0.30399164903191783,2006-05-25,25,05,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_06_02,0.3092671776817988,2006-06-02,02,06,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_06_10,0.3309323804961409,2006-06-10,10,06,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_06_18,0.3148703870583415,2006-06-18,18,06,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_06_26,0.32728810295459565,2006-06-26,26,06,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_07_04,0.27815708386351345,2006-07-04,04,07,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_07_12,0.45531656926248265,2006-07-12,12,07,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_07_20,0.30001665155334417,2006-07-20,20,07,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_07_28,0.3254586069165687,2006-07-28,28,07,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_08_05,0.294630596266853,2006-08-05,05,08,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_08_13,0.2918428060535084,2006-08-13,13,08,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_08_21,0.23994624540788465,2006-08-21,21,08,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_08_29,0.3457828659609974,2006-08-29,29,08,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_09_06,0.30228671551699243,2006-09-06,06,09,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_09_14,0.31048175878592094,2006-09-14,14,09,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_09_22,0.2613531834238757,2006-09-22,22,09,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_09_30,0.3020929855077588,2006-09-30,30,09,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_10_08,0.2733720909114345,2006-10-08,08,10,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_10_16,0.26568326277640025,2006-10-16,16,10,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_10_24,0.2875765165228411,2006-10-24,24,10,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_11_01,0.3046101235452482,2006-11-01,01,11,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_11_09,0.32210422647775744,2006-11-09,09,11,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_11_17,0.300924970832673,2006-11-17,17,11,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_11_25,0.32206312860115544,2006-11-25,25,11,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_12_03,0.29551871587113804,2006-12-03,03,12,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_12_11,0.2963815657089222,2006-12-11,11,12,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_12_19,0.2699005526275602,2006-12-19,19,12,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2006_12_27,0.2912702268611749,2006-12-27,27,12,Terra,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_01_01,0.2642782397464635,2007-01-01,01,01,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_01_09,0.2467464144908915,2007-01-09,09,01,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_01_17,0.2772412938517127,2007-01-17,17,01,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_01_25,0.2507242013480503,2007-01-25,25,01,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_02_02,0.225898079422802,2007-02-02,02,02,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_02_10,0.22245743073698077,2007-02-10,10,02,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_02_18,0.2572983109174367,2007-02-18,18,02,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_02_26,0.22723869485103507,2007-02-26,26,02,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_03_06,0.23285037341868825,2007-03-06,06,03,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_03_14,0.241990683596463,2007-03-14,14,03,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_03_22,0.24757342963032336,2007-03-22,22,03,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_03_30,0.27155097069256484,2007-03-30,30,03,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_04_07,0.2530353149522192,2007-04-07,07,04,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_04_15,0.27227528655985317,2007-04-15,15,04,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_04_23,0.259513891852699,2007-04-23,23,04,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_05_01,0.31071058180858635,2007-05-01,01,05,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_05_09,0.2899903284292719,2007-05-09,09,05,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_05_17,0.2992984656714832,2007-05-17,17,05,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_05_25,0.30237296195186475,2007-05-25,25,05,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_06_02,0.31608599418697325,2007-06-02,02,06,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_06_10,0.2588630437302385,2007-06-10,10,06,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_06_18,0.33423776716815906,2007-06-18,18,06,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_06_26,0.3529605933607163,2007-06-26,26,06,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_07_04,0.30145701161095767,2007-07-04,04,07,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_07_12,0.3377016924336692,2007-07-12,12,07,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_07_20,0.35227605913991056,2007-07-20,20,07,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_07_28,0.3145627026413098,2007-07-28,28,07,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_08_05,0.31514972363457466,2007-08-05,05,08,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_08_13,0.29971323624918195,2007-08-13,13,08,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2007_08_21,0.31652347776855383,2007-08-21,21,08,Terra,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
