SWRad,StDev,Max,Q,S,Timestamp
85.9,158.0,982.0,2,5,2006-11-15 12:00:00
40.0,62.6,465.4,2,5,2006-11-16 12:00:00
250.2,339.6,1054.0,2,5,2006-11-17 12:00:00
227.9,329.8,1017.5,2,5,2006-11-18 12:00:00
90.0,128.0,430.4,2,5,2006-11-19 12:00:00
235.9,321.2,948.9,2,5,2006-11-20 12:00:00
174.1,279.7,1073.4,2,5,2006-11-21 12:00:00
239.3,337.5,1049.8,2,5,2006-11-22 12:00:00
241.6,333.9,1064.4,2,5,2006-11-23 12:00:00
189.8,291.2,1085.7,2,5,2006-11-24 12:00:00
181.6,271.4,1014.7,2,5,2006-11-25 12:00:00
220.0,313.0,1099.0,2,5,2006-11-26 12:00:00
244.1,331.7,1040.3,2,5,2006-11-27 12:00:00
219.9,314.1,1054.5,2,5,2006-11-28 12:00:00
214.8,295.2,961.7,2,5,2006-11-29 12:00:00
234.2,325.7,975.4,2,5,2006-11-30 12:00:00
152.5,228.9,965.0,2,5,2006-12-01 12:00:00
170.7,252.4,975.4,2,5,2006-12-02 12:00:00
218.4,300.4,991.5,2,5,2006-12-03 12:00:00
246.7,334.2,998.1,2,5,2006-12-04 12:00:00
215.6,305.3,1039.8,2,5,2006-12-05 12:00:00
239.6,330.6,1052.6,2,5,2006-12-06 12:00:00
234.5,317.6,984.4,2,5,2006-12-07 12:00:00
226.6,310.5,1159.6,2,5,2006-12-08 12:00:00
212.1,300.2,1046.0,2,5,2006-12-09 12:00:00
247.1,336.5,957.9,2,5,2006-12-10 12:00:00
224.0,308.7,997.2,2,5,2006-12-11 12:00:00
182.2,291.7,1161.5,2,5,2006-12-12 12:00:00
183.7,298.8,1136.4,2,5,2006-12-13 12:00:00
239.3,330.3,975.9,2,5,2006-12-14 12:00:00
226.3,316.0,956.5,2,5,2006-12-15 12:00:00
192.5,285.3,968.3,2,5,2006-12-16 12:00:00
178.2,263.5,978.2,2,5,2006-12-17 12:00:00
146.0,221.9,1032.7,2,5,2006-12-18 12:00:00
228.4,313.1,956.9,2,5,2006-12-19 12:00:00
231.1,318.8,937.1,2,5,2006-12-20 12:00:00
197.8,269.5,997.2,2,5,2006-12-21 12:00:00
207.2,286.3,902.0,2,5,2006-12-22 12:00:00
200.7,291.5,937.5,2,5,2006-12-23 12:00:00
236.9,324.9,912.0,2,5,2006-12-24 12:00:00
195.4,283.7,983.0,2,5,2006-12-25 12:00:00
223.2,305.4,964.0,2,5,2006-12-26 12:00:00
235.7,324.8,1012.3,2,5,2006-12-27 12:00:00
205.3,286.0,1010.5,2,5,2006-12-28 12:00:00
220.4,314.0,1043.1,2,5,2006-12-29 12:00:00
224.3,317.2,1040.8,2,5,2006-12-30 12:00:00
216.0,293.8,971.1,2,5,2006-12-31 12:00:00
229.0,319.6,1066.8,2,5,2007-01-01 12:00:00
211.9,289.8,1037.0,2,5,2007-01-02 12:00:00
211.8,305.5,924.8,2,5,2007-01-03 12:00:00
224.7,308.1,1006.7,2,5,2007-01-04 12:00:00
181.6,255.4,970.2,2,5,2007-01-05 12:00:00
213.6,297.6,878.8,2,5,2007-01-06 12:00:00
41.5,72.9,319.6,2,5,2007-01-07 12:00:00
48.0,72.8,257.6,2,5,2007-01-08 12:00:00
232.3,313.7,907.2,2,5,2007-01-09 12:00:00
221.8,308.1,1010.5,2,5,2007-01-10 12:00:00
236.1,319.0,924.3,2,5,2007-01-11 12:00:00
224.5,310.8,956.9,2,5,2007-01-12 12:00:00
234.4,313.7,942.7,2,5,2007-01-13 12:00:00
225.7,308.5,910.5,2,5,2007-01-14 12:00:00
237.6,317.9,894.0,2,5,2007-01-15 12:00:00
221.5,299.1,882.6,2,5,2007-01-16 12:00:00
212.2,297.2,966.4,2,5,2007-01-17 12:00:00
238.3,320.8,898.2,2,5,2007-01-18 12:00:00
228.1,318.0,889.2,2,5,2007-01-19 12:00:00
249.2,330.2,977.3,2,5,2007-01-20 12:00:00
252.7,335.5,941.3,2,5,2007-01-21 12:00:00
122.2,184.4,1023.7,2,5,2007-01-22 12:00:00
215.9,310.8,968.8,2,5,2007-01-23 12:00:00
97.5,152.3,844.7,2,5,2007-01-24 12:00:00
81.4,155.5,1008.6,2,5,2007-01-25 12:00:00
194.6,270.8,1018.5,2,5,2007-01-26 12:00:00
223.4,319.0,999.1,2,5,2007-01-27 12:00:00
234.3,323.0,972.6,2,5,2007-01-28 12:00:00
256.4,344.6,948.9,2,5,2007-01-29 12:00:00
259.0,344.4,927.1,2,5,2007-01-30 12:00:00
248.7,337.4,930.4,2,5,2007-01-31 12:00:00
263.7,346.6,939.0,2,5,2007-02-01 12:00:00
265.6,352.3,948.4,2,5,2007-02-02 12:00:00
256.4,340.6,1019.0,2,5,2007-02-03 12:00:00
223.7,308.8,937.5,2,5,2007-02-04 12:00:00
