Prec,StDev,%Time,Q,S,Timestamp
0.36,1.4,6.0,2,5,2006-11-15 12:00:00
1.8,6.88,11.0,2,5,2006-11-16 12:00:00
0.32,1.22,7.0,2,5,2006-11-17 12:00:00
0.16,0.65,6.0,2,5,2006-11-18 12:00:00
0.31,1.63,5.0,2,5,2006-11-19 12:00:00
0.58,4.6,3.0,2,5,2006-11-20 12:00:00
0.6,4.16,6.0,2,5,2006-11-21 12:00:00
0.2,1.87,2.0,2,5,2006-11-22 12:00:00
-0.01,0.09,0.0,2,5,2006-11-23 12:00:00
0.21,1.31,3.0,2,5,2006-11-24 12:00:00
0.2,1.73,2.0,2,5,2006-11-25 12:00:00
0.41,2.78,5.0,2,5,2006-11-26 12:00:00
0.18,1.88,3.0,2,5,2006-11-27 12:00:00
-0.01,0.04,0.0,2,5,2006-11-28 12:00:00
-0.01,0.04,0.0,2,5,2006-11-29 12:00:00
0.42,2.98,4.0,2,5,2006-11-30 12:00:00
0.59,3.0,5.0,2,5,2006-12-01 12:00:00
-0.01,0.08,0.0,2,5,2006-12-02 12:00:00
-0.02,0.02,0.0,2,5,2006-12-03 12:00:00
0.0,0.14,1.0,2,5,2006-12-04 12:00:00
0.09,0.81,1.0,2,5,2006-12-05 12:00:00
0.0,0.08,0.0,2,5,2006-12-06 12:00:00
-0.01,0.03,0.0,2,5,2006-12-07 12:00:00
0.05,0.27,2.0,2,5,2006-12-08 12:00:00
-0.01,0.02,0.0,2,5,2006-12-09 12:00:00
0.0,0.08,0.0,2,5,2006-12-10 12:00:00
0.03,0.54,1.0,2,5,2006-12-11 12:00:00
0.03,0.26,2.0,2,5,2006-12-12 12:00:00
0.62,2.79,8.0,2,5,2006-12-13 12:00:00
0.02,0.28,1.0,2,5,2006-12-14 12:00:00
0.23,1.48,3.0,2,5,2006-12-15 12:00:00
0.06,0.7,1.0,2,5,2006-12-16 12:00:00
0.56,2.19,11.0,2,5,2006-12-17 12:00:00
0.26,2.47,3.0,2,5,2006-12-18 12:00:00
-0.02,0.01,0.0,2,5,2006-12-19 12:00:00
-0.02,0.02,0.0,2,5,2006-12-20 12:00:00
0.33,3.05,2.0,2,5,2006-12-21 12:00:00
-0.02,0.05,0.0,2,5,2006-12-22 12:00:00
-0.02,0.02,0.0,2,5,2006-12-23 12:00:00
-0.02,0.02,0.0,2,5,2006-12-24 12:00:00
-0.03,0.02,0.0,2,5,2006-12-25 12:00:00
-0.02,0.01,0.0,2,5,2006-12-26 12:00:00
-0.02,0.02,0.0,2,5,2006-12-27 12:00:00
-0.02,0.01,0.0,2,5,2006-12-28 12:00:00
-0.02,0.02,0.0,2,5,2006-12-29 12:00:00
-0.02,0.02,0.0,2,5,2006-12-30 12:00:00
-0.02,0.04,0.0,2,5,2006-12-31 12:00:00
-0.01,0.04,0.0,2,5,2007-01-01 12:00:00
-0.02,0.01,0.0,2,5,2007-01-02 12:00:00
-0.02,0.01,0.0,2,5,2007-01-03 12:00:00
-0.02,0.02,0.0,2,5,2007-01-04 12:00:00
0.01,0.38,1.0,2,5,2007-01-05 12:00:00
-0.02,0.01,0.0,2,5,2007-01-06 12:00:00
5.04,10.6,44.0,2,5,2007-01-07 12:00:00
1.32,6.47,8.0,2,5,2007-01-08 12:00:00
0.0,0.1,1.0,2,5,2007-01-09 12:00:00
-0.01,0.03,0.0,2,5,2007-01-10 12:00:00
-0.02,0.01,0.0,2,5,2007-01-11 12:00:00
-0.02,0.02,0.0,2,5,2007-01-12 12:00:00
-0.01,0.02,0.0,2,5,2007-01-13 12:00:00
-0.01,0.03,0.0,2,5,2007-01-14 12:00:00
-0.01,0.03,0.0,2,5,2007-01-15 12:00:00
-0.01,0.04,0.0,2,5,2007-01-16 12:00:00
-0.01,0.02,0.0,2,5,2007-01-17 12:00:00
-0.01,0.03,0.0,2,5,2007-01-18 12:00:00
-0.01,0.01,0.0,2,5,2007-01-19 12:00:00
-0.01,0.03,0.0,2,5,2007-01-20 12:00:00
-0.01,0.02,0.0,2,5,2007-01-21 12:00:00
-0.01,0.01,0.0,2,5,2007-01-22 12:00:00
-0.01,0.03,0.0,2,5,2007-01-23 12:00:00
-0.01,0.04,0.0,2,5,2007-01-24 12:00:00
1.72,4.95,20.0,2,5,2007-01-25 12:00:00
0.07,0.7,1.0,2,5,2007-01-26 12:00:00
-0.01,0.01,0.0,2,5,2007-01-27 12:00:00
-0.01,0.02,0.0,2,5,2007-01-28 12:00:00
-0.01,0.01,0.0,2,5,2007-01-29 12:00:00
-0.01,0.01,0.0,2,5,2007-01-30 12:00:00
-0.01,0.01,0.0,2,5,2007-01-31 12:00:00
-0.01,0.05,0.0,2,5,2007-02-01 12:00:00
0.01,0.17,1.0,2,5,2007-02-02 12:00:00
-0.01,0.01,0.0,2,5,2007-02-03 12:00:00
-0.01,0.02,0.0,2,5,2007-02-04 12:00:00
-0.01,0.05,0.0,2,5,2007-02-05 12:00:00
-0.01,0.02,0.0,2,5,2007-02-06 12:00:00
-0.01,0.03,0.0,2,5,2007-02-07 12:00:00
0.7,4.02,6.0,2,5,2007-02-08 12:00:00
0.14,1.09,2.0,2,5,2007-02-09 12:00:00
-0.01,0.04,0.0,2,5,2007-02-10 12:00:00
-0.01,0.03,0.0,2,5,2007-02-11 12:00:00
-0.01,0.02,0.0,2,5,2007-02-12 12:00:00
0.0,0.05,0.0,2,5,2007-02-13 12:00:00
0.0,0.02,0.0,2,5,2007-02-14 12:00:00
-0.01,0.01,0.0,2,5,2007-02-15 12:00:00
0.0,13.96,4.0,2,1,2007-02-16 12:00:00
-0.01,0.01,0.0,2,5,2007-02-17 12:00:00
-0.01,0.04,0.0,2,5,2007-02-18 12:00:00
-0.02,0.02,0.0,2,5,2007-02-19 12:00:00
-0.02,0.02,0.0,2,5,2007-02-20 12:00:00
-0.01,0.03,0.0,2,5,2007-02-21 12:00:00
-0.01,0.01,0.0,2,5,2007-02-22 12:00:00
-0.01,0.02,0.0,2,5,2007-02-23 12:00:00
0.2,18.06,2.0,2,1,2007-02-24 12:00:00
0.0,0.03,0.0,2,5,2007-04-18 12:00:00
0.0,0.03,0.0,2,5,2007-04-19 12:00:00
0.0,0.12,0.0,2,5,2007-04-20 12:00:00
0.0,0.07,0.0,2,5,2007-04-21 12:00:00
0.06,0.36,2.0,2,5,2007-04-22 12:00:00
0.0,0.02,0.0,2,5,2007-04-23 12:00:00
0.0,0.04,0.0,2,5,2007-04-24 12:00:00
0.47,2.54,5.0,2,5,2007-04-25 12:00:00
1.06,9.01,4.0,2,5,2007-04-26 12:00:00
1.44,4.0,15.0,2,5,2007-04-27 12:00:00
0.13,0.73,2.0,2,5,2007-04-28 12:00:00
0.0,0.06,0.0,2,5,2007-04-29 12:00:00
0.0,0.02,0.0,2,5,2007-04-30 12:00:00
-0.01,0.02,0.0,2,5,2007-05-01 12:00:00
-0.01,0.01,0.0,2,5,2007-05-02 12:00:00
-0.01,0.01,0.0,2,5,2007-05-03 12:00:00
-0.01,0.01,0.0,2,5,2007-05-04 12:00:00
-0.01,0.02,0.0,2,5,2007-05-05 12:00:00
0.12,0.48,6.0,2,5,2007-05-06 12:00:00
-0.01,0.08,0.0,2,5,2007-05-07 12:00:00
