RH,Q,S,Timestamp
80.5,2,5,2006-11-14 12:00:00
85.8,2,5,2006-11-15 12:00:00
86.0,2,5,2006-11-16 12:00:00
82.8,2,5,2006-11-17 12:00:00
84.9,2,5,2006-11-18 12:00:00
84.8,2,5,2006-11-19 12:00:00
82.6,2,5,2006-11-20 12:00:00
85.7,2,5,2006-11-21 12:00:00
82.6,2,5,2006-11-22 12:00:00
80.2,2,5,2006-11-23 12:00:00
81.5,2,5,2006-11-24 12:00:00
82.4,2,5,2006-11-25 12:00:00
81.4,2,5,2006-11-26 12:00:00
81.5,2,5,2006-11-27 12:00:00
79.6,2,5,2006-11-28 12:00:00
77.8,2,5,2006-11-29 12:00:00
80.3,2,5,2006-11-30 12:00:00
83.8,2,5,2006-12-01 12:00:00
79.2,2,5,2006-12-02 12:00:00
79.1,2,5,2006-12-03 12:00:00
79.8,2,5,2006-12-04 12:00:00
81.1,2,5,2006-12-05 12:00:00
77.8,2,5,2006-12-06 12:00:00
80.4,2,5,2006-12-07 12:00:00
84.1,2,5,2006-12-08 12:00:00
82.9,2,5,2006-12-09 12:00:00
82.0,2,5,2006-12-10 12:00:00
82.4,2,5,2006-12-11 12:00:00
83.5,2,5,2006-12-12 12:00:00
85.0,2,5,2006-12-13 12:00:00
83.7,2,5,2006-12-14 12:00:00
82.8,2,5,2006-12-15 12:00:00
80.6,2,5,2006-12-16 12:00:00
85.8,2,5,2006-12-17 12:00:00
86.1,2,5,2006-12-18 12:00:00
80.3,2,5,2006-12-19 12:00:00
75.4,2,5,2006-12-20 12:00:00
80.7,2,5,2006-12-21 12:00:00
79.4,2,5,2006-12-22 12:00:00
78.2,2,5,2006-12-23 12:00:00
77.3,2,5,2006-12-24 12:00:00
74.6,2,5,2006-12-25 12:00:00
70.0,2,5,2006-12-26 12:00:00
71.8,2,5,2006-12-27 12:00:00
78.0,2,5,2006-12-28 12:00:00
76.7,2,5,2006-12-29 12:00:00
77.2,2,5,2006-12-30 12:00:00
77.1,2,5,2006-12-31 12:00:00
70.1,2,5,2007-01-01 12:00:00
67.7,2,5,2007-01-02 12:00:00
61.3,2,5,2007-01-03 12:00:00
64.7,2,5,2007-01-04 12:00:00
69.8,2,5,2007-01-05 12:00:00
73.6,2,5,2007-01-06 12:00:00
91.0,2,5,2007-01-07 12:00:00
85.1,2,5,2007-01-08 12:00:00
84.9,2,5,2007-01-09 12:00:00
85.4,2,5,2007-01-10 12:00:00
83.2,2,5,2007-01-11 12:00:00
82.0,2,5,2007-01-12 12:00:00
79.3,2,5,2007-01-13 12:00:00
82.9,2,5,2007-01-14 12:00:00
84.8,2,5,2007-01-15 12:00:00
81.8,2,5,2007-01-16 12:00:00
84.2,2,5,2007-01-17 12:00:00
82.0,2,5,2007-01-18 12:00:00
80.4,2,5,2007-01-19 12:00:00
81.8,2,5,2007-01-20 12:00:00
78.1,2,5,2007-01-21 12:00:00
77.0,2,5,2007-01-22 12:00:00
78.2,2,5,2007-01-23 12:00:00
81.8,2,5,2007-01-24 12:00:00
87.2,2,5,2007-01-25 12:00:00
82.8,2,5,2007-01-26 12:00:00
81.9,2,5,2007-01-27 12:00:00
78.0,2,5,2007-01-28 12:00:00
78.3,2,5,2007-01-29 12:00:00
74.9,2,5,2007-01-30 12:00:00
74.5,2,5,2007-01-31 12:00:00
71.0,2,5,2007-02-01 12:00:00
72.1,2,5,2007-02-02 12:00:00
72.8,2,5,2007-02-03 12:00:00
67.1,2,5,2007-02-04 12:00:00
66.5,2,5,2007-02-05 12:00:00
69.4,2,5,2007-02-06 12:00:00
73.7,2,5,2007-02-07 12:00:00
79.9,2,5,2007-02-08 12:00:00
80.3,2,5,2007-02-09 12:00:00
79.1,2,5,2007-02-10 12:00:00
80.2,2,5,2007-02-11 12:00:00
78.6,2,5,2007-02-12 12:00:00
77.3,2,5,2007-02-13 12:00:00
77.2,2,5,2007-02-14 12:00:00
75.5,2,5,2007-02-15 12:00:00
74.2,2,5,2007-02-16 12:00:00
73.4,2,5,2007-02-17 12:00:00
70.8,2,5,2007-02-18 12:00:00
71.1,2,5,2007-02-19 12:00:00
71.3,2,5,2007-02-20 12:00:00
74.7,2,5,2007-02-21 12:00:00
78.9,2,5,2007-02-22 12:00:00
84.2,2,5,2007-02-23 12:00:00
