SST,Q,S,Timestamp
29.27,1,5,2006-11-14 12:00:00
29.04,1,5,2006-11-15 12:00:00
28.62,1,5,2006-11-16 12:00:00
28.79,1,5,2006-11-17 12:00:00
28.86,1,5,2006-11-18 12:00:00
28.73,1,5,2006-11-19 12:00:00
28.99,1,5,2006-11-20 12:00:00
28.84,1,5,2006-11-21 12:00:00
29.04,1,5,2006-11-22 12:00:00
29.29,1,5,2006-11-23 12:00:00
29.39,1,5,2006-11-24 12:00:00
29.23,1,5,2006-11-25 12:00:00
29.37,1,5,2006-11-26 12:00:00
29.23,1,5,2006-11-27 12:00:00
29.13,1,5,2006-11-28 12:00:00
29.15,1,5,2006-11-29 12:00:00
29.16,1,5,2006-11-30 12:00:00
29.09,1,5,2006-12-01 12:00:00
29.01,1,5,2006-12-02 12:00:00
28.95,1,5,2006-12-03 12:00:00
28.95,1,5,2006-12-04 12:00:00
28.95,1,5,2006-12-05 12:00:00
28.93,1,5,2006-12-06 12:00:00
28.94,1,5,2006-12-07 12:00:00
29.03,1,5,2006-12-08 12:00:00
29.07,1,5,2006-12-09 12:00:00
29.09,1,5,2006-12-10 12:00:00
29.06,1,5,2006-12-11 12:00:00
29.04,1,5,2006-12-12 12:00:00
28.97,1,5,2006-12-13 12:00:00
28.93,1,5,2006-12-14 12:00:00
28.89,1,5,2006-12-15 12:00:00
28.9,1,5,2006-12-16 12:00:00
28.91,1,5,2006-12-17 12:00:00
28.89,1,5,2006-12-18 12:00:00
28.93,1,5,2006-12-19 12:00:00
28.77,1,5,2006-12-20 12:00:00
28.29,1,5,2006-12-21 12:00:00
28.15,1,5,2006-12-22 12:00:00
28.17,1,5,2006-12-23 12:00:00
28.17,1,5,2006-12-24 12:00:00
28.07,1,5,2006-12-25 12:00:00
28.02,1,5,2006-12-26 12:00:00
27.98,1,5,2006-12-27 12:00:00
27.9,1,5,2006-12-28 12:00:00
27.77,1,5,2006-12-29 12:00:00
27.62,1,5,2006-12-30 12:00:00
27.53,1,5,2006-12-31 12:00:00
27.51,1,5,2007-01-01 12:00:00
27.45,1,5,2007-01-02 12:00:00
27.41,1,5,2007-01-03 12:00:00
27.41,1,5,2007-01-04 12:00:00
27.63,1,5,2007-01-05 12:00:00
27.92,1,5,2007-01-06 12:00:00
27.84,1,5,2007-01-07 12:00:00
27.95,1,5,2007-01-08 12:00:00
27.74,1,5,2007-01-09 12:00:00
27.81,1,5,2007-01-10 12:00:00
27.84,1,5,2007-01-11 12:00:00
27.86,1,5,2007-01-12 12:00:00
27.87,1,5,2007-01-13 12:00:00
27.99,1,5,2007-01-14 12:00:00
27.92,1,5,2007-01-15 12:00:00
27.75,1,5,2007-01-16 12:00:00
27.79,1,5,2007-01-17 12:00:00
27.86,1,5,2007-01-18 12:00:00
27.93,1,5,2007-01-19 12:00:00
28.08,1,5,2007-01-20 12:00:00
28.18,1,5,2007-01-21 12:00:00
28.25,1,5,2007-01-22 12:00:00
28.11,1,5,2007-01-23 12:00:00
28.18,1,5,2007-01-24 12:00:00
28.41,1,5,2007-01-25 12:00:00
28.04,1,5,2007-01-26 12:00:00
28.14,1,5,2007-01-27 12:00:00
28.22,1,5,2007-01-28 12:00:00
28.17,1,5,2007-01-29 12:00:00
27.69,1,5,2007-01-30 12:00:00
27.74,1,5,2007-01-31 12:00:00
28.07,1,5,2007-02-01 12:00:00
28.23,1,5,2007-02-02 12:00:00
